Block,Time,KHSTPP-II,RAMPUR,RAPPD,RIHAND1,SIMHST1,AURY_CRF,DADRI_LF,CHAMERA1,CHAMERA2,KGSU1AND2,KISHANGANGA,KOLDAM,KUDGI,NAPP,NJPC,NTPL,TALA,TelanganaSTPP,VALLURNTECL,DADRI_CRF,DADRI_GF,DHAULIGNGA,FSTPP I & II,KHSTPP-I,KOTESHWR,NLCIIST2,PARBATI2,RAPPC,RSTPSU1TO6,RSTPSU7,SEWA2,SINGRAULI,TANAKPUR,UNCHAHAR3,URI,ANTA_GF,AURY_LF,BRBCL,KKNPPU2,MAPS,NLCIIST1,RIHAND2,SIMHST2,TEHRIPSP,UNCHAHAR4,CHAMERA3,JHAJJAR,NLCEXP,PARBATI3,SINGRAULI_HYDRO,TALST2,ANTA_CRF,AURY_RF,DULHASTI,KKNP,NNTPP,RIHAND3,SASAN,UNCHAHAR2,URI2,ANTA_LF,AURY_GF,DADRT2,TANDA2,UNCHAHAR1,DADRI_RF,BSIUL,KGSU3AND4,NLCTS2EXP,RAPPB,SALAL,TEHRI,ANTA_RF
1,00:00-00:15,98.87,5.67,23.96,98.32,0,0,0,42.15,47.12,0,2.32,8.62,0,24.23,175.79,0,11.53,0,0,0,0,42.46,20.15,45.53,43.05,0,12.66,65.59,0,0,18.34,113.75,13.06,27.69,52.36,0,0,24.99,0,0,0,125.27,0,0,3.22,33.94,667.25,0,37.17,0,0,0,80.91,53.88,0,0,130.84,418.77,45,37.42,0,0,685.7,5.73,21.65,105.39,19.56,0,0,0,84.83,75.56,52.09

2,00:15-00:30,98.87,5.67,23.96,98.32,0,0,0,42.15,47.12,0,2.32,8.62,0,24.23,175.79,0,11.53,0,0,0,0,42.46,20.15,45.53,42.83,0,12.66,65.59,0,0,18.34,113.75,13.06,27.69,52.36,0,0,24.99,0,0,0,125.27,0,0,3.22,33.94,481.75,0,37.17,0,0,0,80.91,53.88,0,0,130.84,418.77,45,37.42,0,0,685.7,5.73,21.65,105.39,19.56,0,0,0,84.83,75.56,52.09

3,00:30-00:45,98.87,5.67,23.96,98.32,0,0,0,42.15,47.12,0,2.32,8.62,0,24.23,175.79,0,11.53,0,0,0,0,42.46,19.46,45.53,42.83,0,12.66,65.59,0,0,18.34,113.75,13.06,27.69,52.36,0,0,24.99,0,0,0,125.27,0,0,3.22,33.94,499.36,0,37.17,0,0,0,80.91,53.88,0,0,130.84,418.77,45,32.74,0,0,685.7,5.73,21.65,105.39,19.56,0,0,0,84.83,75.56,52.09

4,00:45-01:00,98.87,5.67,23.96,98.32,0,0,0,42.15,47.12,0,2.32,8.62,0,24.23,175.79,0,11.53,0,0,0,0,42.46,19.46,45.53,42.83,0,12.66,65.59,0,0,18.34,113.75,13.06,27.69,37.53,0,0,24.99,0,0,0,125.27,0,0,3.22,33.94,667.25,0,37.17,0,0,0,80.91,53.88,0,0,130.84,418.77,45,32.74,0,0,685.7,5.73,21.65,105.39,19.56,0,0,0,84.83,75.56,52.09

5,01:00-01:15,98.87,5.67,23.96,98.32,0,0,0,42.15,47.12,0,2.32,8.62,0,24.23,175.79,0,11.53,0,0,0,0,42.46,19.46,45.53,42.83,0,12.66,65.59,0,0,18.34,113.75,13.06,27.69,37.53,0,0,24.99,0,0,0,125.27,0,0,3.22,33.94,667.25,0,37.17,0,0,0,80.91,53.88,0,0,130.84,418.77,45,37.42,0,0,685.7,5.73,21.65,105.39,19.56,0,0,0,84.83,75.56,52.34

6,01:15-01:30,98.87,5.67,23.96,98.32,0,0,0,42.15,47.12,0,2.32,8.62,0,24.23,175.79,0,11.53,0,0,0,0,42.46,19.46,45.53,42.83,0,12.66,65.59,0,0,18.34,113.75,13.06,27.69,37.53,0,0,24.99,0,0,0,125.27,0,0,3.22,33.94,667.25,0,37.17,0,0,0,80.91,53.88,0,0,130.84,418.77,45,37.42,0,0,685.7,5.73,21.65,105.39,19.56,0,0,0,84.83,75.56,52.34

7,01:30-01:45,98.87,5.67,23.96,98.32,0,0,0,42.15,47.12,0,2.32,8.62,0,24.23,175.79,0,16.41,0,0,0,0,42.46,19.46,45.53,42.83,0,12.66,65.59,0,0,18.34,113.75,13.06,27.69,37.53,0,0,24.99,0,0,0,125.27,0,0,3.22,33.94,667.25,0,37.17,0,0,0,80.91,53.88,0,0,130.84,418.77,45,28.06,0,0,689.38,5.73,21.65,105.39,19.56,0,0,0,84.83,75.56,52.34

8,01:45-02:00,98.87,5.67,23.96,98.32,0,0,0,42.15,47.12,0,2.32,8.62,0,24.23,175.79,0,16.41,0,0,0,0,42.46,19.46,45.53,42.83,0,12.66,65.59,0,0,18.34,113.75,13.06,27.69,37.53,0,0,24.99,0,0,0,125.27,0,0,3.22,33.94,667.25,0,37.17,0,0,0,80.91,53.88,0,0,130.84,418.77,45,28.06,0,0,689.38,5.73,21.65,105.39,19.56,0,0,0,84.83,75.56,52.34

9,02:00-02:15,98.87,5.67,23.96,98.32,0,0,0,42.15,47.12,0,2.32,8.62,0,24.23,175.79,0,16.41,0,0,0,0,42.46,19.46,45.53,42.83,0,12.66,65.59,0,0,18.34,113.75,13.06,27.69,52.36,0,0,24.99,0,0,0,125.27,0,0,3.22,33.94,667.25,0,37.17,0,0,0,80.91,53.88,0,0,130.84,418.77,45,37.42,0,0,689.38,5.73,21.65,105.39,19.56,0,0,0,84.83,75.56,52.59

10,02:15-02:30,98.87,5.67,23.96,98.32,0,0,0,42.15,47.12,0,2.32,8.62,0,24.23,175.79,0,16.41,0,0,0,0,42.46,19.46,45.53,42.83,0,12.66,65.59,0,0,18.34,113.75,13.06,27.69,52.36,0,0,24.99,0,0,0,125.27,0,0,3.22,33.94,667.25,0,37.17,0,0,0,80.91,53.88,0,0,130.84,418.77,45,37.42,0,0,689.38,5.73,21.65,105.39,19.56,0,0,0,84.83,75.56,52.59

11,02:30-02:45,98.87,5.67,23.96,98.32,0,0,0,42.15,47.12,0,2.32,8.62,0,24.23,175.79,0,16.41,0,0,0,0,42.46,19.46,45.53,42.83,0,12.66,65.59,0,0,18.34,113.75,13.06,27.69,52.36,0,0,24.99,0,0,0,125.27,0,0,3.22,33.94,667.25,0,37.17,0,0,0,80.91,53.88,0,0,130.84,418.77,45,28.06,0,0,689.38,5.73,21.65,105.39,19.56,0,0,0,84.83,75.56,52.59

