Block,Time,JHAJJAR,UNCHAHAR4,DADRI_GF,CHAMERA3,NAPP,NJPC,RIHAND3,DADRI_LF,UNCHAHAR1,TANAKPUR,RAMPUR,RAPPB,DADRI_CRF,RAPPC,ANTA_GF,KOLDAM,TEHRI,UNCHAHAR3,DULHASTI,CHAMERA1,ANTA_LF,AURY_RF,SEWA2,KOTESHWR,AURY_LF,DADRI_RF,ANTA_CRF,PARBATI3,SALAL,AURY_GF,RIHAND1,URI2,BSIUL,RIHAND2,UNCHAHAR2,TANDA2,ANTA_RF,SINGRAULI,DHAULIGNGA,CHAMERA2,AURY_CRF,SINGRAULI_HYDRO,URI,DADRT2,KISHANGANGA,FSTPP I & II,BRBCL,KHSTPP-I,SASAN,TALA,KHSTPP-II,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,393.930748,0.000000,0.000000,0.000000,39.009918,54.905166,119.498093,0.000000,10.757721,12.663004,0.000000,0.000000,0.000000,25.137811,0.000000,0.000000,43.831368,14.587748,47.770544,0.000000,0.000000,0.000000,0.000000,8.574946,0.000000,0.000000,0.000000,0.000000,23.579653,0.000000,69.573600,30.822440,0.000000,56.006651,40.961554,0.000000,0.000000,99.649688,17.615456,11.592701,0.000000,0.794869,46.938989,568.684460,0.000000,8.605682,13.805528,28.740661,335.910038,15.625071,142.544348,9.66,0,0,0,0,0

2,00:15-00:30,393.930748,0.000000,0.000000,0.000000,39.009918,41.178874,119.498093,0.000000,10.757721,12.663004,0.000000,0.000000,0.000000,25.137811,0.000000,0.000000,29.220912,14.587748,47.770544,0.000000,0.000000,0.000000,0.000000,8.574946,0.000000,0.000000,0.000000,0.000000,23.579653,0.000000,69.573600,30.822440,0.000000,56.006651,40.961554,0.000000,0.000000,99.649688,17.615456,11.592701,0.000000,0.794869,46.938989,568.684460,0.000000,11.023254,13.805528,28.740661,335.910038,15.625071,142.544348,9.66,0,0,0,0,0

3,00:30-00:45,393.930748,0.000000,0.000000,0.000000,39.009918,41.178874,119.498093,0.000000,10.757721,12.663004,0.000000,0.000000,0.000000,25.137811,0.000000,0.000000,14.610456,14.587748,47.770544,0.000000,0.000000,0.000000,0.000000,8.574946,0.000000,0.000000,0.000000,0.000000,23.579653,0.000000,69.573600,30.822440,0.000000,56.006651,40.961554,0.000000,0.000000,99.649688,17.615456,11.592701,0.000000,0.794869,11.734747,508.519672,0.000000,11.025483,13.805528,28.740661,335.910038,15.625071,142.544348,9.66,0,0,0,0,0

4,00:45-01:00,393.930748,0.000000,0.000000,0.000000,39.009918,41.178874,119.498093,0.000000,10.757721,12.663004,0.000000,0.000000,0.000000,25.137811,0.000000,0.000000,0.000000,14.587748,47.770544,0.000000,0.000000,0.000000,0.000000,8.574946,0.000000,0.000000,0.000000,0.000000,23.579653,0.000000,69.573600,30.822440,0.000000,56.006651,40.961554,0.000000,0.000000,99.649688,17.615456,11.592701,0.000000,0.794869,10.667952,487.362102,0.000000,11.025483,13.805528,28.740661,335.910038,15.625071,142.544348,9.66,0,0,0,0,0

5,01:00-01:15,393.930748,0.000000,0.000000,0.000000,39.009918,41.178874,119.498093,0.000000,10.757721,12.663004,0.000000,0.000000,0.000000,25.137811,0.000000,0.000000,0.000000,14.587748,47.770544,0.000000,0.000000,0.000000,0.000000,8.574946,0.000000,0.000000,0.000000,0.000000,23.579653,0.000000,69.573600,30.822440,0.000000,56.006651,35.388805,0.000000,0.000000,99.649688,17.615456,11.592701,0.000000,0.794869,10.667952,487.362102,0.000000,11.025483,13.805528,28.740661,335.910038,15.625071,142.544348,0.60,0,0,0,0,0

