Block,Time Block,BRBCL,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,ANTA_GF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,RIHAND2,SASAN,RIHAND1,SIMHST1,RSTPSU1TO6,SIMHST2,RAPPC,RSTPSU7,SALAL,SEWA2,RIHAND3,RAPPB,TALST2,SINGRAULI_HYDRO,TALA,SINGRAULI,URI,TEHRI,VALLURNTECL,TANDA2,UNCHAHAR1,UNCHAHAR4,URI2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,UNCHAHAR2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,NLCEXP,MAPS,NLCIIST1,NJPC,NLCIIST2,RAMPUR,NAPP,KUDGI,KOTESHWR,DADRT2,DULHASTI,KGSU1AND2,CHAMERA1,BSIUL,CHAMERA3,JHAJJAR,CHAMERA2,DHAULIGNGA,FSTPP I & II,KGSU3AND4,KHSTPP-I,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,48.43,0,123.67,0,0,0,9.6,120.79,21.4,51.52,0,2.71,15.24,1.57,34.37,0,12.6,0,19.02,0,0,0,3.82,0,0,0,110.3,0,2.36,44.29,0,9.36,330.43,52.85,0,27.23,6.32,20.71,515.43,26.02,38.96,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

2,00:15-00:30,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,48.43,0,123.67,0,0,0,9.6,120.79,21.4,51.52,0,2.71,15.24,1.57,34.37,0,12.6,0,19.02,0,0,0,3.82,0,0,0,110.3,0,2.36,44.29,0,9.36,330.43,52.85,0,27.23,6.32,20.71,515.43,26.02,38.96,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

3,00:30-00:45,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,48.43,0,123.67,0,0,0,9.6,120.79,26.75,34.35,0,2.71,14.22,1.57,34.37,0,12.6,0,19.02,0,0,0,3.82,0,0,0,110.3,0,2.36,44.29,0,9.36,332.46,52.85,0,27.23,6.32,20.71,515.43,26.02,38.96,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

4,00:45-01:00,13.55,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,48.43,0,123.67,0,0,0,9.6,120.79,26.75,34.35,0,2.71,14.01,1.57,34.37,0,12.6,0,19.02,0,0,0,3.82,0,0,0,110.3,0,2.36,44.29,0,9.36,332.46,52.85,0,27.23,6.32,20.71,515.43,26.02,38.96,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

5,01:00-01:15,12.43,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,48.43,0,123.67,0,0,0,9.74,120.79,21.4,17.17,0,2.71,15.24,1.57,34.37,0,12.6,0,19.02,0,0,0,3.82,0,0,0,110.3,0,2.36,44.29,0,9.36,332.46,52.85,0,27.23,6.32,20.71,515.43,26.02,38.96,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

6,01:15-01:30,12.19,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,48.43,0,123.67,0,0,0,9.74,120.79,21.4,17.17,0,2.71,15.24,1.57,34.37,0,12.6,0,19.02,0,0,0,3.82,0,0,0,110.3,0,2.36,44.29,0,9.36,332.46,52.85,0,27.23,6.32,20.71,515.43,26.02,38.96,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

7,01:30-01:45,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,48.43,0,123.67,0,0,0,9.74,120.79,21.4,0,0,2.71,16.36,1.57,15.76,0,12.6,0,19.02,0,0,0,3.4,0,0,0,110.3,0,2.36,44.29,0,9.36,332.46,52.85,0,27.23,6.32,20.71,515.43,26.02,38.96,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

8,01:45-02:00,11.27,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,48.43,0,123.67,0,0,0,9.74,120.79,21.4,0,0,2.71,17.49,1.57,14.32,0,12.6,0,19.02,0,0,0,3.4,0,0,0,110.3,0,2.36,44.29,0,9.36,332.46,52.85,0,27.23,6.32,20.71,468.89,26.02,38.96,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

9,02:00-02:15,10.75,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,48.43,0,123.67,0,0,0,9.74,120.79,19.26,0,0,2.71,16.38,1.57,14.32,0,12.6,0,19.02,0,0,0,3.4,0,0,0,110.3,0,2.36,44.29,0,9.36,332.46,52.85,0,27.23,6.32,20.71,508.03,26.02,38.96,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

10,02:15-02:30,10.35,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,48.43,0,123.67,0,0,0,9.74,120.79,19.26,0,0,2.71,16.77,1.57,14.32,0,12.6,0,19.02,0,0,0,3.4,0,0,0,110.3,0,2.36,44.29,0,9.36,332.46,52.85,0,27.23,6.32,20.71,438.13,26.02,38.96,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

11,02:30-02:45,11.77,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,76.94,0,123.67,0,0,0,9.46,120.79,19.26,0,0,2.71,17.56,1.57,14.32,0,12.6,0,19.02,0,0,0,3.4,0,0,0,110.3,0,2.36,44.29,0,9.36,332.46,52.85,0,27.23,6.32,20.71,457.26,26.02,38.96,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

12,02:45-03:00,14.24,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,76.94,0,123.67,0,0,0,9.46,120.79,19.26,0,0,2.71,17.56,1.57,14.32,0,12.6,0,19.02,0,0,0,0,0,0,0,110.3,0,2.36,44.29,0,9.36,332.46,52.85,0,27.23,6.32,20.71,457.26,26.02,38.96,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

13,03:00-03:15,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,76.94,0,123.67,0,0,0,9.46,120.79,19.26,0,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,0,0,0,0,110.3,0,2.36,44.29,0,9.36,330.43,52.85,0,27.23,6.32,20.71,457.26,26.02,29.3,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

14,03:15-03:30,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,76.94,0,123.67,0,0,0,9.46,120.79,19.26,0,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,0,0,0,0,110.3,0,2.36,44.29,0,9.36,330.43,52.85,0,27.23,6.32,20.71,457.26,26.02,29.3,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

15,03:30-03:45,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,76.94,0,123.67,0,0,0,9.46,120.79,17.13,0,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,0,0,0,0,110.3,0,2.36,44.29,0,9.36,330.43,52.85,0,27.23,6.32,20.71,360.34,26.02,29.3,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

16,03:45-04:00,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,76.94,0,123.67,0,0,0,9.46,120.79,17.13,0,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,0,0,0,0,110.3,0,2.36,44.29,0,9.36,330.43,52.85,0,27.23,6.32,20.71,360.34,26.02,29.3,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

17,04:00-04:15,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,76.94,0,123.67,0,0,0,9.46,120.79,12.84,0,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,0,0,0,0,110.3,0,2.36,44.29,0,9.36,330.43,52.85,0,27.23,6.32,20.71,439.81,26.02,29.3,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

18,04:15-04:30,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,76.94,0,123.67,0,0,0,9.46,120.79,12.84,17.17,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,0,0,0,0,110.3,0,2.36,44.29,0,9.36,330.43,52.85,0,27.23,6.32,20.71,439.81,26.02,29.3,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

19,04:30-04:45,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,48.43,0,123.67,0,0,0,9.46,120.79,12.84,17.17,0,2.71,17.41,1.57,14.32,0,11.42,0,19.02,0,0,0,0,0,0,0,110.3,0,2.36,44.29,0,9.36,327.99,52.85,0,27.23,6.32,20.71,439.8,26.02,29.3,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

20,04:45-05:00,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,48.43,0,123.67,0,0,0,9.46,120.79,12.84,34.35,0,2.71,17.41,1.57,14.32,0,11.42,0,19.02,0,0,0,0,0,0,0,110.3,0,2.36,44.29,0,9.36,327.99,52.85,0,27.23,6.32,20.71,439.8,26.02,29.3,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

21,05:00-05:15,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,9.18,120.79,17.13,34.35,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,0,0,0,0,148.62,0,3.19,44.29,0,9.36,330.43,52.85,0,27.23,6.32,20.71,439.81,26.02,29.3,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

22,05:15-05:30,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,405.87,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,8.89,120.79,17.13,51.52,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,3.4,0,0,0,148.62,0,3.19,44.29,0,9.36,330.43,52.85,0,27.23,6.32,20.71,439.81,26.02,29.3,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

23,05:30-05:45,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,384.89,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,8.61,120.79,17.13,51.52,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,8.17,0,0,0,148.62,0,3.19,44.29,0,9.36,330.43,52.85,0,40.85,6.32,20.71,439.81,26.02,29.3,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

24,05:45-06:00,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,365.27,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,8.32,120.79,17.13,68.69,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,52.44,0,0,0,148.62,0,3.19,44.29,0,9.36,330.43,52.85,0,40.85,6.32,20.71,439.81,26.02,29.3,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

25,06:00-06:15,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,8.32,120.79,17.13,68.69,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,52.44,0,0,0,148.62,0,3.19,44.29,0,9.36,330.43,52.85,0,40.85,6.32,20.71,342.89,26.02,29.3,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

26,06:15-06:30,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,8.18,120.79,17.13,68.69,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,52.44,0,0,0,148.62,0,3.19,44.29,0,9.36,330.43,52.85,0,40.85,6.32,20.71,342.89,26.02,29.3,20.16,0,43.54,45.76,0,0,3.89,0,0,0,0,0,0

27,06:30-06:45,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,8.03,120.79,17.13,51.52,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,52.44,0,0,0,148.62,0,3.19,44.29,0,9.36,330.43,52.85,0,40.85,6.32,20.71,342.89,26.02,29.3,20.16,0,43.54,43.47,0,0,3.89,0,0,0,0,0,0

28,06:45-07:00,14.54,0,0,0,0,0,0,0,0,0,0,0,0,117.96,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,8.03,120.79,17.13,34.35,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,52.44,0,0,0,148.62,0,3.19,44.29,0,9.36,330.43,52.85,0,40.85,6.32,20.71,342.89,26.02,29.3,20.16,0,43.54,43.47,0,0,3.89,0,0,0,0,0,0

29,07:00-07:15,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,8.09,120.79,21.4,17.17,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,35.41,0,0,0,148.62,0,3.19,44.29,0,9.36,330.43,52.85,0,27.23,6.32,20.71,440.31,26.02,29.3,20.16,0,43.54,44.79,0,0,3.89,0,0,0,0,0,0

30,07:15-07:30,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,8.23,120.79,21.4,17.17,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,8.17,0,0,0,135.38,0,2.91,44.29,0,9.36,330.43,52.85,0,27.23,6.32,20.71,488.77,26.02,29.3,20.16,0,43.54,44.82,0,0,3.89,0,0,0,0,0,0

31,07:30-07:45,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,8.46,120.79,26.75,17.17,0,2.71,17.56,1.57,14.32,0,11.42,0,19.02,0,0,0,3.4,0,0,0,135.38,0,2.91,44.29,0,9.36,330.43,52.85,0,13.62,6.32,10.36,488.77,26.02,29.3,20.16,0,43.54,44.82,0,0,3.89,0,0,0,0,0,0

32,07:45-08:00,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,8.61,120.79,26.75,17.17,0,2.71,17.56,1.57,14.32,0,11.42,0,16.47,0,0,0,3.4,0,0,0,135.38,0,2.91,44.29,0,9.36,330.43,52.85,0,13.62,6.32,10.36,391.85,13.02,29.3,17.38,0,43.54,44.82,0,0,3.89,0,0,0,0,0,0

33,08:00-08:15,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,8.61,120.79,32.1,0,0,2.71,17.56,1.57,14.32,0,11.42,0,16.47,0,0,0,3.4,0,0,0,135.38,0,2.91,44.29,0,9.36,330.43,52.85,0,13.62,6.32,10.36,391.85,13.02,29.3,17.38,0,43.54,44.82,0,0,3.89,0,0,0,0,0,0

34,08:15-08:30,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,8.75,120.79,32.1,0,0,2.71,17.56,1.57,14.32,0,11.42,0,16.47,0,0,0,3.4,0,0,0,135.38,0,2.91,44.29,0,9.36,330.43,52.85,0,13.62,6.32,10.36,391.85,13.02,29.3,17.38,0,43.54,44.82,0,0,3.89,0,0,0,0,0,0

35,08:30-08:45,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,9.46,120.79,32.1,0,0,2.71,17.56,1.57,14.32,0,11.42,0,16.47,0,0,0,3.4,0,0,0,135.38,0,2.91,44.29,0,9.36,295.19,52.85,0,13.62,6.32,10.36,391.85,13.02,29.3,17.38,0,43.54,44.82,0,0,3.53,0,0,0,0,0,0

36,08:45-09:00,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,9.46,120.79,32.1,0,0,2.71,17.56,1.57,14.32,0,11.42,0,16.47,0,0,0,3.4,0,0,0,135.38,0,2.91,44.29,0,9.36,255.91,52.85,0,13.62,6.32,10.36,391.85,13.02,29.3,17.38,0,43.54,44.82,0,0,3.53,0,0,0,0,0,0

37,09:00-09:15,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,9.46,84.55,32.1,0,0,2.71,17.56,1.57,14.32,0,11.42,0,16.47,0,0,0,3.4,0,0,0,135.38,0,2.91,44.29,0,9.36,212.29,52.85,0,11.49,6.32,10.36,391.85,13.02,29.3,17.38,0,43.54,44.82,0,0,2.36,0,0,0,0,0,0

38,09:15-09:30,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,9.6,84.55,26.75,0,0,2.71,17.56,1.57,14.32,0,11.42,0,16.47,0,0,0,3.4,0,0,0,135.38,0,2.91,44.29,0,9.36,207.45,52.85,0,4.82,6.32,10.36,391.85,13.02,29.3,17.38,0,43.54,44.82,0,0,2.36,0,0,0,0,0,0

39,09:30-09:45,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,9.6,84.55,26.75,0,0,2.71,17.56,1.57,14.32,0,11.42,0,16.47,0,0,0,3.4,0,0,0,135.38,0,2.91,44.29,0,9.36,197.76,52.85,0,0,6.32,10.36,391.85,13.02,29.3,17.38,0,43.54,44.82,0,0,2.36,0,0,0,0,0,0

40,09:45-10:00,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,9.74,84.55,26.75,0,0,2.71,17.56,1.57,14.32,0,11.42,0,16.47,0,0,0,3.4,0,0,0,135.38,0,2.91,44.29,0,9.36,202.6,52.85,0,0,6.32,10.36,391.85,13.02,29.3,17.38,0,43.54,44.82,0,0,1.17,0,0,0,0,0,0

41,10:00-10:15,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,11.74,84.55,26.75,0,0,2.71,17.56,1.57,14.32,0,11.42,0,16.47,0,0,0,0,0,0,0,135.38,0,2.91,44.29,0,9.36,197.76,52.85,0,0,6.32,10.36,362.4,13.02,29.3,17.38,0,43.54,44.82,0,0,1.17,0,0,0,0,0,0

42,10:15-10:30,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,11.74,84.55,26.75,0,0,2.71,17.56,1.57,14.32,0,11.42,0,16.47,0,0,0,0,0,0,0,135.38,0,2.91,44.29,0,9.36,188.06,52.85,0,0,6.32,10.36,362.4,13.02,29.3,17.38,0,43.54,44.82,0,0,1.17,0,0,0,0,0,0

43,10:30-10:45,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,11.74,84.55,32.1,0,0,2.71,17.56,1.57,14.32,0,11.42,0,16.47,0,0,0,0,0,0,0,135.38,0,2.91,44.29,0,9.36,188.06,52.85,0,0,6.32,10.36,362.4,13.02,29.3,17.38,0,43.54,44.82,0,0,1.17,1.4,0,0,0,0,0

44,10:45-11:00,14.54,0,0,0,0,0,0,0,0,0,0,0,0,56.31,338.23,45.87,0,0,0,58.37,0,49.56,0,123.67,0,0,0,11.74,84.55,32.1,0,0,2.71,17.56,1.57,14.32,0,11.42,0,16.47,0,0,0,0,0,0,0,135.38,0,2.91,44.29,0,9.36,206.79,52.85,0,0,6.32,10.36,362.4,13.02,29.3,17.38,0,43.54,44.82,0,0,1.17,1.4,0,0,0,0,0

