Block,Time,JHAJJAR,UNCHAHAR2,UNCHAHAR4,ANTA_LF,BRBCL,CHAMERA1,KOTESHWR,PARBATI3,RIHAND3,RSTPSU7,SINGRAULI,URI,AURY_CRF,AURY_GF,DADRI_LF,CHAMERA3,NLCEXP,RAPPB,RAPPC,RIHAND1,SALAL,SIMHST1,SINGRAULI_HYDRO,TALST2,TANAKPUR,ANTA_CRF,KGSU1AND2,KHSTPP-II,NNTPP,NTPL,RAMPUR,TALA,VALLURNTECL,ANTA_GF,ANTA_RF,DADRI_RF,KISHANGANGA,NLCIIST1,NLCTS2EXP,SEWA2,SIMHST2,TANDA2,UNCHAHAR3,BSIUL,DHAULIGNGA,DULHASTI,FSTPP I & II,KKNP,KKNPPU2,KOLDAM,NAPP,RSTPSU1TO6,SASAN,CHAMERA2,MAPS,TelanganaSTPP,UNCHAHAR1,URI2,DADRT2,KGSU3AND4,KHSTPP-I,KUDGI,NJPC,NLCIIST2,RIHAND2,TEHRI,AURY_LF,AURY_RF,DADRI_CRF,DADRI_GF
1,00:00-00:15,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.45,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,7.81,0,0,98.87,0,0,0,0,0,0,43.99,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

2,00:15-00:30,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.45,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,7.81,0,0,98.87,0,0,0,0,0,0,43.99,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

3,00:30-00:45,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,7.81,0,0,98.87,0,0,0,0,0,0,44.21,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

4,00:45-01:00,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,7.81,0,0,98.87,0,0,0,0,0,0,44.21,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

5,01:00-01:15,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,7.81,0,0,98.87,0,0,0,0,0,0,44.21,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

6,01:15-01:30,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,7.81,0,0,98.87,0,0,0,0,0,0,44.21,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

7,01:30-01:45,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,1.92,0,0,98.87,0,0,0,0,0,0,44.21,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

8,01:45-02:00,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,1.03,0,0,98.87,0,0,0,0,0,0,44.21,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

9,02:00-02:15,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,1.03,0,0,98.87,0,0,0,0,0,0,44.21,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

10,02:15-02:30,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,1.03,0,0,98.87,0,0,0,0,0,0,44.42,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

11,02:30-02:45,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,1.03,0,0,98.87,0,0,0,0,0,0,44.21,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

12,02:45-03:00,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,1.03,0,0,98.87,0,0,0,0,0,0,44.21,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

13,03:00-03:15,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,1.03,0,0,98.87,0,0,0,0,0,0,44.42,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

14,03:15-03:30,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,1.03,0,0,98.87,0,0,0,0,0,0,44.42,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

15,03:30-03:45,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,12.78,0,0.65,0,1.03,0,0,98.87,0,0,0,0,0,0,44.42,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.54,0,70.81,0,0

16,03:45-04:00,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,55.77,0,0.65,0,1.03,0,0,98.87,0,0,0,0,0,0,44.52,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.85,0,70.81,0,0

17,04:00-04:15,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,55.77,0,0.65,0,1.03,0,0,98.87,0,0,0,0,0,0,44.52,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.85,0,70.81,0,0

18,04:15-04:30,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,55.77,0,0.65,0,1.03,0,0,98.87,0,0,0,0,0,0,44.52,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.85,0,70.81,0,0

19,04:30-04:45,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,55.77,0,0.65,0,1.03,0,0,98.87,0,0,0,0,0,0,44.52,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.85,0,70.81,0,0

20,04:45-05:00,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,9.29,0,0.65,0,1.03,0,0,98.87,0,0,0,0,0,0,44.52,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.85,0,70.81,0,0

21,05:00-05:15,434.65,42.39,0,0,15,0,8.87,0,62.16,0,139.69,0.55,0,0,0,0,0,0,26.01,92,1.4,0,0.65,0,1.03,0,0,98.87,0,0,0,0,0,0,44.52,90.42,0,0,0,0,0,0,26.4,0,0,0,20.8,0,0,0,43.36,0,343.12,0,0,0,19.98,4.31,683.14,0,45.53,0,0,0,118.76,12.85,0,70.81,0,0

