Block,Time,ANTA_GF,DADRI_LF,TEHRI,DADRI_RF,TANAKPUR,URI2,DADRI_CRF,UNCHAHAR1,DADRI_GF,RAPPB,UNCHAHAR3,ANTA_RF,BSIUL,ANTA_LF,UNCHAHAR4,AURY_LF,KISHANGANGA,KOLDAM,SINGRAULI,AURY_GF,PARBATI3,RIHAND3,UNCHAHAR2,CHAMERA2,SALAL,RIHAND1,JHAJJAR,NJPC,URI,AURY_CRF,AURY_RF,SEWA2,SINGRAULI_HYDRO,RAPPC,ANTA_CRF,RIHAND2,NAPP,DULHASTI,CHAMERA1,TANDA2,KOTESHWR,DHAULIGNGA,RAMPUR,CHAMERA3,DADRT2,FSTPP I & II,KHSTPP-II,TALA,KHSTPP-I,BRBCL,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,0.000000,0.246849,30.733128,0.000000,8.042527,0.000000,0.000000,18.399478,0.000000,6.282791,0.000000,0.000000,0.000000,0.000000,0.000000,120.779851,0.000000,0.000000,58.463831,32.081756,0.000000,12.315457,88.642000,231.240000,0.000000,40.420752,0.000000,0.000000,0.000000,0.792565,52.086232,0.000000,55.844460,42.086836,15.877374,0.000000,0.000000,8.075094,0.000000,0.000000,0.000000,361.601550,19.973355,141.885877,0.000000,44.705514,19.269968,403.484895,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,0.000000,0.246849,30.733128,0.000000,8.042527,0.000000,0.000000,18.399478,0.000000,6.282791,0.000000,0.000000,0.000000,0.000000,0.000000,121.003556,0.000000,0.000000,58.463831,32.081756,0.000000,12.315457,88.642000,231.240000,0.000000,40.420752,0.000000,0.000000,0.000000,0.792565,52.086232,0.000000,55.844460,42.086836,15.877374,0.000000,0.000000,8.075094,0.000000,0.000000,0.000000,361.601550,19.973355,141.885877,0.000000,44.705514,19.269968,403.484895,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,0.000000,0.246849,30.733128,0.000000,8.042527,0.000000,0.000000,18.399478,0.000000,6.282791,0.000000,0.000000,0.000000,0.000000,0.000000,121.003556,0.000000,0.000000,58.463831,32.081756,0.000000,12.315457,88.642000,231.240000,0.000000,34.038528,0.000000,0.000000,0.000000,0.792565,52.086232,0.000000,55.844460,42.086836,15.877374,0.000000,0.000000,8.075094,0.000000,0.000000,0.000000,361.601550,16.018573,141.885877,0.000000,34.706330,18.660347,403.484895,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,0.000000,0.246849,30.733128,0.000000,8.042527,0.000000,0.000000,18.399478,0.000000,6.282791,0.000000,0.000000,0.000000,0.000000,0.000000,121.003556,0.000000,0.000000,58.463831,32.081756,0.000000,12.315457,88.642000,231.240000,0.000000,34.038528,0.000000,0.000000,0.000000,0.792565,52.086232,0.000000,55.844460,42.086836,15.877374,0.000000,0.000000,8.075094,0.000000,0.000000,0.000000,361.601550,16.018573,141.885877,0.000000,34.706330,16.776725,403.484895,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,0.000000,0.246849,30.733128,0.000000,8.042527,0.000000,0.000000,18.399478,0.000000,6.282791,0.000000,0.000000,0.000000,0.000000,0.000000,121.003556,0.000000,0.000000,58.463831,32.081756,0.000000,12.315457,88.642000,231.240000,0.000000,34.038528,0.000000,0.000000,0.000000,0.792565,52.086232,0.000000,55.844460,42.086836,15.877374,0.000000,0.000000,8.075094,0.000000,0.000000,0.000000,361.601550,16.018573,113.182441,0.000000,34.706330,13.440703,403.484895,0,0,0,0,0

