Block,Time,BSIUL,CHAMERA2,NLCEXP,NLCIIST1,RSTPSU1TO6,SIMHST1,SIMHST2,DULHASTI,JHAJJAR,KOTESHWR,RAMPUR,RAPPB,RIHAND2,RIHAND3,SALAL,TelanganaSTPP,UNCHAHAR2,UNCHAHAR4,AURY_CRF,AURY_GF,KGSU1AND2,KGSU3AND4,KHSTPP-II,NAPP,NLCIIST2,NLCTS2EXP,NNTPP,PARBATI3,SEWA2,TANAKPUR,TANDA2,TEHRI,URI,URI2,DADRI_GF,DADRI_LF,CHAMERA1,FSTPP I & II,KISHANGANGA,KKNPPU2,RSTPSU7,TALST2,ANTA_LF,CHAMERA3,DADRT2,MAPS,SASAN,SINGRAULI,AURY_LF,AURY_RF,BRBCL,KKNP,KOLDAM,NJPC,SINGRAULI_HYDRO,VALLURNTECL,ANTA_RF,KUDGI,RAPPC,RIHAND1,TALA,UNCHAHAR3,DADRI_CRF,DADRI_RF,DHAULIGNGA,KHSTPP-I,NTPL,UNCHAHAR1,ANTA_CRF,ANTA_GF
1,00:00-00:15,0,11.19,0,0,0,0,0,54.53,413.81,9.66,2.44,0,121.71,127.6,51.13,0,43.71,1.62,0,0,0,0,90.22,44.99,0,0,0,0,0,10.96,2.89,53.16,50.34,35.46,0,0,14.05,20.8,0,0,0,0,0,10.69,686.07,0,416.25,106.72,0,77.33,15,0,4.01,113.81,0,0,31.94,0,60.09,47.33,10.76,0,0,101.12,40.2,44.92,0,20.96,0,0

2,00:15-00:30,0,11.19,0,0,0,0,0,54.53,413.81,9.66,2.44,0,121.71,127.6,51.13,0,43.71,1.62,0,0,0,0,90.22,44.99,0,0,0,0,0,10.96,2.89,53.16,50.34,35.46,0,0,0,20.8,0,0,0,0,0,10.69,686.07,0,416.25,106.72,0,77.33,15,0,4.01,113.81,0,0,31.94,0,60.09,47.33,10.76,0,0,101.12,40.2,44.92,0,20.96,0,0

3,00:30-00:45,0,11.19,0,0,0,0,0,54.53,413.81,9.66,2.44,0,121.71,127.6,51.13,0,43.71,1.62,0,0,0,0,90.22,44.99,0,0,0,0,0,10.96,2.89,53.16,16.56,35.46,0,0,0,20.8,0,0,0,0,0,10.69,686.07,0,416.25,106.72,0,77.33,15,0,4.01,113.81,0,0,31.94,0,60.09,47.33,10.76,0,0,101.12,40.2,44.92,0,20.96,0,0

4,00:45-01:00,0,11.19,0,0,0,0,0,54.53,413.81,9.66,2.44,0,121.71,127.6,51.13,0,43.71,1.62,0,0,0,0,90.22,44.99,0,0,0,0,0,10.96,2.89,35.44,11.04,35.46,0,0,0,20.8,0,0,0,0,0,10.69,686.07,0,416.25,106.72,0,77.33,15,0,4.01,113.81,0,0,31.94,0,60.09,47.33,10.76,0,0,101.12,40.2,44.92,0,20.96,0,0

5,01:00-01:15,0,11.19,0,0,0,0,0,54.53,413.81,9.66,2.44,0,121.71,127.6,79.38,0,43.71,1.62,0,0,0,0,90.22,44.99,0,0,0,0,0,10.96,2.89,35.44,11.04,35.46,0,0,0,20.8,0,0,0,0,0,10.69,686.07,0,416.25,106.72,0,77.33,15,0,4.01,113.81,0,0,31.94,0,60.09,47.33,10.76,0,0,101.12,40.2,44.92,0,20.96,0,0

