Block,Time,SASAN,FSTPP I & II,KUDGI,BRBCL,TALA,KHSTPP-I,KHSTPP-II,RAPPC,ANTA_CRF,SALAL,DULHASTI,AURY_GF,DADRI_CRF,AURY_RF,DADRI_RF,KOLDAM,PARBATI3,ANTA_LF,RIHAND3,DADRI_LF,KISHANGANGA,RIHAND2,SEWA2,ANTA_GF,RAPPB,CHAMERA2,SINGRAULI_HYDRO,BSIUL,DADRI_GF,ANTA_RF,JHAJJAR,KOTESHWR,NAPP,UNCHAHAR2,DHAULIGNGA,TANDA2,TANAKPUR,SINGRAULI,URI2,AURY_CRF,CHAMERA3,DADRT2,NJPC,AURY_LF,CHAMERA1,UNCHAHAR1,UNCHAHAR4,TEHRI,UNCHAHAR3,RIHAND1,RAMPUR,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,337.214542,11.015820,22.22,14.495805,24.147837,36.951312,85.561057,24.892564,0.000000,34.808059,47.770544,0.000000,0.000000,4.831500,6.764100,0.000000,0.000000,0.000000,119.498093,0.000000,0.000000,56.615517,0.000000,0.000000,0.000000,11.592701,0.757898,0.000000,0.000000,4.831500,535.946603,8.574946,39.113118,24.306109,8.807728,0.000000,11.388039,99.649688,30.822440,0.000000,0.000000,660.114860,36.603444,0.000000,0.000000,16.127160,0.000000,0.000000,14.026512,76.273280,0.000000,47.472386,0,0,0,0,0

2,00:15-00:30,337.214542,11.015820,20.29,14.495805,24.147837,36.951312,86.160140,24.892564,0.000000,34.808059,47.770544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,119.498093,0.000000,0.000000,56.615517,0.000000,0.000000,0.000000,11.592701,0.757898,0.000000,0.000000,0.066464,535.946603,8.574946,39.113118,24.329018,8.807728,0.000000,11.388039,99.649688,30.822440,0.000000,0.000000,660.114860,36.603444,0.000000,0.000000,16.127160,0.000000,0.000000,14.026512,77.304000,0.000000,47.472386,0,0,0,0,0

3,00:30-00:45,337.214542,11.015820,19.33,14.495805,24.147837,36.951312,86.160140,24.892564,0.000000,34.808059,47.770544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,119.498093,0.000000,0.000000,56.615517,0.000000,0.000000,0.000000,11.592701,0.757898,0.000000,0.000000,0.000000,593.924603,8.574946,39.113118,24.329018,8.807728,0.000000,11.388039,99.649688,30.822440,0.000000,0.000000,660.114860,36.603444,0.000000,0.000000,16.127160,0.000000,0.000000,14.026512,77.304000,0.000000,12.801542,0,0,0,0,0

4,00:45-01:00,337.214542,11.015820,18.36,14.495805,24.147837,36.951312,86.160140,24.892564,0.000000,34.808059,47.770544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,119.498093,0.000000,0.000000,56.615517,0.000000,0.000000,0.000000,11.592701,0.757898,0.000000,0.000000,0.000000,631.122321,8.574946,39.113118,24.329018,8.807728,0.000000,11.388039,99.649688,30.822440,0.000000,0.000000,660.114860,36.603444,0.000000,0.000000,16.127160,0.000000,0.000000,14.026512,77.304000,0.000000,10.667952,0,0,0,0,0

5,01:00-01:15,337.214542,11.015820,15.46,14.495805,24.147837,36.951312,86.160140,24.892564,0.000000,34.808059,47.770544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,119.498093,0.000000,0.000000,56.615517,0.000000,0.000000,0.000000,0.000000,0.757898,0.000000,0.000000,0.000000,631.122321,0.000000,39.113118,24.329018,8.807728,0.000000,12.663004,99.649688,10.398934,0.000000,0.000000,660.114860,36.603444,0.000000,0.000000,16.127160,0.000000,0.000000,14.026512,77.304000,0.000000,10.667952,0,0,0,0,0

