Column1,Block,NR/2024/23115/A/37489,NR/2024/23116/A/37492,NR/2024/23137/C,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/6566,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7908,NR/2024/22839/A/37540,NR/2024/22754/A/37516,NR/2024/23133/C,NR/2024/22832/A/37544,NR/2024/22833/A/37543,GNA/NR/2024/09/01/9821,NR/2024/22837/A/37541,NR/2024/22820/A/37297,NR/2024/23135/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23038/A/37291,NR/2024/21658/A/37295,GNA/NR/2024/09/01/7119,NR/30092023/26122029/SH-06,NR/2024/22803/A/37547,NR/2024/22848/A/37527,NR/2024/23017/A/37317,GNA/NR/2024/09/01/6020,NR/2024/22874/A/37546,GNA/NR/2024/09/01/8090,NR/2024/23140/C,NR/2024/23136/C,NR/2024/22835/A/37506,Total
,,SJVNL,SJVNL,NVVNL,PTC,TPTCL,BAWANA_GAS,MANIKARAN,MANIKARAN,NVVNL,PTC,TPDDL,NVVNL,NVVNL,APPCPL,NVVNL,IEXL,NVVNL,DELHI,IEXL,ITCLH,JITPL,PUNJAB,NVVNL,APPCPL,DIAPL,INSTINCT,NVVNL,DELHI,SJVNL,NVVNL,MANIKARAN,
,,NA,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,ODISHA_STATE,MP_State,NA,HIMACHAL_STATE,NA,NA,NA,Arunachal_State,NA,KARNATAKA_STATE,NA,HIMACHAL_STATE,MSEB_State,ANDHRA_PRADESH_STATE,NA,DELHI_UT,NA,UTTARAKHAND_STATE,HIMACHAL_STATE,NA,MP_State,NA,NA,NA,MSEB_State,
,,RSRPL_BKN,TPSL_BKN2,SOLAPUR_SOLAR,HP,JITPL,BAWANA_GAS,MAADURGA_THERMAL,BLAPOWER_MP,TRN_ENERGY,HP,JHAJJAR,RKM_POWER,RKM_POWER,Arunachal_Ben,JPL2,NSLSUGAR,SORANG_HEP,CHANJUII,A_A_Energy_MH_Bio,ITCWIND,JITPL,BAWANA_GAS,JPNIGRIE_JNSTPP,UTTARAKHAND,GBHHPL,JPL2,JP_BINA,SKS_Raigarh,TPSL_BKN2,Kameng,AEML,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,MES_Delhi,BRPL,BRPL,HARYANA,BRPL,BRPL,NDMC,BYPL,TPDDL,NDMC,NDMC,BRPL,NDMC,MES_Delhi,TPDDL,TPDDL,MES_Delhi,ITCLH,NDMC,PUNJAB,TPDDL,BYPL,DIAPL,BRPL,TPDDL,NDMC,NDMC,TPDDL,BYPL,
,,North-North,North-North,West-North,North-North,East-North,North-North,East-North,West-North,West-North,North-North,North-North,West-North,West-North,North East-East-North,West-North,South-West-North,North-North,North-North,West-North,South-West-North,East-North,North-North,West-North,North-North,North-North,West-North,West-North,West-North,North-North,North East-East-North,West-North,
1,00:00-00:15,0,0,0,145.38,24.23,0,2.42,21.81,8.81,48.46,53.31,26.43,26.43,32.95,26.43,4.85,28.11,12.58,3.88,0.87,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,1034.9599999999998

2,00:15-00:30,0,0,0,145.38,24.23,0,2.42,21.81,8.81,48.46,53.31,26.43,26.43,32.95,26.43,4.85,28.11,12.58,3.88,0.87,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,1034.9599999999998

3,00:30-00:45,0,0,0,145.38,24.23,0,2.42,21.81,8.81,48.46,53.31,26.43,26.43,32.95,26.43,4.85,28.11,12.58,3.88,0.87,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,1034.9599999999998

4,00:45-01:00,0,0,0,145.38,24.23,0,2.42,21.81,8.81,48.46,53.31,26.43,26.43,32.95,26.43,4.85,28.11,12.58,3.88,0.87,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,1034.9599999999998

5,01:00-01:15,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,32.95,26.43,4.85,28.11,12.58,3.88,0.68,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,1032.35

6,01:15-01:30,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,32.95,26.43,4.85,28.11,12.58,3.88,0.68,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,1032.35

7,01:30-01:45,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,32.95,26.43,4.85,28.11,12.58,3.88,0.68,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,1032.35

8,01:45-02:00,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,32.95,26.43,4.85,28.11,12.58,3.88,0.68,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,1032.35

9,02:00-02:15,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,32.95,26.43,4.85,28.11,12.49,3.88,0.68,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,1032.26

10,02:15-02:30,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,32.95,26.43,4.85,28.11,12.49,3.88,0.68,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,1032.26

11,02:30-02:45,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,32.95,26.43,4.85,28.11,12.49,3.88,0.68,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,1032.26

12,02:45-03:00,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,32.95,26.43,4.85,28.11,12.49,3.88,0.68,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,1032.26

13,03:00-03:15,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.4,3.88,0.63,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,999.17

14,03:15-03:30,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.4,3.88,0.63,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,999.17

15,03:30-03:45,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.4,3.88,0.63,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,999.17

16,03:45-04:00,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.4,3.88,0.63,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,999.17

17,04:00-04:15,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.31,3.88,0.58,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,999.03

18,04:15-04:30,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.31,3.88,0.58,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,999.03

19,04:30-04:45,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.31,3.88,0.58,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,999.03

20,04:45-05:00,0,0,0,145.38,24.23,0,0,21.81,8.81,48.46,53.31,26.43,26.43,0,26.43,4.85,28.11,12.31,3.88,0.58,16.04,0,96.92,84.49,8.72,96.92,0,8.81,0,165.01,91.1,999.03

