Block,Time,FSTPP I & II,NLCEXP,NLCTS2EXP,NTPL,RIHAND2,SIMHST1,TALA,UNCHAHAR1,UNCHAHAR3,UNCHAHAR4,ANTA_RF,DADRI_CRF,KGSU1AND2,KOLDAM,PARBATI3,RAMPUR,RAPPB,RSTPSU1TO6,TALST2,TEHRI,UNCHAHAR2,AURY_RF,DADRI_LF,KGSU3AND4,KKNP,NNTPP,SINGRAULI_HYDRO,TANDA2,TelanganaSTPP,URI,CHAMERA2,DULHASTI,KHSTPP-II,NLCIIST2,RSTPSU7,SASAN,SINGRAULI,TANAKPUR,ANTA_LF,AURY_CRF,DHAULIGNGA,KHSTPP-I,KKNPPU2,KOTESHWR,NAPP,RAPPC,AURY_GF,DADRI_RF,KISHANGANGA,NJPC,SIMHST2,VALLURNTECL,ANTA_CRF,BRBCL,BSIUL,CHAMERA3,JHAJJAR,MAPS,RIHAND1,AURY_LF,DADRI_GF,CHAMERA1,DADRT2,KUDGI,NLCIIST1,RIHAND3,SALAL,SEWA2,URI2,ANTA_GF
1,00:00-00:15,14.3,0,0,0,121.71,0,9.41,20.96,27.05,1.62,31.81,0,0,5.35,21.08,3.54,0,0,0,67.72,43.71,77.94,0,0,0,0,0.5,0.17,0,36.43,44.22,53.79,148.3,0,0,401.62,116.85,9.48,0,0,40.4,32.17,0,38.64,45.23,60.68,0,76.64,2.88,167.1,0,0,0,15,0,32.08,413.81,0,84.36,0,0,28.44,686.07,0,0,127.6,75.52,17.37,36.05,0

2,00:15-00:30,14.3,0,0,0,121.71,0,9.41,20.96,27.05,1.62,31.81,0,0,5.35,21.08,3.54,0,0,0,67.72,43.71,77.94,0,0,0,0,0.5,0.17,0,36.43,44.22,53.79,148.3,0,0,401.62,116.85,9.48,0,0,40.4,32.17,0,38.64,45.23,60.68,0,76.64,2.88,167.1,0,0,0,15,0,32.08,413.81,0,84.36,0,0,28.44,686.07,0,0,127.6,75.52,17.37,36.05,0

3,00:30-00:45,14.3,0,0,0,121.71,0,9.41,20.96,27.05,1.62,31.81,0,0,5.35,21.08,3.54,0,0,0,67.72,43.71,77.94,0,0,0,0,0.5,0.17,0,36.43,44.22,53.79,148.3,0,0,401.62,116.85,10.89,0,0,40.4,32.17,0,38.64,45.23,60.68,0,76.64,2.88,167.1,0,0,0,15,0,32.08,413.81,0,84.36,0,0,28.44,686.07,0,0,127.6,75.52,17.37,36.05,0

4,00:45-01:00,14.3,0,0,0,121.71,0,9.41,20.96,27.05,1.62,31.81,0,0,5.35,21.08,3.54,0,0,0,67.72,43.71,77.94,0,0,0,0,0.5,0.17,0,36.43,44.22,53.79,148.3,0,0,401.62,116.85,10.89,0,0,40.4,32.17,0,38.64,45.23,60.68,0,76.64,2.88,167.1,0,0,0,15,0,32.08,413.81,0,84.36,0,0,28.44,686.07,0,0,127.6,75.52,17.37,36.05,0

5,01:00-01:15,14.3,0,0,0,121.71,0,9.79,20.96,27.05,1.62,31.81,0,0,5.35,21.08,3.54,0,0,0,67.72,43.71,77.94,0,0,0,0,0.5,0.17,0,36.43,44.22,53.79,148.3,0,0,401.62,116.85,10.89,0,0,40.4,32.17,0,38.64,45.23,60.68,0,76.64,2.88,167.1,0,0,0,15,0,32.08,413.81,0,84.36,0,0,28.44,686.07,0,0,127.6,75.52,17.37,24.38,0

6,01:15-01:30,14.3,0,0,0,121.71,0,9.79,20.96,27.05,1.62,31.81,0,0,5.35,21.08,3.54,0,0,0,67.72,43.71,77.94,0,0,0,0,0.5,0.17,0,36.43,44.22,53.79,148.3,0,0,401.62,116.85,10.89,0,0,40.4,32.17,0,38.64,45.23,60.68,0,76.64,2.88,167.1,0,0,0,15,0,32.08,413.81,0,84.36,0,0,28.44,686.07,0,0,127.6,75.52,17.37,24.38,0

7,01:30-01:45,14.3,0,0,0,121.71,0,9.79,20.96,27.05,1.62,31.81,0,0,5.35,21.08,3.54,0,0,0,67.72,43.71,77.94,0,0,0,0,0.5,0.17,0,42.5,44.22,53.79,148.3,0,0,401.62,116.85,10.89,0,0,40.4,37.02,0,38.64,45.23,60.68,0,76.64,2.88,167.1,0,0,0,15,0,32.08,413.81,0,84.36,0,0,28.44,686.07,0,0,127.6,75.52,17.37,24.38,0

8,01:45-02:00,14.3,0,0,0,121.71,0,9.79,20.96,27.05,1.62,31.81,0,0,5.35,21.08,3.54,0,0,0,67.72,43.71,77.94,0,0,0,0,0.5,2.89,0,42.5,44.22,53.79,148.3,0,0,401.62,116.85,10.89,0,0,40.4,37.02,0,38.64,45.23,60.68,0,76.64,2.88,167.1,0,0,0,15,0,32.08,413.81,0,84.36,0,0,28.44,686.07,0,0,127.6,75.52,17.37,24.38,0

9,02:00-02:15,14.3,0,0,0,121.71,0,10.09,20.96,27.05,1.62,31.81,0,0,5.35,7.03,3.54,0,0,0,67.72,43.71,77.94,0,0,0,0,0.5,0.17,0,36.43,44.22,53.79,148.3,0,0,401.62,116.85,9.48,0,0,40.4,38.24,0,38.64,45.23,60.68,0,76.64,2.88,167.1,0,0,0,15,0,32.08,413.81,0,84.36,0,0,28.44,686.07,0,0,127.6,75.52,17.37,36.05,0

