Column1,Block,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/3698,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2025/32004/A/93618,NR/2025/31046/A/93565,NR/2025/31047/A/93564,NR/2025/32262/A/93598,NR/2025/32598/A/93609,NR/2025/32375/A/93683,NR/2025/32559/A/93613,NR/2025/32610/A/93611,NR/2025/32554/A/93559,NR/2025/31421/A/93686,NR/2025/29992/A/93302,NR/2025/32556/A/93614,NR/2025/29440/A/93175,NR/2025/32716/C,NR/2025/31041/A/93567,NR/2025/31042/A/93566,NR/2025/32745/C,NR/2025/32746/C,NR/2025/32737/C,NR/2025/32787/C,NR/2025/32788/C,NR/2025/32759/C,SR/2025/19225/C,NR/2025/32747/C/Alternate/1,NR/2025/32747/C,NR/2025/32701/C,NR/2025/32782/C,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6187,NR/2025/32673/C,NR/2025/32712/C,NR/2025/32715/C,NR/2025/32397/A/93167,NR/2025/32455/A/93608,NR/2025/32534/A/93587,NR/2025/32534/A/93588,NR/2025/32532/A/93584,NR/2025/32532/A/93583,NR/2025/32652/A/93514,NR/2025/32653/A/93512,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/93597,NR/2025/32535/A/93595,NR/2025/32599/A/93530,Total
,,NDMC,NDMC,DELHI,BAWANA_GAS,APPCPL,PowerPulse,PowerPulse,TPTCL,PTC,NVVNL,APPCPL,APPCPL,PowerPulse,NVVNL,BYPL,APPCPL,ITCLH,PowerPulse,PowerPulse,PowerPulse,NVVNL,NVVNL,APPCPL,APPCPL,APPCPL,APPCPL,IEXL,NVVNL,NVVNL,DIAPL,MES_Delhi,PUNJAB,APPCPL,MANIKARAN,MANIKARAN,MANIKARAN,PowerPulse,NVVNL,MANIKARAN,APPCPL,NDMC,BYPL,PowerPulse,PowerPulse,IEXL,MANIKARAN,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,ABLWM1_AEROCITY,GMRETL,GMRETL,SECI_Trader,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,BRPL,
,,NA,NA,HIMACHAL_STATE,DELHI_UT,MSEB_State,NA,NA,MSEB_State,GoHP_NJPC_STATE,MP_State,NA,NA,NA,NA,KERALA_State,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,MP_State,NA,MSEB_State,NA,NA,NA,DELHI_UT,NA,NA,HIMACHAL_STATE,NA,DELHI_UT,GOA_State,MSEB_State,NA,NA,MSEB_State,NA,MP_State,GOA_State,NA,KERALA_State,NA,NA,MSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,SKS_Raigarh,TRN_ENERGY,CHANJUII,BAWANA_GAS,AEML,APL_Raigarh_TPP,APL_Raigarh_TPP,TPC_MSEB,GoHP_NJPC,JP_BINA,RKM_POWER,RKM_POWER,APL_Raipur_TPP,JPNIGRIE_JNSTPP,KSEB,JPL2,ITCWIND,APL_Raigarh_TPP,MAHAN_ENERGEN,MAHAN_ENERGEN,JP_BINA,JPNIGRIE_JNSTPP,AEML,RKM_POWER,RKM_POWER,JPL2,BYPL,Kameng,Kameng,GBHHPL,NTPCREL_PSS2_KPS2_S,BAWANA_GAS,GOA_Beneficiary,AEML,DBPL,MBMP,Vidarbha_Industry_MH,JHABUA_IPP,BLAPOWER_MP,GOA_Beneficiary,JIPL,KSEB,APL_Raipur_TPP,MAHAN_ENERGEN,A_A_Energy_MH_Bio,MBMP,TESPL_BKN2,TCSPL_BKN2,TCSPL_BKN2,TESPL_BKN2,JGCPL_BKN2,JGCPL_BKN2,APSEPL_FTG,TCSPL_BKN2,TESPL_BKN2,TS1PL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,TPDDL,HARYANA,BYPL,TPDDL,TPDDL,BYPL,BRPL,TPDDL,NDMC,NDMC,BRPL,TPDDL,BYPL,NDMC,ITCLH,TPDDL,TPDDL,TPDDL,TPDDL,TPDDL,BYPL,NDMC,NDMC,NDMC,TANGEDCO,TPDDL,TPDDL,DIAPL,MES_Delhi,PUNJAB,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BYPL,BRPL,TPDDL,MES_Delhi,BRPL,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,ABLWM1_AEROCITY,BLKMH,DTCP,TPDDL,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,BRPL,
,,West-North,West-North,North-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-West-South,North East-East-West-North,North East-East-North,North-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,South-West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,8.76,8.76,0,26.93,106.02,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.87,0,96.38,0,0,0,0,0,0,0,0,192.76,0,12.53,0,26.93,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1423.16

2,00:15-00:30,8.76,8.76,0,26.93,106.02,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.87,0,96.38,0,0,0,0,0,0,0,0,192.76,0,12.53,0,26.93,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1423.16

3,00:30-00:45,8.76,8.76,0,26.93,106.02,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.87,0,96.38,0,0,0,0,0,0,0,0,192.76,0,12.53,0,26.93,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1423.16

4,00:45-01:00,8.76,8.76,0,26.93,106.02,96.38,0,54.21,81.92,48.19,26.28,26.28,163.85,48.19,44.33,26.28,0.87,0,96.38,0,0,0,0,0,0,0,0,192.76,0,12.53,0,26.93,15.28,20.8,40.96,33.73,81.92,20.48,20.48,19.28,17.52,0,0,0,8.67,48.19,0,0,0,0,0,0,0,0,0,0,1423.16

