Time,Block,NR/2024/20190/C,NR/2024/19355/A/18845,NR/2024/19637/A/18692,NR/2024/19760/A/18653,NR/2024/19683/A/18286,NR/2024/19588/A/18353,NR/2024/20052/A/18505,NR/2024/19966/A/18666,NR/2024/20215/C,NR/2024/19432/A/18775,NR/2024/20130/A/18699,NR/2024/19475/A/18687,NR/2024/19699/A/18772,NR/2024/20142/A/18870,NR/2024/20221/C,NR/2024/20109/A/18843,NR/2024/20218/C,NR/2024/20040/A/18712,NR/2024/20033/A/18759,NR/2024/20050/A/18611,NR/2024/20031/A/18755,NR/2024/20048/A/18613,NR/2024/20141/A/18871,NR/2024/20037/A/18652,NR/2024/20082/A/18713,NR/2024/20034/A/18753,NR/2024/20090/A/18621,NR/2024/20041/A/18615,NR/2024/19779/A/18578,NR/2024/20194/C,NR/2024/20209/C,NR/2024/20144/A/18872,NR/2024/19918/A/18715,NR/2024/20193/C,Total
,,NVVNL,TPDDL,INSTINCT,TPTCL,IEXL,GMRETL,DIAPL,BRPL,PXIL,NVVNL,DTCP,AEL,NVVNL,BAL224,IEXL,TPDDL,IEXL,APPCPL,NVVNL,PTC,NVVNL,PTC,BAL184,TPTCL,APPCPL,NVVNL,IEXL,PTC,ITCLH,NVVNL,IEXL,BAL234,APPCPL,NVVNL,Total

,,NA,NA,NA,NA,HIMACHAL PRADESH,RAJASTHAN,HIMACHAL PRADESH,MAHARASHTRA,KERALA,NA,HIMACHAL PRADESH,NA,MP,HIMACHAL PRADESH,KARNATAKA,NA,ASSAM,MANIPUR,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,SIKKIM,NA,MAHARASHTRA,MAHARASHTRA,ANDHRA PRADESH,NA,KARNATAKA,HIMACHAL PRADESH,NAGALAND,NA,
,,SOLAPUR_SOLAR,JPL-2,JPL-2,SIMHAPURI,NHCPL_HP,RUVNL,GBHHPL,IEPLBELA2022,KSEB,SEIL,SHPPBPL,APL_Raipur TPP,JP BINA,SHPPBPL,PCKL,JHAJJAR,Assam_Ben,Manipur_Ben,SKS Raigarh,HP,RKM_POWER,HP,SHPPBPL,JPL_DHULE,SIKKIM,RKM_POWER,A_A_Energy_MH_Bio,JPL_DHULE,ITCWIND,SORANG_HEP,PCKL,SHPPBPL,Nagaland_Ben,KAMENG,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),TPDDL,BRPL,BRPL,MES (Delhi),BYPL,DIAPL,BRPL,BRPL,TPDDL,DTCP,BRPL,TPDDL,BAL224,BYPL,TPDDL,BRPL,BYPL,NDMC,BRPL,NDMC,BYPL,BAL184,TPDDL,BYPL,NDMC,MES (Delhi),BRPL,ITCLH,TPDDL,BRPL,BAL234,BYPL,TPDDL,
,,West-North,West-North,West-North,South-West-North,North-North,North-North,North-North,West-North,South-West-North,South-West-North,North-North,West-North,West-North,North-North,South-East-West-North,North-North,North East-East-West-North,North East-East-North,West-North,North-North,West-North,North-North,North-North,West-North,East-North,West-North,West-North,West-North,South-West-North,North-North,South-East-West-North,North-North,North East-East-North,North East-East-North,
1,00:00-00:15,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,193.280000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,241.600000,193.280000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.630000,9.660000,96.640000,0.880000,13.530000,111.430000,1705.3

2,00:15-00:30,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,193.280000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,241.600000,193.280000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.630000,9.660000,96.640000,0.880000,13.530000,111.430000,1705.3

3,00:30-00:45,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,193.280000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,241.600000,193.280000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.630000,9.660000,96.640000,0.880000,13.530000,111.430000,1705.3

4,00:45-01:00,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,193.280000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,241.600000,193.280000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.630000,9.660000,96.640000,0.880000,13.530000,111.430000,1705.3

5,01:00-01:15,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,193.280000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,241.600000,96.640000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.630000,9.660000,0.000000,0.880000,13.530000,111.430000,1512.02

6,01:15-01:30,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,193.280000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,241.600000,96.640000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.630000,9.660000,0.000000,0.880000,13.530000,111.430000,1512.02

7,01:30-01:45,0,96.640000,0.000000,0.000000,1.930000,66.870000,6.760000,0.000000,193.280000,24.160000,0.480000,193.280000,48.320000,0.520000,0.000000,241.600000,96.640000,14.500000,12.450000,163.080000,37.330000,54.360000,0.350000,72.480000,11.600000,37.330000,1.930000,0.000000,0.630000,9.660000,0.000000,0.880000,13.530000,111.430000,1512.02

