Block,Time,UNCHAHAR4,SINGRAULI_HYDRO,KOTESHWR,RAPPB,URI,BSIUL,RIHAND1,TEHRI,AURY_GF,URI2,DADRI_GF,KISHANGANGA,ANTA_LF,RAMPUR,DADRI_LF,DHAULIGNGA,SALAL,SEWA2,TANAKPUR,ANTA_RF,ANTA_GF,KOLDAM,NJPC,DADRI_RF,DADRT2,RIHAND3,AURY_CRF,CHAMERA3,TANDA2,AURY_RF,RIHAND2,CHAMERA2,NAPP,KUDGI,AURY_LF,UNCHAHAR2,RAPPC,UNCHAHAR3,ANTA_CRF,DADRI_CRF,JHAJJAR,SINGRAULI,UNCHAHAR1,SASAN,PARBATI3,DULHASTI,CHAMERA1,KHSTPP-I,KHSTPP-II,BRBCL,FSTPP I & II,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.976282,16.333012,0.000000,36.304819,6.338835,90.259104,25.412092,0.000000,33.308488,0.000000,1.408539,0.000000,0.655406,0.000000,9.257700,82.156096,16.044750,5.451526,9.968060,0.000000,0.587361,57.499353,23.212800,665.674446,121.185605,0.000000,29.570779,1.347048,18.691914,115.667448,40.491409,40.736728,67.38,0.000000,41.632447,54.578452,25.841444,0.000000,0.000000,424.210109,137.342400,20.074237,405.034344,0.000000,50.282029,40.765623,42.270509,142.676992,15.610537,17.545008,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.976282,16.333012,0.000000,36.304819,6.338835,90.259104,25.412092,0.000000,33.308488,0.000000,1.408539,0.000000,0.655406,0.000000,9.257700,82.156096,16.044750,5.451526,9.968060,0.000000,0.587361,57.499353,23.212800,665.674446,121.185605,0.000000,29.570779,1.347048,18.691914,115.667448,40.491409,40.736728,66.42,0.000000,41.632447,54.578452,25.841444,0.000000,0.000000,424.210109,137.342400,20.074237,405.034344,0.000000,50.282029,40.765623,42.270509,142.676992,15.579420,17.545008,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.976282,16.333012,0.000000,36.304819,6.338835,90.259104,25.412092,0.000000,33.308488,0.000000,1.408539,0.000000,0.655406,0.000000,9.257700,82.156096,16.044750,5.451526,9.968060,0.000000,0.587361,57.499353,23.212800,665.674446,121.185605,0.000000,29.570779,1.347048,18.691914,115.667448,40.491409,40.736728,63.52,0.000000,41.632447,54.578452,25.841444,0.000000,0.000000,424.210109,137.342400,20.074237,405.034344,0.000000,50.282029,27.125124,42.270509,142.676992,14.896359,17.545008,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.976282,16.333012,0.000000,36.304819,6.338835,90.259104,25.412092,0.000000,33.308488,0.000000,1.408539,0.000000,0.655406,0.000000,9.257700,82.156096,16.044750,5.451526,9.968060,0.000000,0.587361,57.499353,23.212800,665.674446,121.185605,0.000000,29.570779,1.347048,18.691914,115.667448,40.491409,40.736728,61.58,0.000000,41.632447,54.578452,25.841444,0.000000,0.000000,424.210109,137.342400,20.074237,405.034344,0.000000,50.282029,27.125124,42.270509,142.676992,15.235381,17.545008,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.976282,16.333012,0.000000,36.304819,6.338835,90.259104,25.412092,0.000000,33.308488,0.000000,1.408539,0.000000,0.655406,0.000000,9.257700,82.156096,16.044750,0.495593,9.968060,0.000000,0.000000,57.499353,23.212800,665.674446,121.185605,0.000000,29.570779,1.347048,18.691914,115.667448,40.491409,40.736728,66.42,0.000000,41.632447,54.578452,25.841444,0.000000,0.000000,424.210109,137.342400,20.074237,405.034344,0.000000,50.282029,27.125124,42.270509,142.676992,15.698364,17.545008,0.000000,0,0,0,0,0

6,01:15-01:30,0.000000,0.976282,16.333012,0.000000,36.304819,6.338835,90.259104,25.412092,0.000000,33.308488,0.000000,1.408539,0.000000,0.655406,0.000000,9.257700,82.156096,16.044750,0.495593,9.968060,0.000000,0.000000,57.499353,23.212800,665.674446,121.185605,0.000000,29.570779,1.347048,18.691914,115.667448,40.491409,40.736728,62.55,0.000000,41.632447,54.578452,25.841444,0.000000,0.000000,424.210109,137.342400,20.074237,405.034344,0.000000,50.282029,27.125124,42.270509,142.676992,15.580648,17.545008,0.000000,0,0,0,0,0

7,01:30-01:45,0.000000,0.976282,16.333012,0.000000,36.304819,6.338835,90.259104,25.412092,0.000000,32.762446,0.000000,1.408539,0.000000,0.655406,0.000000,9.257700,82.156096,16.044750,9.168476,9.968060,0.000000,0.000000,57.499353,23.212800,665.674446,121.185605,0.000000,29.570779,1.347048,18.691914,115.667448,40.491409,40.736728,63.52,0.000000,41.632447,54.578452,25.841444,0.000000,0.000000,424.210109,137.342400,20.074237,405.034344,0.000000,50.282029,27.125124,42.270509,142.676992,15.613403,17.545008,0.000000,0,0,0,0,0

8,01:45-02:00,0.000000,0.976282,16.333012,0.000000,36.304819,6.338835,90.259104,25.412092,0.000000,32.762446,0.000000,1.408539,0.000000,0.655406,0.000000,9.257700,82.156096,16.044750,9.168476,9.968060,0.000000,0.000000,57.499353,23.212800,665.674446,121.185605,0.000000,29.570779,1.347048,18.691914,115.667448,40.491409,40.736728,62.55,0.000000,41.632447,54.578452,25.841444,0.000000,0.000000,424.210109,137.342400,20.074237,405.034344,0.000000,50.282029,27.125124,42.270509,142.676992,14.961051,17.545008,0.000000,0,0,0,0,0

9,02:00-02:15,0.000000,0.976282,16.333012,0.000000,36.304819,6.338835,90.259104,25.412092,0.000000,32.762446,0.000000,1.408539,0.000000,0.655406,0.000000,9.257700,64.623468,16.044750,1.115085,19.435593,0.000000,0.000000,57.499353,23.212800,578.955571,121.185605,0.000000,29.570779,1.347048,18.691914,115.667448,40.491409,40.736728,29.66,0.000000,41.632447,54.578452,25.841444,0.000000,0.000000,424.210109,137.342400,20.074237,405.034344,0.000000,50.282029,27.125124,42.270509,142.676992,14.756635,17.545008,0.000000,0,0,0,0,0

10,02:15-02:30,0.000000,0.976282,16.333012,0.000000,38.440397,6.338835,90.259104,25.412092,0.000000,32.762446,0.000000,1.408539,0.000000,0.655406,0.000000,9.257700,64.623468,16.044750,1.115085,19.435593,0.000000,0.000000,57.499353,23.212800,535.431571,121.185605,0.000000,29.570779,1.347048,18.691914,115.667448,40.491409,40.736728,30.63,0.000000,41.632447,54.578452,25.841444,0.000000,0.000000,424.210109,137.342400,20.074237,405.034344,0.000000,50.282029,27.125124,42.270509,142.676992,15.448293,17.545008,0.000000,0,0,0,0,0

