Column1,Time,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/11/01/5428,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/9042,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,NR/01102023/19072037/LT-05,GNA/NR/2024/11/01/9061,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5444,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2024/11/01/4200,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,GNA/WR/2024/10/15/7089,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01
1,00:00-00:15,10.83,32.5,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,8.34,10.84,0,7.2,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,231.72,0,28.26,106.04,0,2.76,68.1,82.07

2,00:15-00:30,11,33,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,8.34,11,0,7.2,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,231.72,0,28.26,106.04,0,2.76,68.1,70.48

3,00:30-00:45,11.17,33.5,0,0,0,0,0,0,0,0,0,0,0,28.33,28.33,8.34,11.16,0,7.2,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,231.72,0,28.26,106.04,0,2.76,68.1,60.83

4,00:45-01:00,11.33,34,0,0,0,0,0,0,0,0,0,0,0,28.33,28.33,8.34,11.34,0,7.2,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,231.72,0,28.26,106.04,0,2.76,68.1,53.1

5,01:00-01:15,11.33,34,0,0,0,0,0,0,0,0,0,0,0,28.33,28.33,8.66,11.34,0,7.2,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,193.1,0,27.75,90.67,0,2.76,57.64,53.1

6,01:15-01:30,11.67,35,0,0,0,0,0,0,0,0,0,0,0,28.67,28.67,9,11.66,0,7.2,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,27.75,90.67,0,2.76,57.64,53.1

7,01:30-01:45,9.17,27.5,0,0,0,0,0,0,0,0,0,0,0,29.33,29.33,9,9.16,0,7.2,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,27.75,90.67,0,2.76,57.64,53.1

8,01:45-02:00,9.17,27.5,0,0,0,0,0,0,0,0,0,0,0,30,30,9.34,9.16,0,7.2,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,27.25,90.67,0,2.76,57.64,53.1

9,02:00-02:15,9.17,27.5,0,0,0,0,0,0,0,0,0,0,0,23.33,23.33,8.34,9.16,0,7.2,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,27.25,90.67,0,2.68,57.64,53.1

10,02:15-02:30,9.17,27.5,0,0,0,0,0,0,0,0,0,0,0,23.33,23.33,8.34,9.16,0,7.2,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,27.25,90.67,0,2.68,57.64,53.1

11,02:30-02:45,9.17,27.5,0,0,0,0,0,0,0,0,0,0,0,23.33,23.33,8.34,9.16,0,7.2,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,27.25,90.67,0,2.68,57.64,53.1

12,02:45-03:00,9.17,27.5,0,0,0,0,0,0,0,0,0,0,0,23.33,23.33,8.34,9.16,0,7.2,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,26.74,90.67,0,2.68,57.64,53.1

13,03:00-03:15,9.17,27.5,0,0,0,0,0,0,0,0,0,0,0,28,28,8.34,9.16,0,7.2,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,26.74,90.67,0,2.68,57.64,53.1

14,03:15-03:30,9.17,27.5,0,0,0,0,0,0,0,0,0,0,0,28,28,8.34,9.16,0,7.2,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,26.74,90.67,0,2.68,57.64,53.1

15,03:30-03:45,9.17,27.5,0,0,0,0,0,0,0,0,0,0,0,22.67,22.66,8.34,9.16,0,6.8,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,26.74,90.67,0,2.68,57.64,53.1

16,03:45-04:00,9,27,0,0,0,0,0,0,0,0,0,0,0,23,23,8.34,9,0,6.8,3.78,0,2.23,26.33,2.4,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,26.74,90.67,0,2.68,57.64,53.1

17,04:00-04:15,8.83,26.5,0,0,0,0,0,0,0,0,0,0,0,23.33,23.34,8.34,8.84,0,6.8,3.78,0,2.23,26.33,2.33,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,26.74,90.67,0,2.61,57.64,53.1

18,04:15-04:30,8.67,26,0,0,0,0,0,0,0,0,0,0,0,23.67,23.66,8.34,8.66,0,6.8,3.78,0,2.23,26.33,2.33,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,26.74,90.67,0,2.61,57.64,53.1

19,04:30-04:45,8.5,25.5,0,0,0,0,0,0,0,0,0,0,0,31.67,31.67,8.34,8.5,0,6.8,3.78,0,2.23,26.33,2.33,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,26.74,90.67,0,2.61,57.64,53.1

20,04:45-05:00,8.33,25,0,0,0,0,0,0,0,0,0,0,0,31.67,31.67,8.34,8.34,0,6.8,3.78,0,2.23,26.33,2.33,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,25.73,90.67,0,2.61,57.64,53.1

21,05:00-05:15,8.17,24.5,0,0,0,0,0,0,0,0,0,0,0,31.33,31.33,8.34,8.16,0,6.8,3.78,0,2.23,26.33,2.33,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,25.73,90.67,0,2.61,57.64,53.1

22,05:15-05:30,8,24,0,0,0,0,0,0,0,0,0,0,0,31,31,8,8,0,6.8,3.78,0,2.23,26.33,2.33,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,25.73,90.67,0,2.61,57.64,53.1

23,05:30-05:45,7.83,23.5,0,0,0,0,0,0,0,0,0,0,0,23,23,7.66,7.84,0,6.8,3.78,0,2.23,26.33,2.33,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,25.73,90.67,0,2.61,57.64,53.1

24,05:45-06:00,7.67,23,0,0,0,0,0,0,0,0,0,0,0,22.67,22.66,7.66,7.66,0,6.8,3.78,0,2.23,26.33,2.33,0,8.78,17.55,0,26.87,8.78,95.12,70.39,26.33,26.87,285.39,26.33,165.52,0,25.73,90.67,0,2.61,57.64,53.1

25,06:00-06:15,7.5,22.5,8.38,8.89,2,0,0,0,0,0,1,0,0,21.33,21.34,7.34,7.5,0,6.8,3.69,0,2.18,26.33,2.33,0,8.78,17.55,0,26.87,8.78,0,70.39,26.33,26.87,0,26.33,165.52,0,25.23,69.52,0,2.46,57.64,53.1

26,06:15-06:30,7.5,22.5,17.95,18.92,8,1,0,0,0,0,2,0,0,20.33,20.34,7,7.5,0,6.8,3.69,0,2.18,26.33,2.33,0,8.78,17.55,0,26.87,8.78,0,70.39,26.33,26.87,0,26.33,165.52,0,24.21,69.52,0,2.46,57.64,53.1

27,06:30-06:45,7.5,22.5,25.85,25.85,9.99,3,0,0,0,0,5,0.01,0,19.33,19.34,6.66,7.5,2.37,6.8,3.69,0.31,2.18,26.33,2.33,0.31,8.78,17.55,0.32,26.87,8.78,0,70.39,26.33,26.87,0,26.33,165.52,0,24.21,69.52,0,2.46,57.64,53.1

28,06:45-07:00,7.5,22.5,26.95,26.95,13,4,1,0,2,0.05,8,0.25,1,18.33,18.34,6.66,7.5,9.72,6.8,3.69,0.71,2.18,26.33,2.33,0.71,8.78,17.55,0.73,26.87,8.78,0,70.39,26.33,26.87,0,26.33,165.52,0,24.21,69.52,0,2.46,57.64,53.1

29,07:00-07:15,7.5,22.5,25.2,25.2,17,5,3,1,5,0.86,10,4.31,4,17,17,6.66,7.5,17.51,6.8,3.69,1.32,2.18,26.33,2.17,1.32,8.78,17.55,1.35,26.87,8.78,0,70.39,26.33,26.87,0,26.33,165.52,0,24.21,94.6,0,2.46,57.64,53.1

30,07:15-07:30,7.5,22.5,25.2,25.2,23,7,7,4,7,2.6,15,13.03,11,15.67,15.66,6.66,7.5,25.36,6.8,3.69,2.2,2.18,26.33,2.17,2.2,8.78,17.55,2.25,26.87,8.78,0,70.39,26.33,26.87,0,26.33,165.52,0,24.21,94.6,0,2.46,57.64,53.1

31,07:30-07:45,7.5,22.5,25.8,25.8,25.8,9,13,9,8,5.24,18,26.22,21,14.33,14.34,6.66,7.5,35.11,6.8,3.69,3.06,2.18,26.33,2.17,3.06,8.78,17.55,3.13,26.87,8.78,0,70.39,26.33,26.87,0,26.33,165.52,0,24.21,94.6,0,2.46,57.64,53.1

32,07:45-08:00,7.5,22.5,27.2,27.2,27.2,12,17,13,11,8.55,25,42.77,32,13.33,13.34,6.66,7.5,46.41,6.8,3.69,3.99,2.18,26.33,2.17,3.99,8.78,17.55,4.09,26.87,8.78,0,70.39,26.33,26.87,0,26.33,165.52,0,24.21,94.6,0,2.46,57.64,53.1

33,08:00-08:15,7.5,22.5,28.03,28.03,28.04,15,24,18,13,12.34,32,61.69,42,13.33,13.34,6.66,7.5,58.18,6.8,3.69,5.04,2.18,26.33,2.02,5.04,8.78,17.55,5.18,26.87,8.78,0,70.39,26.33,26.87,0,26.33,165.52,0,24.73,94.6,0,2.31,57.64,53.1

34,08:15-08:30,7.5,22.5,29.2,29.2,29.2,19,32,24,17,16.27,39,81.36,56,13.33,13.34,6.66,7.5,69.42,6.8,3.69,6.12,2.18,26.33,2.02,6.12,8.78,17.55,6.27,26.87,8.78,0,70.39,26.33,26.87,0,26.33,165.52,0,24.73,94.6,0,2.31,57.64,53.1

35,08:30-08:45,7.5,22.5,30.23,30.23,30.24,22,39,30,22,20.26,46,101.33,70,13.33,13.34,6.66,7.5,79.48,6.8,3.69,7.4,2.18,26.33,2.02,7.4,8.78,17.55,7.58,26.87,8.78,0,70.39,26.33,26.87,0,26.33,165.52,0,25.23,94.6,0,2.31,57.64,53.1

36,08:45-09:00,7.5,22.5,30.23,30.23,30.24,25,46,36,26,24.22,53,121.13,84,13.33,13.34,6.66,7.5,88.73,6.8,3.69,8.44,2.18,26.33,2.02,8.44,8.78,17.55,8.65,26.87,8.78,0,70.39,26.33,26.87,0,26.33,165.52,0,25.23,94.6,0,2.31,57.64,53.1

37,09:00-09:15,7.5,22.5,32.07,32.07,32.06,23,54,45,28,27.84,47,139.2,105,13.33,13.34,6.66,7.5,97.56,6.8,3.69,9.54,2.18,26.33,2.02,9.54,8.78,17.55,9.78,26.87,8.78,0,70.39,26.33,26.87,0,26.33,165.52,0,25.73,67.58,0,2.31,57.64,53.1

38,09:15-09:30,7.5,22.5,32.07,32.07,32.06,25,61,51,31,31.42,53,157.13,119,13.33,13.34,6.66,7.5,105.64,6.8,3.69,10.64,2.18,26.33,2.02,10.64,8.78,17.55,10.91,26.87,8.78,0,70.39,26.33,26.87,0,26.33,165.52,0,25.73,67.58,0,2.31,57.64,53.1

