Column1,Time,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,GNARE/SR/2025/01/13/4532,GNA/NR/2025/08/01/6187,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,GNA/NR/2025/08/01/4452,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/08/01/5784,GNA/NR/2025/06/07/5932,GNA/NR/2025/08/01/6475,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/1044,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/2414,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/6452,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8128,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5126,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6209
1,00:00-00:15,61.01,18.67,0,0,0,20.33,54.34,0,0,0,0,0,0,54.33,0,0,20.33,0,0,30.01,10.1,10.5,0,0,64.28,15.27,19.37,270.98,130.36,96.35,-0,20.79,86.91,26.93,5.91,27.25,8.76,48.18,8.53,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,48.18

2,00:15-00:30,60.49,19,0,0,0,20.17,56.34,0,0,0,0,0,0,56.33,0,0,20.17,0,0,29.01,10.1,10.5,0,0,64.28,15.27,19.37,270.98,130.36,96.35,-0,20.79,86.91,26.93,5.91,27.25,8.76,48.18,8.53,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,48.18

3,00:30-00:45,75,19,0,0,0,25,56.66,0,0,0,0,0,0,56.67,0,0,25,0,0,30.21,10.1,10.5,0,0,64.28,15.27,19.37,270.98,130.36,96.35,-0,20.79,86.91,26.93,3.25,27.25,8.76,48.18,8.53,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,48.18

4,00:45-01:00,75,19,0,0,0,25,57.34,0,0,0,0,0,0,57.33,0,0,25,0,0,28.81,10.1,10.5,0,0,64.28,15.27,19.37,270.98,130.36,96.35,-0,20.79,86.91,26.93,3.25,27.25,8.76,48.18,8.53,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,48.18

5,01:00-01:15,75,19.33,0,0,0,25,57.34,0,0,0,0,0,0,57.33,0,0,25,0,0,27.01,10.1,10.5,0,0,64.28,15.27,19.37,270.98,130.36,96.35,-0,20.79,86.91,26.93,3.24,27.25,8.76,48.18,8.53,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,48.18

6,01:15-01:30,75,19.67,0,0,0,25,58.34,0,0,0,0,0,0,58.33,0,0,25,0,0,26.01,10.1,10.5,0,0,70.27,15.27,19.37,270.98,130.36,96.35,-0,20.79,86.91,26.93,3.24,27.25,8.76,48.18,8.53,24.09,10.75,0,0,12.67,26.93,24.09,100.38,19.27,8.76,48.18

