Block,Time,LT-05,L_NR_2012_01,L_NR_2012_07,L_NR_2019_05,L_NR_2020_06,L_NR_2022_09,L_NR_2019_06,LT-59,LT_MEJA_Delhi,L_NR_2020_05,L_NR_2023_04,LT-36,L_NR_2012_04,L_NR_2019_19,L_NR_2012_02,L_NR_2020_02,LT-35,L_NR_2019_11,SH-07,L_NR_2018_61,LT-31,SH-06,L_NR_2021_16,L_NR_2021_14,L_NR_2021_15,L_NR_2019_07,L_NR_2022_10,L_NR_2021_17,L_NR_2022_08,L_NR_2021_12,L_NR_2021_13,L_NR_2020_07
1,00:00-00:15,116.100000,101.310000,87.240000,0,31.52,37.09,0,5.450000,3.390000,94.57,0.000000,0.000000,272.020000,0.000000,261.720000,6.040000,0.000000,5.770000,0.000000,38.07,0.000000,30.950000,0,0,0,0,37.09,0,16.88,0,0,31.54

2,00:15-00:30,116.100000,101.310000,87.240000,0,31.6,39.71,0,5.450000,3.390000,94.79,0.000000,0.000000,272.020000,0.000000,261.720000,6.040000,0.000000,5.770000,0.000000,37.48,0.000000,30.950000,0,0,0,0,39.71,0,16.63,0,0,31.6

3,00:30-00:45,116.100000,101.310000,87.240000,0,31.73,37.66,0,5.450000,3.390000,95.19,0.000000,0.000000,272.020000,0.000000,261.720000,6.040000,0.000000,5.770000,0.000000,38.21,0.000000,30.950000,0,0,0,0,37.66,0,16.18,0,0,31.73

4,00:45-01:00,116.100000,101.310000,87.240000,0,31.87,31.61,0,5.450000,3.390000,95.6,0.000000,0.000000,272.020000,0.000000,261.720000,6.040000,0.000000,5.770000,0.000000,37.64,0.000000,30.950000,0,0,0,0,31.61,0,15.88,0,0,31.85

5,01:00-01:15,116.100000,101.310000,87.240000,0,31.99,30.37,0,5.450000,3.390000,95.96,0.000000,0.000000,272.020000,0.000000,261.720000,6.040000,0.000000,5.770000,9.670000,38.13,0.000000,9.670000,0,0,0,0,30.37,0,15.02,0,0,31.98

6,01:15-01:30,116.100000,101.310000,87.240000,0,32.11,42.46,0,5.450000,3.390000,96.33,0.000000,0.000000,272.020000,0.000000,261.720000,6.040000,0.000000,5.770000,9.670000,37.65,0.000000,9.670000,0,0,0,0,42.46,0,16.12,0,0,32.11

7,01:30-01:45,116.100000,101.310000,87.240000,0,32.25,45.91,0,5.450000,3.390000,96.74,0.000000,0.000000,272.020000,0.000000,261.720000,6.040000,0.000000,5.770000,19.190000,36.89,0.000000,19.190000,0,0,0,0,45.91,0,31.95,0,0,32.23

8,01:45-02:00,116.100000,101.310000,87.240000,0,34.39,73.55,0,5.450000,3.390000,103.18,0.000000,0.000000,272.020000,0.000000,261.720000,6.040000,0.000000,5.770000,19.190000,10.53,0.000000,19.190000,0,0,0,0,73.55,0,31.78,0,0,34.39

9,02:00-02:15,116.100000,101.310000,87.240000,0,34.83,72.88,0,5.450000,3.390000,104.5,0.000000,0.000000,272.020000,0.000000,261.720000,6.040000,0.000000,5.770000,19.190000,10.06,0.000000,19.190000,0,0,0,0,72.88,0,31.34,0,0,34.83

10,02:15-02:30,116.100000,101.310000,87.240000,0,35.44,71.78,0,5.450000,3.390000,106.32,0.000000,0.000000,272.020000,0.000000,261.720000,5.860000,0.000000,5.770000,19.190000,9.47,0.000000,19.190000,0,0,0,0,71.78,0,30.67,0,0,35.45

11,02:30-02:45,116.100000,101.310000,87.240000,0,35,71.86,0,5.450000,3.390000,105.01,0.000000,0.000000,272.020000,0.000000,261.720000,5.860000,0.000000,5.770000,19.190000,8.67,0.000000,19.190000,0,0,0,0,71.86,0,30.02,0,0,35.01

12,02:45-03:00,116.100000,101.310000,87.240000,0,34.49,71.73,0,5.450000,3.390000,103.47,0.000000,0.000000,272.020000,0.000000,261.720000,5.860000,0.000000,5.770000,19.190000,7.93,0.000000,19.190000,0,0,0,0,71.73,0,29.61,0,0,34.5

13,03:00-03:15,116.100000,101.310000,87.240000,0,33.15,54.69,0,5.450000,3.390000,99.46,0.000000,0.000000,272.020000,0.000000,261.720000,5.860000,0.000000,5.620000,19.190000,7.25,0.000000,19.190000,0,0,0,0,54.69,0,29.12,0,0,33.15

14,03:15-03:30,116.100000,101.310000,87.240000,0,31.47,55.22,0,5.450000,3.390000,94.41,0.000000,0.000000,272.020000,0.000000,261.720000,5.860000,0.000000,5.620000,19.190000,7.25,0.000000,19.190000,0,0,0,0,55.22,0,23.36,0,0,31.47

15,03:30-03:45,116.100000,101.310000,63.430000,0,27.54,55.67,0,5.450000,3.390000,82.63,0.000000,0.000000,272.020000,0.000000,261.720000,5.860000,0.000000,5.620000,19.190000,33.13,0.000000,19.190000,0,0,0,0,55.67,0,23.5,0,0,27.55

16,03:45-04:00,116.100000,101.310000,63.430000,0,27.93,56.55,0,5.450000,0.390000,83.78,0.000000,0.000000,272.020000,0.000000,225.720000,5.860000,0.000000,5.620000,19.190000,32.89,0.000000,19.190000,0,0,0,0,56.55,0,24.35,0,0,27.92

17,04:00-04:15,116.100000,101.310000,63.430000,0,25.66,57.12,0,5.450000,0.390000,76.97,0.000000,0.000000,272.020000,0.000000,199.600000,5.860000,0.000000,5.620000,19.190000,32.67,0.000000,19.190000,0,0,0,0,57.12,0,24.57,0,0,25.65

18,04:15-04:30,116.100000,101.310000,63.430000,0,25.33,42.93,0,5.450000,0.390000,75.97,0.000000,0.000000,272.020000,0.000000,199.600000,5.680000,0.000000,5.620000,19.190000,32.61,0.000000,19.190000,0,0,0,0,42.93,0,25.31,0,0,25.32

19,04:30-04:45,116.100000,101.310000,63.430000,0,28.41,43.11,0,5.450000,0.390000,85.24,0.000000,0.000000,272.020000,0.000000,199.600000,5.680000,0.000000,5.620000,19.190000,39.45,0.000000,19.190000,0,0,0,0,43.11,0,18.65,0,0,28.42

20,04:45-05:00,116.100000,101.310000,63.430000,0,28.76,43.29,0,5.450000,0.390000,86.27,0.000000,0.000000,272.020000,0.000000,199.600000,5.680000,0.000000,5.620000,19.900000,38.89,0.000000,19.900000,0,0,0,0,43.29,0,17.28,0,0,28.75

21,05:00-05:15,116.100000,101.310000,63.430000,0,22.61,42.91,0,5.450000,0.390000,67.82,0.000000,0.000000,272.020000,0.000000,199.600000,5.680000,0.000000,5.620000,19.900000,38.07,0.000000,19.900000,0,0,0,0,42.91,0,16.7,0,0,22.61

22,05:15-05:30,116.100000,101.310000,63.430000,0,22.67,42.43,0,5.450000,0.390000,68.01,0.000000,0.000000,272.020000,0.000000,199.600000,5.680000,0.000000,5.620000,21.760000,39.44,0.000000,21.760000,0,0,0,0,42.43,0,17.15,0,0,22.67

23,05:30-05:45,116.100000,101.310000,63.430000,0,22.5,41.94,0,5.450000,0.390000,67.5,0.000000,0.000000,272.020000,1.640000,199.600000,5.680000,0.000000,5.620000,21.760000,37.63,0.000000,21.760000,0.32,0,0,0,41.94,0.16,16.5,0,0,22.51

24,05:45-06:00,116.100000,101.310000,63.430000,0,22.25,41.28,0,5.450000,0.390000,66.76,0.000000,0.000000,272.020000,5.820000,199.600000,5.680000,0.000000,5.620000,21.760000,36.4,0.000000,21.760000,1.51,0,0.37,0,41.28,0.75,15.68,0,0,22.26

25,06:00-06:15,116.100000,101.310000,63.430000,14.54,22.98,38.39,11.48,5.450000,0.390000,68.93,0.000000,0.000000,272.020000,9.750000,199.600000,5.760000,0.000000,5.620000,21.760000,36.94,0.000000,21.760000,3.96,0.03,0.78,1.45,38.39,1.98,16.6,3.6,0.72,22.98

26,06:15-06:30,116.100000,101.310000,63.430000,23.88,23.88,32.03,20.14,5.450000,0.390000,71.64,0.000000,0.130000,272.020000,13.840000,199.600000,5.760000,0.130000,5.620000,21.760000,39.53,0.130000,21.760000,6.93,0.03,2,4.02,32.03,3.47,17.14,8.09,1.62,23.87

27,06:30-06:45,107.560000,101.310000,63.430000,33,24.66,32.03,30.41,5.450000,2.180000,73.99,0.000000,0.430000,272.020000,19.290000,199.600000,5.760000,0.420000,5.620000,21.760000,39.56,0.420000,21.760000,10.61,1.27,3.31,11.64,32.03,5.3,13.05,13.94,2.79,24.66

28,06:45-07:00,99.030000,101.310000,44.400000,31.73,19.61,31.11,31.73,5.450000,2.180000,58.83,0.000000,0.960000,272.020000,26.450000,199.600000,5.760000,0.930000,5.620000,21.760000,38.69,0.930000,21.760000,15.05,3.7,5.1,17.99,31.11,7.53,13.54,21.13,4.22,19.61

29,07:00-07:15,90.490000,101.310000,44.400000,27.23,19.89,29.98,27.23,5.450000,2.180000,59.66,0.000000,1.510000,272.020000,34.550000,199.600000,5.760000,1.470000,5.390000,21.760000,37.66,1.470000,21.760000,18.67,7.27,7.31,26.99,29.98,9.33,13.27,31.15,6.23,19.88

30,07:15-07:30,81.950000,101.310000,44.400000,27.15,20.15,29.72,27.15,5.450000,2.080000,60.44,0.000000,2.310000,272.020000,43.170000,199.600000,5.760000,2.250000,5.390000,21.760000,34.88,2.250000,21.760000,22,12.1,9.95,27.15,29.72,11,13.13,49.31,9.86,20.13

31,07:30-07:45,70.570000,101.310000,44.400000,27.15,20.48,31.4,27.15,5.450000,1.990000,61.44,0.000000,3.450000,272.020000,51.760000,199.600000,5.760000,3.370000,5.390000,21.760000,15.13,3.370000,21.760000,27.33,18.1,12.77,27.15,31.4,13.67,13.46,58.49,11.7,20.47

32,07:45:08:00,66.400000,101.310000,44.400000,27.15,20.86,33.26,27.15,5.450000,1.990000,62.58,0.000000,4.700000,272.020000,60.320000,199.600000,5.760000,4.590000,5.390000,21.760000,15.27,4.590000,21.760000,34,24.93,15.74,27.15,33.26,17,13.88,74.21,14.84,20.85

33,08:00-08:15,66.400000,101.310000,44.400000,32.33,21.33,45.09,32.33,5.450000,1.990000,63.99,0.000000,6.180000,272.020000,68.070000,199.600000,6.040000,6.020000,5.390000,21.760000,15.73,6.020000,21.760000,39.34,32.47,19.16,32.34,45.09,19.66,14.45,91.04,18.21,21.33

34,08:15-08:30,66.400000,101.310000,44.400000,32.33,21.79,44.12,32.33,5.450000,1.990000,65.36,0.000000,7.530000,272.020000,75.170000,199.600000,6.040000,7.350000,5.390000,21.760000,15.94,7.350000,21.760000,46,40.7,22.34,32.34,44.12,23,14.68,109.98,21.99,21.78

35,08:30-08:45,66.400000,101.310000,44.400000,32.33,22.1,43.78,32.33,5.450000,0.390000,66.3,0.000000,8.760000,272.020000,82.980000,199.600000,6.040000,8.550000,5.390000,21.760000,15.74,8.550000,21.760000,52,46.73,25.36,32.34,43.78,26,14.23,130.9,26.18,22.1

36,08:45:09:00,66.400000,101.310000,44.400000,32.33,22.36,43.66,32.33,5.450000,0.390000,67.07,0.000000,9.580000,272.020000,91.450000,199.600000,6.040000,9.340000,5.390000,21.760000,15.63,9.340000,21.760000,58,53.97,28.21,32.34,43.66,29,14.49,146,29.2,22.36

37,09:00:09:15,94.850000,101.310000,63.430000,32.33,29.22,43.34,32.33,5.450000,0.390000,87.66,0.000000,10.140000,272.020000,99.120000,199.600000,0.000000,9.890000,5.390000,21.760000,33.34,9.890000,21.760000,62.67,59.8,30.84,32.34,43.34,31.33,14.96,162.35,32.47,29.22

