Block,Time,CHAMERA1,URI,RIHAND3,DULHASTI,UNCHAHAR1,URI2,UNCHAHAR3,AURY_LF,ANTA_LF,RAPPC,KOLDAM,KISHANGANGA,TEHRI,DADRI_RF,SALAL,DADRI_CRF,BSIUL,RIHAND2,DADRI_GF,NJPC,RIHAND1,ANTA_RF,RAPPB,ANTA_CRF,SINGRAULI_HYDRO,TANDA2,NAPP,SINGRAULI,DHAULIGNGA,JHAJJAR,DADRT2,CHAMERA2,CHAMERA3,TANAKPUR,KOTESHWR,AURY_RF,RAMPUR,SEWA2,UNCHAHAR2,UNCHAHAR4,ANTA_GF,DADRI_LF,AURY_CRF,PARBATI3,AURY_GF,TALA,SOLAPUR,MOUDA_II,NTPL,GANDHAR-RLNG,SASAN,KAWAS-RLNG,RSTPSU1TO6,RSTPSU7,GANDHAR-NAPM,KSTPS7,NLCTS2EXP,KHARGONE-I,SIPAT I,NLCIIST1,GANDHAR-APM,LARA-I,VSTPS I,KGSU3AND4,VSTPS V,GADARWARA-I,NLCEXP,KSTPS I&II,KAWAS-NAPM,NLCIIST2,GANDHAR-ComGas,NNTPP,VSTPS II,MAPS,KHSTPP-I,VSTPS III,KKNP,BRBCL,VSTPS IV,KAWAS-zLIQ,TAPS-II,KAPS,SIMHST2,FSTPP I & II,KUDGI,KAWAS-ComGas,KAWAS-APM,VALLURNTECL,KHSTPP-II,TALST2,MOUDA,SIPAT II,KGSU1AND2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,40.651823,48.448764,123.890121,54.905879,0.000000,0.000000,26.379075,0.000000,0.000000,62.950813,0.000000,6.112886,47.685823,0.000000,34.743219,0.000000,18.963420,118.083735,0.000000,20.749983,92.483261,0.000000,0.000000,0.000000,1.077265,3.944705,45.932912,140.873547,0.000000,614.231794,560.145533,44.776114,21.518384,0.370657,8.812865,0.000000,0.639762,17.465872,42.752489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.696634,3.363787,3.65,0.000000,336.586388,0.000000,7.67,1.87,0.000000,1.233916,0.58,3.393268,5.089903,0.87,0.000000,4.078779,2.242847,2.10,1.271619,2.056526,1.67,2.476757,0.000000,1.28,0.000000,0.18,1.861130,0.23,44.751913,1.877149,0.80,14.467514,2.570658,0.000000,1.313349,1.099695,1.78,19.994085,9.00,0.000000,0.000000,3.44,142.278820,2.92,1.856470,1.791457,1.94,0,0,0,0,0

2,00:15-00:30,40.651823,48.448764,123.890121,54.905879,0.000000,0.000000,26.379075,0.000000,0.000000,62.950813,0.000000,6.112886,47.685823,0.000000,34.743219,0.000000,18.963420,118.083735,0.000000,20.749983,92.484511,0.000000,0.000000,0.000000,1.077265,3.944705,45.932912,141.029286,0.000000,614.231794,477.922385,29.760103,21.518384,0.370657,8.812865,0.000000,0.639762,17.465872,42.752489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.696634,3.363787,3.65,0.000000,336.586388,0.000000,7.67,1.87,0.000000,1.233916,0.59,3.393268,5.089903,0.87,0.000000,4.078779,2.242852,2.10,1.271619,2.056526,1.67,2.476757,0.000000,1.28,0.000000,0.18,1.861130,0.23,44.751913,1.877149,0.82,14.467514,2.570658,0.000000,1.313349,1.099695,1.78,19.994085,9.00,0.000000,0.000000,3.44,142.278820,2.92,1.856470,1.791457,1.94,0,0,0,0,0

3,00:30-00:45,27.101215,51.110784,123.890121,54.905879,0.000000,0.000000,16.927071,0.000000,0.000000,62.950813,0.000000,6.112886,47.685823,0.000000,34.743219,0.000000,18.963420,118.083735,0.000000,20.749983,92.484511,0.000000,0.000000,0.000000,1.077265,3.944705,45.932912,141.029286,0.000000,552.029453,457.947590,29.760103,21.518384,1.235524,8.812865,0.000000,0.639762,17.465872,42.752489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.696634,3.363787,3.65,0.000000,336.586388,0.000000,7.67,1.87,0.000000,1.233916,0.59,3.393268,5.089903,0.87,0.000000,4.078779,2.242852,2.10,1.271619,2.056526,1.67,2.476757,0.000000,1.28,0.000000,0.18,1.861130,0.23,44.751913,1.877149,0.83,14.467514,2.570658,0.000000,1.313349,1.099695,1.78,19.994085,9.00,0.000000,0.000000,3.44,142.278820,2.92,1.856470,1.791457,1.94,0,0,0,0,0

4,00:45-01:00,27.101215,51.110784,123.890121,36.478524,0.000000,0.000000,16.927071,0.000000,0.000000,62.950813,0.000000,6.112886,47.685823,0.000000,34.743219,0.000000,18.963420,118.083735,0.000000,20.749983,92.484511,0.000000,0.000000,0.000000,1.077265,3.944705,45.932912,141.029286,0.000000,484.514453,437.972795,29.760103,21.518384,1.235524,8.812865,0.000000,0.639762,17.465872,42.752489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.696634,3.363787,3.65,0.000000,336.586388,0.000000,7.67,1.87,0.000000,1.233916,0.61,3.393268,5.089903,0.87,0.000000,4.078779,2.242852,2.10,1.271619,2.056526,1.67,2.476757,0.000000,1.28,0.000000,0.18,1.861130,0.23,44.751913,1.877149,0.85,14.467514,2.570658,0.000000,1.313349,1.099695,1.78,19.994085,9.00,0.000000,0.000000,3.44,142.278820,2.92,1.856470,1.791457,1.94,0,0,0,0,0

5,01:00-01:15,27.101215,48.448764,123.890121,36.478524,0.000000,0.000000,16.927071,0.000000,0.000000,62.950813,0.000000,6.112886,47.685823,0.000000,80.693928,0.000000,18.963420,118.083735,0.000000,0.000000,92.484511,0.000000,0.000000,0.000000,1.077265,3.944705,45.932912,141.029286,0.000000,416.999453,427.990220,29.760103,21.518384,1.235524,8.812865,0.000000,0.000000,17.465872,37.192374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.696634,3.363787,3.65,0.000000,336.586388,0.000000,7.67,1.87,0.000000,1.233916,0.62,3.393268,5.089903,0.87,0.000000,4.078779,2.242852,2.10,1.271619,2.056526,1.67,2.476757,0.000000,1.28,0.000000,0.18,1.861130,0.23,44.751913,1.877149,0.86,14.467514,2.570658,0.000000,1.313349,1.099695,1.78,19.994085,9.00,0.000000,0.000000,3.44,142.278820,2.92,1.856470,1.791457,1.94,0,0,0,0,0

