Column1,Time,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,GNA/NR/2024/11/01/9061,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,GNA/NR/2024/11/01/3646,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/11/01/5474,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/11/01/5428,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/05012040/L_NR_2020_02,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/31052040/LT-31,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,GNA/NR/2024/11/01/5444,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/11/01/4503,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/1868,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15
1,00:00-00:15,13.34,6.67,6.67,13.33,11,25.93,57.34,70.02,47.56,0,1.53,0,25.23,142.69,0,25.93,133.62,1.76,86.44,2.38,0,0,1.16,25.93,0,0,0,6.67,19.99,0,0,0,199.42,8.64,0,0,17.29,8.64,0,0,0,0,0,0

2,00:15-00:30,13.34,6.67,6.67,13.33,10.6,25.93,57.34,70.02,47.56,0,1.53,0,25.23,142.69,0,25.93,133.62,1.76,86.44,2.38,0,0,1.16,25.93,0,0,0,6.67,19.99,0,0,0,170.61,8.64,0,0,17.29,8.64,0,0,0,0,0,0

3,00:30-00:45,13.34,6.67,6.67,13.33,14,25.93,57.34,70.02,47.56,0,1.53,0,25.74,142.69,0,25.93,133.62,1.76,86.44,2.38,0,0,1.16,25.93,0,0,0,6.67,19.99,0,0,0,148.86,8.64,0,0,17.29,8.64,0,0,0,0,0,0

4,00:45-01:00,13.34,6.67,6.67,13.33,14,25.93,57.34,70.02,47.56,0,1.53,0,25.74,142.69,0,25.93,133.62,1.76,81.63,2.38,0,0,1.16,25.93,0,0,0,6.67,19.99,0,0,0,139.26,8.64,0,0,17.29,8.64,0,0,0,0,0,0

5,01:00-01:15,13.34,6.67,6.67,13.33,14,25.93,57.34,70.02,47.56,0,1.45,0,25.74,142.69,0,25.93,115.25,1.76,83.55,2.38,0,0,1.16,25.93,0,0,0,6.67,19.99,0,0,0,158.47,8.64,0,0,17.29,8.64,0,0,0,0,0,0

6,01:15-01:30,13.34,6.67,6.67,13.33,14.2,25.93,57.34,70.02,47.56,0,1.45,0,25.74,142.69,0,25.93,115.25,1.76,78.75,2.38,0,0,1.16,25.93,0,0,0,6.67,19.99,0,0,0,158.47,8.64,0,0,17.29,8.64,0,0,0,0,0,0

7,01:30-01:45,13.34,6.67,6.67,13.33,12.41,25.93,57.34,70.02,47.56,0,1.45,0,0,142.69,0,25.93,96.04,1.76,83.55,2.38,0,0,1.16,25.93,0,0,0,6.67,19.99,0,0,0,158.47,8.64,0,0,17.29,8.64,0,0,0,0,0,0

8,01:45-02:00,13.34,6.67,6.67,13.33,12.41,25.93,57.34,70.02,47.56,0,1.45,0,0,142.69,0,25.93,96.04,1.76,78.75,2.38,0,0,1.16,25.93,0,0,0,6.67,19.99,0,0,0,158.47,8.64,0,0,17.29,8.64,0,0,0,0,0,0

9,02:00-02:15,13.34,6.67,6.67,13.33,12.61,25.93,57.34,70.02,47.56,0,1.45,0,0,142.69,0,25.93,74.68,1.76,83.55,2.38,0,0,1.16,25.93,0,0,0,6.67,19.99,0,0,0,158.47,8.64,0,0,17.29,8.64,0,0,0,0,0,0

