Block,Time,CHAMERA2,ANTA_RF,UNCHAHAR2,RIHAND3,AURY_LF,RIHAND1,TEHRI,URI,TANAKPUR,SINGRAULI,UNCHAHAR4,SEWA2,RAMPUR,AURY_GF,UNCHAHAR1,ANTA_GF,AURY_CRF,RAPPC,DADRT2,TANDA2,JHAJJAR,KOTESHWR,AURY_RF,NAPP,CHAMERA1,BSIUL,RAPPB,CHAMERA3,KOLDAM,SINGRAULI_HYDRO,SALAL,FSTPP I & II,SASAN,URI2,BRBCL,ANTA_LF,DHAULIGNGA,PARBATI3,DADRI_GF,KISHANGANGA,TALA,KHSTPP-I,UNCHAHAR3,ANTA_CRF,DADRI_CRF,DADRI_LF,NJPC,RIHAND2,KHSTPP-II,KUDGI,DULHASTI,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,37.917862,9.274733,40.665368,118.681900,0.000000,88.292400,43.531992,46.618387,10.818506,98.609175,0.000000,0.000000,0.000000,0.000000,13.637721,0.000000,0.000000,48.714372,659.102725,0.000000,620.662078,8.516378,18.292746,36.693554,37.908150,6.258012,0.000000,18.575646,0.000000,0.973030,82.522684,17.409054,332.536050,30.983723,19.194008,0.000000,26.242709,0.000000,0.000000,0.000000,18.339867,41.941191,18.041976,0.000000,0.000000,0.000000,89.792987,113.364562,141.326286,0.00,31.521155,17.586694,0,0,0,0,0

2,00:15-00:30,37.917862,9.274733,40.681779,118.681900,0.000000,88.292400,43.531992,46.618387,10.818506,98.609175,0.000000,0.000000,0.000000,0.000000,13.637721,0.000000,0.000000,48.714372,659.102725,0.000000,620.662078,8.516378,18.292746,36.693554,37.529068,6.258012,0.000000,18.575646,0.000000,0.973030,82.522684,17.409054,332.536050,30.983723,16.975989,0.000000,26.242709,0.000000,0.000000,0.000000,18.339867,41.942729,18.041976,0.000000,0.000000,0.000000,89.792987,113.364562,141.326286,0.00,31.521155,17.586694,0,0,0,0,0

3,00:30-00:45,37.917862,9.274733,40.681779,118.681900,0.000000,88.292400,29.021328,8.476070,10.818506,98.609175,0.000000,0.000000,0.000000,0.000000,13.637721,0.000000,0.000000,48.714372,659.102725,0.000000,620.662078,8.516378,18.292746,36.693554,37.529068,6.258012,0.000000,18.575646,0.000000,0.973030,82.522684,17.409054,332.536050,30.983723,17.163035,0.000000,26.242709,0.000000,0.000000,0.000000,18.339867,41.942729,18.041976,0.000000,0.000000,0.000000,89.792987,113.364562,141.326286,0.00,31.521155,17.586694,0,0,0,0,0

4,00:45-01:00,37.917862,9.274733,40.681779,118.681900,0.000000,88.292400,29.021328,8.476070,10.818506,98.609175,0.000000,0.000000,0.000000,0.000000,13.637721,0.000000,0.000000,48.714372,659.102725,0.000000,620.662078,8.516378,18.292746,36.693554,26.958760,6.258012,0.000000,18.575646,0.000000,0.973030,82.522684,17.409054,332.536050,30.983723,15.092313,0.000000,26.242709,0.000000,0.000000,0.000000,18.339867,41.942729,18.041976,0.000000,0.000000,0.000000,89.792987,113.364562,141.326286,0.00,31.521155,17.586694,0,0,0,0,0

5,01:00-01:15,37.917862,9.274733,40.681779,118.681900,0.000000,88.292400,14.510664,8.476070,10.818506,98.609175,0.000000,0.000000,0.000000,0.000000,18.631616,0.000000,0.000000,48.714372,659.102725,0.000000,626.828151,8.516378,18.292746,36.693554,13.419485,0.000000,0.000000,18.575646,0.000000,0.973030,82.522684,17.409054,332.536050,10.327908,17.180892,0.000000,26.242709,0.000000,0.000000,0.000000,18.339867,41.942729,25.326579,0.000000,0.000000,0.000000,89.792987,113.364562,141.326286,0.00,31.521155,17.586694,0,0,0,0,0

6,01:15-01:30,37.917862,9.274733,40.681779,118.681900,0.000000,88.292400,14.510664,8.476070,10.818506,98.609175,0.000000,0.000000,0.000000,0.000000,18.631616,0.000000,0.000000,48.714372,659.102725,0.000000,626.828151,8.516378,18.292746,36.693554,0.000000,0.000000,0.000000,9.287823,0.000000,0.973030,82.522684,17.409054,332.536050,9.682413,16.431498,0.000000,26.242709,0.000000,0.000000,0.000000,18.339867,41.942729,25.326579,0.000000,0.000000,0.000000,89.792987,113.364562,141.326286,0.00,31.521155,17.586694,0,0,0,0,0

7,01:30-01:45,37.917862,9.597000,40.681779,118.681900,0.000000,88.292400,0.000000,8.476070,10.818506,98.609175,0.000000,0.000000,0.000000,0.000000,14.856060,0.000000,0.000000,48.714372,650.433604,0.000000,582.461124,8.516378,18.292746,36.693554,0.000000,0.000000,0.000000,9.287823,0.000000,0.973030,72.486141,17.409054,332.536050,9.682413,15.624294,0.000000,26.242709,0.000000,0.000000,0.000000,18.339867,41.942729,20.813014,0.000000,0.000000,0.000000,89.792987,113.364562,141.326286,0.00,31.521155,17.586694,0,0,0,0,0

8,01:45-02:00,37.917862,9.597000,40.681779,118.681900,0.000000,88.292400,0.000000,8.476070,10.818506,98.609175,0.000000,0.000000,0.000000,0.000000,14.856060,0.000000,0.000000,48.714372,658.418308,0.000000,582.461124,8.516378,18.292746,36.693554,0.000000,0.000000,0.000000,9.287823,0.000000,0.973030,72.486141,17.409054,332.536050,9.682413,13.023406,0.000000,26.242709,0.000000,0.000000,0.000000,18.339867,41.942729,20.813014,0.000000,0.000000,0.000000,89.792987,113.364562,141.326286,0.00,31.521155,17.586694,0,0,0,0,0

9,02:00-02:15,25.278575,0.457000,40.681779,118.681900,0.000000,88.292400,0.000000,10.595088,10.818506,98.609175,0.000000,0.000000,0.000000,0.000000,14.856060,0.000000,0.000000,48.714372,640.452724,0.000000,582.461124,8.516378,2.641486,36.693554,0.000000,0.000000,0.000000,9.287823,0.000000,0.973030,72.486141,17.409054,332.536050,9.682413,12.732648,0.000000,26.242709,0.000000,0.000000,0.000000,18.339867,41.942729,20.813014,0.000000,0.000000,0.000000,89.792987,113.364562,141.326286,0.00,31.521155,3.836663,0,0,0,0,0

