Time,Block,SR/2024/12327/C,NR/2024/18759/A/8326,NR/2024/18779/C,Total
,,IEXL,ITCLH,NVVNL,Total

,,DELHI,ANDHRA PRADESH,NA,
,,BYPL,ITCWIND,SOLAPUR_SOLAR,
,,TAMIL NADU,DELHI,DELHI,
,,TANGEDCO,ITCLH,MES (Delhi),
,,North-East-South,South-West-North,West-North,
1,00:00-00:15,100.00,0.480000,0,100.48

2,00:15-00:30,100.00,0.480000,0,100.48

3,00:30-00:45,100.00,0.480000,0,100.48

4,00:45-01:00,100.00,0.480000,0,100.48

5,01:00-01:15,100.00,0.480000,0,100.48

6,01:15-01:30,100.00,0.480000,0,100.48

7,01:30-01:45,100.00,0.480000,0,100.48

8,01:45-02:00,100.00,0.480000,0,100.48

9,02:00-02:15,100.00,0.480000,0,100.48

10,02:15-02:30,100.00,0.480000,0,100.48

11,02:30-02:45,100.00,0.480000,0,100.48

12,02:45-03:00,100.00,0.480000,0,100.48

13,03:00-03:15,100.00,0.430000,0,100.43

14,03:15-03:30,100.00,0.430000,0,100.43

15,03:30-03:45,70.00,0.430000,0,70.43

16,03:45-04:00,66.00,0.430000,0,66.43

17,04:00-04:15,66.00,0.430000,0,66.43

18,04:15-04:30,0.00,0.430000,0,0.43

19,04:30-04:45,0.00,0.430000,0,0.43

20,04:45-05:00,0.00,0.430000,0,0.43

21,05:00-05:15,0.00,0.480000,0,0.48

22,05:15-05:30,0.00,0.480000,0,0.48

23,05:30-05:45,0.00,0.480000,0,0.48

24,05:45-06:00,0.00,0.480000,0,0.48

25,06:00-06:15,100.00,0.480000,0,100.48

26,06:15-06:30,100.00,0.480000,0,100.48

27,06:30-06:45,100.00,0.480000,0,100.48

28,06:45-07:00,100.00,0.480000,0.15,100.63

29,07:00-07:15,100.00,0.530000,0.61,101.14

30,07:15-07:30,100.00,0.530000,1.06,101.59

31,07:30-07:45,100.00,0.530000,1.47,102

32,07:45:08:00,0.00,0.530000,1.92,2.45

33,08:00-08:15,0.00,0.960000,2.38,3.34

34,08:15-08:30,0.00,0.960000,2.95,3.91

35,08:30-08:45,0.00,0.960000,3.24,4.2

36,08:45:09:00,0.00,0.960000,3.82,4.78

37,09:00:09:15,0.00,0.910000,4.32,5.23

38,09:15-09:30,0.00,0.910000,5.1,6.01

39,09:30-09:45,0.00,0.910000,5.64,6.55

40,09:45-10:00,0.00,0.910000,6.08,6.99

41,10:00-10:15,0.00,0.910000,6.33,7.24

42,10:15-10:30,0.00,0.910000,6.62,7.53

43,10:30-10:45,0.00,0.910000,7.09,8

44,10:45-11:00,0.00,0.910000,7.31,8.22

45,11:00-11:15,0.00,0.910000,7.6,8.51

46,11:15-11:30,0.00,0.910000,7.47,8.38

47,11:30-11:45,0.00,0.910000,6.65,7.56

48,11:45-12:00,0.00,0.910000,7.43,8.34

49,12:00-12:15,0.00,0.910000,7.09,8

50,12:15-12:30,0.00,0.910000,8.21,9.12

51,12:30-12:45,0.00,0.910000,8.16,9.07

52,12:45-13:00,0.00,0.910000,6.87,7.78

53,13:00-13:15,0.00,0.820000,8.37,9.19

54,13:15-13:30,0.00,0.820000,8.02,8.84

55,13:30-13:45,0.00,0.820000,7.9,8.72

56,13:45-14:00,0.00,0.820000,7.73,8.55

57,14:00-14:15,0.00,0.910000,7.17,8.08

58,14:15-14:30,0.00,0.910000,7,7.91

59,14:30-14:45,0.00,0.910000,6.59,7.5

60,14:45-15:00,0.00,0.910000,5.65,6.56

61,15:00-15:15,0.00,0.910000,5.4,6.31

62,15:15-15:30,0.00,0.910000,3.71,4.62

63,15:30-15:45,0.00,0.910000,4.79,5.7

64,15:45-16:00,0.00,0.910000,4.24,5.15

65,16:00-16:15,0.00,0.630000,3.14,3.77

66,16:15-16:30,0.00,0.630000,2.16,2.79

67,16:30-16:45,0.00,0.630000,1.2,1.83

68,16:45-17:00,0.00,0.630000,1.08,1.71

69,17:00-17:15,0.00,0.630000,1.32,1.95

70,17:15-17:30,0.00,0.630000,1.31,1.94

71,17:30-17:45,0.00,0.630000,0.96,1.59

72,17:45-18:00,0.00,0.630000,0.58,1.21

73,18:00-18:15,0.00,0.630000,0.3,0.93

74,18:15-18:30,0.00,0.630000,0.1,0.73

75,18:30-18:45,0.00,0.630000,0,0.63

76,18:45-19:00,0.00,0.630000,0,0.63

77,19:00-19:15,0.00,0.720000,0,0.72

78,19:15-19:30,0.00,0.720000,0,0.72

79,19:30-19:45,0.00,0.720000,0,0.72

80,19:45-20:00,0.00,0.720000,0,0.72

81,20:00-20:15,0.00,0.670000,0,0.67

82,20:15-20:30,0.00,0.670000,0,0.67

83,20:30-20:45,0.00,0.670000,0,0.67

84,20:45-21:00,0.00,0.670000,0,0.67

85,21:00-21:15,0.00,0.670000,0,0.67

86,21:15-21:30,0.00,0.670000,0,0.67

87,21:30-21:45,0.00,0.670000,0,0.67

88,21:45-22:00,0.00,0.670000,0,0.67

89,22:00-22:15,0.00,0.670000,0,0.67

90,22:15-22:30,0.00,0.670000,0,0.67

91,22:30-22:45,0.00,0.670000,0,0.67

92,22:45-23:00,0.00,0.670000,0,0.67

93,23:00-23:15,0.00,0.630000,0,0.63

94,23:15-23:30,0.00,0.630000,0,0.63

95,23:30-23:45,0.00,0.630000,0,0.63

96,23:45-24:00,0.00,0.630000,0,0.63

