Block,Time,L_NR_2020_02,LT-31,L_NR_2012_01,L_NR_2020_07,L_NR_2019_07,L_NR_2023_04,LT-05,L_NR_2021_14,L_NR_2023_07,L_NR_2021_17,L_NR_2012_07,L_NR_2021_16,L_NR_2021_13,L_NR_2021_12,LT-35,SH-07,L_NR_2021_15,L_NR_2012_02,L_NR_2012_04,L_NR_2022_08,L_NR_2022_09,L_NR_2022_10,L_NR_2019_11,L_NR_2020_05,L_NR_2019_19,SH-06,LT-36,L_NR_2019_06,L_NR_2020_06,L_NR_2019_05,L_NR_2018_61,L_NR_2023_10,LT-59
1,00:00-00:15,4.550000,0.000000,101.250000,10.49,0,27.780000,115.620000,0,0,0,73.360000,0,0,0,0.000000,0.000000,0,261.560000,271.860000,10.03,29.5,29.5,4.770000,31.45,0,30.930000,0.000000,0,10.48,0,34.5,0,5.210000

2,00:15-00:30,4.550000,0.000000,101.250000,14.17,0,27.780000,115.620000,0,0,0,73.360000,0,0,0,0.000000,0.000000,0,261.560000,271.860000,10.09,29.34,29.34,4.770000,42.51,0,30.930000,0.000000,0,14.17,0,34.54,0,5.210000

3,00:30-00:45,4.550000,0.000000,101.250000,14.01,0,27.780000,115.620000,0,0,0,73.360000,0,0,0,0.000000,0.000000,0,261.560000,271.860000,14.41,34.01,34.01,4.770000,42.01,0,30.930000,0.000000,0,14,0,35.83,0,5.210000

4,00:45-01:00,4.550000,0.000000,101.250000,13.83,0,27.780000,115.620000,0,0,0,73.360000,0,0,0,0.000000,0.000000,0,261.560000,271.860000,14.05,33.67,33.67,4.770000,41.51,0,30.930000,0.000000,0,13.84,0,35.35,0,5.210000

5,01:00-01:15,4.550000,0.000000,101.250000,13.67,0,27.780000,115.620000,0,0,0,73.360000,0,0,0,0.000000,0.000000,0,261.560000,271.860000,13.77,33.51,33.51,4.770000,41.01,0,30.930000,0.000000,0,13.67,0,34.6,0,5.210000

6,01:15-01:30,4.550000,0.000000,101.250000,13.33,0,27.780000,115.620000,0,0,0,73.360000,0,0,0,0.000000,0.000000,0,261.560000,271.860000,13.42,33.01,33.01,4.770000,40.01,0,30.930000,0.000000,0,13.34,0,34.12,0,5.210000

7,01:30-01:45,4.550000,0.000000,101.250000,13.51,0,27.780000,115.620000,0,0,0,73.360000,0,0,0,0.000000,13.910000,0,261.560000,271.860000,12.54,32.84,32.84,4.770000,40.51,0,30.930000,0.000000,0,13.5,0,33.47,0,5.210000

8,01:45-02:00,4.550000,0.000000,101.250000,13.67,0,27.780000,115.620000,0,0,0,73.360000,0,0,0,0.000000,24.450000,0,261.560000,271.860000,11.09,32.67,32.67,4.770000,41.01,0,30.930000,0.000000,0,13.67,0,32.51,0,5.210000

9,02:00-02:15,4.550000,0.000000,101.250000,13.83,0,27.820000,115.620000,0,0,0,73.360000,0,0,0,0.000000,25.320000,0,261.560000,271.860000,10.08,32.51,32.51,4.770000,41.51,0,25.320000,0.000000,0,13.84,0,32.35,0,5.210000

10,02:15-02:30,4.550000,0.000000,101.250000,14.01,0,27.820000,115.620000,0,0,0,73.360000,0,0,0,0.000000,25.920000,0,261.560000,271.860000,9.79,32.28,32.28,4.770000,42.01,0,25.920000,0.000000,0,14,0,31.89,0,5.210000

11,02:30-02:45,4.550000,0.000000,101.250000,14.17,0,27.820000,115.620000,0,0,0,73.360000,0,0,0,0.000000,26.090000,0,261.560000,271.860000,9.74,31.67,31.67,4.770000,42.51,0,26.090000,0.000000,0,14.17,0,31.21,0,5.210000

12,02:45-03:00,4.550000,0.000000,101.250000,14.33,0,27.820000,115.620000,0,0,0,73.360000,0,0,0,0.000000,26.090000,0,261.560000,271.860000,9.7,31.67,31.67,4.770000,43.01,0,26.090000,0.000000,0,14.34,0,30.11,0,5.210000

