Block,Time,NLCTS2EXP,PARBATI3,RIHAND3,SASAN,SIMHST2,ANTA_GF,AURY_CRF,AURY_LF,CHAMERA2,DHAULIGNGA,KGSU3AND4,KKNP,TANAKPUR,TANDA2,TelanganaSTPP,UNCHAHAR1,URI,URI2,VALLURNTECL,ANTA_CRF,ANTA_LF,ANTA_RF,DADRI_RF,DADRT2,JHAJJAR,NAPP,RAMPUR,RAPPB,RAPPC,TALA,AURY_GF,AURY_RF,DADRI_LF,CHAMERA3,DULHASTI,KGSU1AND2,KKNPPU2,NJPC,DADRI_GF,FSTPP I & II,KHSTPP-I,KUDGI,MAPS,NLCEXP,RAPPD,RIHAND2,RSTPSU1TO6,UNCHAHAR3,KHSTPP-II,KOLDAM,NTPL,SIMHST1,SINGRAULI_HYDRO,BSIUL,KISHANGANGA,KOTESHWR,NLCIIST1,RSTPSU7,SINGRAULI,TALST2,UNCHAHAR4,DADRI_CRF,BRBCL,CHAMERA1,NLCIIST2,NNTPP,PARBATI2,RIHAND1,SALAL,SEWA2,TEHRI,TEHRIPSP,UNCHAHAR2
1,00:00-00:15,0,39.35,92.37,418.77,0,0,0,0,48.9,10.97,0,0,1.41,6.87,0,21.83,52.44,38.16,0,0,0,49.95,76.68,205.42,670.85,25.29,4.44,0,68.73,5.29,0,59.34,0,35.09,59.56,0,0,110.82,0,18.2,45.83,0,0,0,26.14,96.8,0,27.99,148.3,0,0,0,1.16,6.52,8.71,7.54,0,0,155.58,0,3.98,0,20,42.15,0,0,37.7,64.81,51.13,12.62,18.82,0,45.12

2,00:15-00:30,0,39.35,92.37,418.77,0,0,0,0,48.9,10.97,0,0,1.41,6.87,0,21.83,52.44,38.16,0,0,0,49.95,76.68,205.42,670.85,25.29,4.44,0,68.73,5.29,0,59.34,0,35.09,59.56,0,0,110.82,0,18.2,45.83,0,0,0,26.14,96.8,0,27.99,148.3,0,0,0,1.16,6.52,8.71,7.54,0,0,155.58,0,3.98,0,20,42.15,0,0,37.7,64.81,51.13,6.31,18.82,0,45.12

3,00:30-00:45,0,39.35,92.37,418.77,0,0,0,0,48.9,10.97,0,0,1.41,6.87,0,21.83,52.44,38.16,0,0,0,49.95,76.68,205.42,670.85,25.29,4.44,0,68.73,5.29,0,78.22,0,35.09,59.56,0,0,110.82,0,18.2,45.83,0,0,0,26.14,96.8,0,27.99,148.3,0,0,0,1.16,6.52,8.71,7.54,0,0,155.58,0,3.98,0,20,28.1,0,0,37.7,64.81,51.13,6.31,18.82,0,45.12

4,00:45-01:00,0,39.35,92.37,418.77,0,0,0,0,48.9,10.97,0,0,1.41,6.87,0,21.83,52.44,38.16,0,0,0,49.95,76.68,205.42,670.85,25.29,4.44,0,68.73,5.29,0,78.22,0,35.09,59.56,0,0,110.82,0,18.2,45.83,0,0,0,26.14,96.8,0,27.99,148.3,0,0,0,1.16,6.52,8.71,7.54,0,0,155.58,0,3.98,0,20,28.1,0,0,37.7,64.81,51.13,6.31,18.82,0,45.12

5,01:00-01:15,0,38.42,92.37,418.77,0,0,0,0,48.9,10.97,0,0,1.41,6.87,0,21.83,52.44,38.16,0,0,0,51.27,76.69,205.42,670.85,25.29,3.33,0,68.73,5.29,0,78.22,0,35.09,59.56,0,0,83.12,0,18.2,45.83,0,0,0,26.14,96.8,0,27.99,148.3,0,0,0,1.16,6.52,8.71,7.54,0,0,155.58,0,3.98,0,20,28.1,0,0,37.7,64.81,51.13,6.31,18.82,0,45.12

6,01:15-01:30,0,38.42,92.37,418.77,0,0,0,0,48.9,10.97,0,0,1.41,6.87,0,21.83,52.44,38.16,0,0,0,51.27,76.69,205.42,670.85,25.29,2.22,0,68.73,5.29,0,78.22,0,35.09,59.56,0,0,55.42,0,18.2,45.83,0,0,0,26.14,96.8,0,27.99,148.3,0,0,0,1.16,6.52,8.71,7.54,0,0,155.58,0,3.98,0,20,28.1,0,0,37.7,64.81,51.13,6.31,18.82,0,45.12

7,01:30-01:45,0,38.42,92.37,418.77,0,0,0,0,48.9,10.97,0,0,1.41,6.87,0,21.83,52.44,38.16,0,0,0,51.269999999999996,76.69,235.97,670.85,25.29,2.22,0,68.73,5.29,0,78.24,0,35.09,59.56,0,0,55.42,0,18.2,45.83,0,0,0,26.14,96.8,0,27.99,148.3,0,0,0,1.16,6.52,8.71,7.54,0,0,155.58,0,3.98,0,20,28.1,0,0,37.7,64.81,51.13,6.31,18.82,0,45.12

8,01:45-02:00,0,38.42,92.37,418.77,0,0,0,0,48.9,10.97,0,0,1.41,6.87,0,21.83,52.44,38.16,0,0,0,51.269999999999996,76.69,273.56,670.85,25.29,2.22,0,68.73,5.29,0,78.24,0,35.09,59.56,0,0,55.42,0,18.2,45.83,0,0,0,26.14,96.8,0,27.99,148.3,0,0,0,1.16,6.52,8.71,7.54,0,0,155.58,0,3.98,0,20,28.1,0,0,37.7,64.81,51.13,5.59,18.82,0,45.12

9,02:00-02:15,0,38.42,92.37,418.77,0,0,0,0,48.9,10.97,0,0,1.41,6.87,0,21.83,52.44,38.16,0,0,0,51.93,76.69,273.56,670.85,25.29,2.22,0,68.73,4.41,0,78.24,0,35.09,59.56,0,0,55.42,0,18.2,45.83,0,0,0,26.14,96.8,0,27.99,148.3,0,0,0,1.16,6.52,8.71,7.54,0,0,155.58,0,3.98,0,20,26.77,0,0,37.7,64.81,46.48,5.22,18.82,0,45.11

