Block,Time Block,RSTPSU1TO6,RSTPSU7,NLCTS2EXP,BRBCL,BSIUL,TANAKPUR,SASAN,SIMHST1,SINGRAULI_HYDRO,SIMHST2,TALST2,TALA,SALAL,SEWA2,SINGRAULI,TANDA2,CHAMERA2,DHAULIGNGA,FSTPP I & II,DADRT2,DULHASTI,KGSU1AND2,CHAMERA3,JHAJJAR,CHAMERA1,KOLDAM,KISHANGANGA,KUDGI,KHSTPP-I,MAPS,KGSU3AND4,KHSTPP-II,KKNP,KOTESHWR,KKNPPU2,NAPP,NLCIIST2,NLCEXP,NLCIIST1,NJPC,ANTA_CRF,AURY_GF,URI2,UNCHAHAR3,AURY_CRF,ANTA_LF,UNCHAHAR2,URI,ANTA_RF,ANTA_GF,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,TelanganaSTPP,TEHRI,RIHAND3,RIHAND1,PARBATI2,RAPPB,RAMPUR,PARBATI3,RAPPC,RIHAND2,NTPL,NNTPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,19.25,18.82,0.24,402.98,0,0.94,0,0,0,76.39,18.17,144.59,3.84,15.64,0,20.02,654.59,38.13,0,0,440.7,27.04,0,8.24,0,43.81,0,0,142.71,0,10.02,0,50.16,0,0,0,79.77,0,0,38.14,26.63,0,0,19.99,46.74,0,0,20.81,0,1.68,0,0,0,0,0,0,0,11.64,125.82,93.52,8.66,0,3.15,16.22,66.65,119.84,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,16.23,18.82,6.03,402.98,0,0.94,0,0,0,76.39,18.17,144.59,3.84,15.64,0,20.02,654.59,38.13,0,0,441.22,27.04,0,8.24,0,43.81,0,0,142.71,0,10.02,0,50.16,0,0,0,53.18,0,0,38.14,26.63,0,0,19.99,46.74,0,0,20.81,0,1.68,0,0,0,0,0,0,0,11.64,125.82,93.52,8.66,0,2.1,16.22,66.65,119.84,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,16.68,18.82,6.03,402.98,0,0.94,0,0,0,76.39,18.17,144.59,3.96,15.64,0,20.02,654.59,38.13,0,0,430.26,27.04,0,8.24,0,43.81,0,0,142.71,0,10.02,0,50.16,0,0,0,53.18,0,0,38.14,26.63,0,0,19.99,46.74,0,0,20.81,0,1.68,0,0,0,0,0,0,0,0,125.82,93.52,8.66,0,2.1,16.22,66.65,119.84,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,15.52,18.82,6.03,402.98,0,0.94,0,0,0,76.39,18.17,144.59,3.96,15.64,0,20.02,654.59,38.13,0,0,430.26,27.04,0,8.24,0,43.81,0,0,142.71,0,10.02,0,50.16,0,0,0,53.18,0,0,38.14,26.63,0,0,19.99,46.74,0,0,20.81,0,1.68,0,0,0,0,0,0,0,0,125.82,93.52,8.66,0,2.1,16.22,66.65,119.84,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,13.28,18.82,6.03,402.98,0,0.94,0,0,0,24.61,18.17,144.59,3.96,15.64,0,20.02,658.84,38.13,0,0,425.36,27.04,0,8.24,0,43.81,0,0,142.71,0,10.02,0,50.16,0,0,0,53.18,0,0,36.29,26.63,0,0,25.56,46.74,0,0,20.81,0,1.63,0,0,0,0,0,0,0,0,125.82,93.52,8.66,0,2.1,16.22,66.65,119.84,0,0,0,0,0,0,0

