Time,Block,NR/2023/17780/C,NR/2023/17402/F,NR/2023/17344/F,NR/2023/17263/F,NR/2023/14875/A,NR/2023/17496/F,NR/2023/17165/A,NR/2023/17790/C,NR/2023/17781/C,WR/2023/19090/A,Total
,,TPDDL,MANIKARAN,ITCLH,APPCPL,APPCPL,IEXL,NVVNL,HPXL,NVVNL,TPTCL,Total

,,HIMACHAL PRADESH,DELHI,ANDHRA PRADESH,DELHI,DELHI,KARNATAKA,NA,DELHI,NA,DELHI,
,,CHANJUII,BRPL,ITCWIND,BRPL,BYPL,NSLSUGAR,SKS Raigarh,BYPL,SOLAPUR_SOLAR,BYPL,
,,DELHI,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,DELHI,DELHI,UTTAR PRADESH,DELHI,MAHARASHTRA,
,,TPDDL,HP,ITCLH,HP,HP,MES (Delhi),NDMC,NPCL(UP),MES (Delhi),TPC MSEB,
,,North-North,North-North,South-West-North,North-North,North-North,South-East-North,West-North,North-North,West-North,North-West,
1,00:00-00:15,5.630000,0.000000,0.580000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.42

2,00:15-00:30,5.630000,0.000000,0.580000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.42

3,00:30-00:45,5.630000,0.000000,0.580000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.42

4,00:45-01:00,5.630000,0.000000,0.580000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.42

5,01:00-01:15,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

6,01:15-01:30,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

7,01:30-01:45,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

8,01:45-02:00,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

9,02:00-02:15,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

10,02:15-02:30,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

11,02:30-02:45,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

12,02:45-03:00,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

13,03:00-03:15,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

14,03:15-03:30,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

15,03:30-03:45,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

16,03:45-04:00,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

17,04:00-04:15,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

18,04:15-04:30,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

19,04:30-04:45,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

20,04:45-05:00,5.550000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.29

21,05:00-05:15,5.450000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.19

22,05:15-05:30,5.450000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.19

23,05:30-05:45,5.450000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.19

24,05:45-06:00,5.450000,0.000000,0.530000,159.210000,68.340000,6.780000,33.880000,20.000000,0,0.000000,294.19

