Block,Time,KUDGI,KISHANGANGA,KHSTPP-II,ANTA_GF,NJPC,KHSTPP-I,CHAMERA1,CHAMERA2,KOLDAM,UNCHAHAR2,FSTPP I & II,TALA,RAPPB,DULHASTI,BSIUL,AURY_CRF,SALAL,SASAN,BRBCL,DADRT2,PARBATI3,ANTA_RF,RAPPC,RIHAND2,KOTESHWR,RAMPUR,SINGRAULI_HYDRO,TANDA2,NAPP,AURY_GF,DADRI_RF,SINGRAULI,UNCHAHAR4,UNCHAHAR1,CHAMERA3,ANTA_CRF,RIHAND1,JHAJJAR,TANAKPUR,DADRI_GF,DADRI_CRF,URI,SEWA2,AURY_RF,RIHAND3,AURY_LF,TEHRI,URI2,ANTA_LF,DADRI_LF,DHAULIGNGA,UNCHAHAR3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,14.49,0.000000,142.298208,0.000000,54.905166,31.085871,0.000000,25.452419,0.000000,40.961554,11.015421,15.625071,0.000000,47.770544,0.000000,0.000000,23.579653,335.910038,19.325969,386.866902,0.000000,0.000000,25.137811,56.006651,8.574946,0.000000,0.794869,0.000000,38.700315,0.000000,0.000000,99.649688,0.000000,9.663000,0.000000,0.000000,88.899600,282.159600,12.687761,0.000000,0.000000,46.938989,0.000000,0.000000,119.498093,0.000000,43.831368,30.822440,0.000000,0.000000,17.615456,11.595600,0,0,0,0,0

2,00:15-00:30,14.49,0.000000,142.298208,0.000000,41.178874,31.085871,0.000000,25.452419,0.000000,40.961554,11.015421,15.625071,0.000000,47.770544,0.000000,0.000000,23.579653,335.910038,18.861280,405.226602,0.000000,0.000000,25.137811,56.006651,8.574946,0.000000,0.794869,0.000000,38.700315,0.000000,0.000000,99.649688,0.000000,9.663000,0.000000,0.000000,88.899600,276.435166,12.687761,0.000000,0.000000,46.938989,0.000000,0.000000,119.498093,0.000000,29.220912,30.822440,0.000000,0.000000,17.615456,11.595600,0,0,0,0,0

3,00:30-00:45,14.49,0.000000,142.298208,0.000000,41.178874,31.085871,0.000000,25.452419,0.000000,34.192332,11.015421,15.625071,0.000000,47.770544,0.000000,0.000000,23.579653,335.910038,18.798225,435.181902,0.000000,0.000000,25.137811,56.006651,8.574946,0.000000,0.794869,0.000000,38.700315,0.000000,0.000000,99.649688,0.000000,9.663000,0.000000,0.000000,88.899600,330.474600,12.687761,0.000000,0.000000,12.801542,0.000000,0.000000,119.498093,0.000000,14.610456,30.822440,0.000000,0.000000,17.615456,11.595600,0,0,0,0,0

4,00:45-01:00,14.49,0.000000,142.298208,0.000000,41.178874,31.085871,0.000000,25.452419,0.000000,34.192332,11.015421,15.625071,0.000000,47.770544,0.000000,0.000000,23.579653,335.910038,18.423528,405.226602,0.000000,0.000000,25.137811,56.006651,8.574946,0.000000,0.794869,0.000000,38.700315,0.000000,0.000000,99.649688,0.000000,9.663000,0.000000,0.000000,88.899600,312.041534,12.687761,0.000000,0.000000,11.734747,0.000000,0.000000,119.498093,0.000000,0.000000,30.822440,0.000000,0.000000,17.615456,11.595600,0,0,0,0,0

5,01:00-01:15,14.49,0.000000,142.298208,0.000000,41.178874,31.085871,0.000000,25.452419,0.000000,28.619584,11.015820,15.625071,0.000000,47.770544,0.000000,0.000000,23.579653,335.910038,17.575364,396.183000,0.000000,0.000000,25.137811,56.006651,8.574946,0.000000,0.794869,0.000000,38.700315,0.000000,0.000000,99.649688,0.000000,9.663000,0.000000,0.000000,88.899600,224.181600,12.687761,0.000000,0.000000,11.734747,0.000000,0.000000,119.498093,0.000000,0.000000,30.822440,0.000000,0.000000,17.615456,11.595600,0,0,0,0,0

