Block,Time,KGSU1AND2,KKNPPU2,RIHAND3,RSTPSU7,SEWA2,TelanganaSTPP,UNCHAHAR4,VALLURNTECL,ANTA_LF,AURY_CRF,AURY_LF,DADRI_LF,DADRT2,KHSTPP-II,MAPS,NAPP,NLCTS2EXP,RIHAND2,RSTPSU1TO6,SALAL,SINGRAULI,TALA,TEHRI,URI2,ANTA_GF,AURY_RF,ANTA_CRF,DULHASTI,KOLDAM,NLCIIST2,NTPL,SIMHST2,AURY_GF,CHAMERA3,KGSU3AND4,KISHANGANGA,NJPC,RAPPC,UNCHAHAR3,DADRI_GF,BRBCL,KKNP,NLCIIST1,RIHAND1,SIMHST1,DADRI_RF,BSIUL,DHAULIGNGA,FSTPP I & II,KHSTPP-I,KOTESHWR,NLCEXP,RAPPB,SASAN,TALST2,TANDA2,UNCHAHAR2,DADRI_CRF,CHAMERA1,CHAMERA2,JHAJJAR,KUDGI,NNTPP,PARBATI3,RAMPUR,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR1,URI,ANTA_RF
1,00:00-00:15,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,2.33,139.69,0,0,31.9,0,68.96,0,16.48,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,410.62,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0,19.98,34.78,28.46

2,00:15-00:30,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,2.33,139.69,0,0,31.9,0,68.96,0,16.48,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,410.62,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0,19.98,34.78,28.46

3,00:30-00:45,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,2.33,139.69,0,0,31.9,0,68.96,0,16.48,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,410.62,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0,19.98,34.78,28.46

4,00:45-01:00,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,2.33,139.69,0,0,31.9,0,68.96,0,16.48,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,410.62,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0,19.98,34.78,28.46

5,01:00-01:15,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,410.62,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0,19.98,34.78,28.46

6,01:15-01:30,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,410.62,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0,19.98,34.78,28.66

7,01:30-01:45,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,410.62,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0,19.98,34.78,28.66

8,01:45-02:00,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,410.62,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0,19.98,34.78,28.66

9,02:00-02:15,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,418.77,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0,19.98,34.78,28.66

10,02:15-02:30,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,418.77,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0,19.98,34.78,28.66

11,02:30-02:45,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,70.88,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,418.77,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0.25,19.98,34.78,28.66

12,02:45-03:00,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,70.88,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,418.77,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0.25,19.98,34.78,28.66

13,03:00-03:15,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,70.88,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,418.77,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0.25,19.98,34.78,28.66

14,03:15-03:30,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,70.88,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,418.77,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0.25,19.98,34.78,28.66

15,03:30-03:45,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,70.88,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,346.5,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0,19.98,34.78,28.56

16,03:45-04:00,0,0,124.33,0,0,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,70.88,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,346.5,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0,19.98,34.78,28.56

17,04:00-04:15,0,0,124.33,0,9.33,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,346.5,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,0,19.98,34.78,28.56

18,04:15-04:30,0,0,124.33,0,9.33,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,346.5,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,5.76,19.98,34.78,28.56

19,04:30-04:45,0,0,124.33,0,14.66,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,0,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,346.5,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,5.76,19.98,34.78,28.56

20,04:45-05:00,0,0,124.33,0,15.81,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,11.21,31.9,0,68.96,0,0,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,6.52,0,11.7,45.53,8.87,0,0,346.5,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,5.76,19.98,34.78,28.56

21,05:00-05:15,0,0,124.33,0,15.81,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,22.43,31.9,0,68.96,0,16.48,0,0,0,0,0,0,0,0,0,25.64,26.4,0,20,0,0,45,0,59.73,1.1,0,11.7,45.53,8.87,0,0,346.5,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,5.76,19.98,39.75,28.56

22,05:15-05:30,0,0,124.33,0,15.81,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,22.43,31.9,0,68.96,0,16.48,0,0,0,0,0,0,0,0,19.88,25.64,26.4,0,20,0,0,45,0,59.73,1.1,0,11.7,45.53,8.87,0,0,346.5,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,5.76,19.98,39.75,28.56

23,05:30-05:45,0,0,124.33,0,15.81,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,34.02,31.9,0,68.96,0,16.48,0,0,0,0,0,0,0,0,43.56,25.64,26.4,0,20,0,0,45,0,59.73,1.1,9.14,11.7,45.53,8.87,0,0,346.5,0,0,42.39,0,0,0,434.65,0,0,0,0,0.8,5.76,19.98,34.78,28.56

24,05:45-06:00,0,0,124.33,0,15.81,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,34.02,31.9,0,68.96,0,16.48,0,0,0,0,0,9.68,0,0,43.56,25.64,26.4,0,20,0,0,45,0,59.73,1.1,9.14,11.7,45.53,8.87,0,0,346.5,0,0,42.39,0,12.25,2.66,434.65,0,0,0,0,0.8,0,19.98,34.78,28.56

25,06:00-06:15,0,0,124.33,0,15.81,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,34.02,31.9,0,68.96,0,16.48,0,0,0,0,0,9.68,0,0,70.17,25.64,26.4,0,20,0,0,45,0,59.73,1.1,9.14,11.7,45.53,8.87,0,0,346.5,0,0,42.39,0,13.43,13.17,434.65,0,0,3.82,0,0.8,0,19.98,34.78,28.98

26,06:15-06:30,0,0,124.33,0,15.81,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,45.36,31.9,0,68.96,0,32.96,0,0,0,0,0,19.35,0,0,93.56,25.64,26.4,0,20,0,0,45,0,59.73,6.52,18.27,11.7,45.53,17.75,0,0,346.5,0,0,42.39,0,28.05,26.34,434.65,0,0,16.54,0,0.8,0,19.98,34.78,28.98

27,06:30-06:45,0,0,124.33,0,15.81,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,45.36,33.23,0,68.96,0,49.43,0,0,0,0,0,29.06,0,0,116.95,25.64,26.4,0,20,0,0,45,0,59.73,19.56,27.41,11.7,45.53,39.05,0,0,346.5,0,0,42.39,0,42.15,39.51,434.65,0,0,16.54,0,0.8,0,19.98,39.75,28.98

28,06:45-07:00,0,0,124.33,0,15.81,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,45.36,33.23,0,68.96,0,49.43,0,0,0,0,0,29.06,0,0,116.95,25.64,26.4,0,20,0,0,45,0,59.73,19.56,27.41,11.7,45.53,39.05,0,0,346.5,0,0,42.39,0,42.15,39.51,434.65,0,0,16.54,0,0.8,0,19.98,39.75,29.08

29,07:00-07:15,0,0,124.33,0,15.81,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,45.36,33.23,0,68.96,0,49.43,0,0,0,0,0,29.06,0,0,116.95,25.64,26.4,0,20,0,0,45,0,59.73,19.56,27.41,12.51,45.53,39.05,0,0,346.5,0,0,42.39,0,42.15,39.51,434.65,0,0,16.54,0,0.8,0,19.98,34.78,29.08

30,07:15-07:30,0,0,124.33,0,15.81,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,13.36,139.69,0,45.36,33.23,0,68.96,0,49.43,0,0,0,0,0,29.06,0,0,116.95,25.64,26.4,0,20,0,0,45,0,59.73,19.56,27.41,13.2,45.53,39.05,0,0,346.5,0,0,42.39,0,42.15,39.51,434.65,0,0,16.54,0,0.8,0,19.98,34.78,29.08

31,07:30-07:45,0,0,124.33,0,15.81,0,0,0,0,0,0,0,683.14,148.3,0,20.72,0,118.76,0,70.88,139.69,0,45.36,33.23,0,68.96,0,49.43,0,0,0,0,0,29.06,0,0,116.95,25.64,26.4,0,20,0,0,45,0,59.73,19.56,27.41,13.9,45.53,39.05,0,0,346.5,0,0,42.39,0,42.15,39.51,434.65,0,0,16.54,0,0.8,0,19.98,34.78,29.08

