Column1,Block,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/9257,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/28030/C,NR/2025/28014/C,NR/30092023/26122029/SH-06,NR/2025/27728/A/77860,GNA/NR/2025/06/01/2868,NR/2025/27919/C,NR/2025/27726/A/77862,NR/2025/27915/C,GNA/NR/2025/06/01/7663,NR/2025/27918/C,NR/2025/28000/C,NR/2025/28012/C,NR/2025/28017/C,GNA/NR/2025/06/01/2569,NR/2025/28018/C,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/4444,NR/2025/27935/C,NR/2025/28019/C,GNA/NR/2025/06/01/7782,NR/2025/27361/A/77470,NR/2025/27162/A/77864,NR/2025/28032/C,NR/2025/26564/A/77742,NR/2025/27725/A/77863,NR/2025/27979/C,NR/2025/26563/A/77741,NR/2025/27980/C,NR/2025/27168/A/77299,NR/2025/26889/A/77779,NR/2025/26861/A/77745,NR/2025/27981/C,NR/2025/27982/C,NR/2025/27281/A/77883,NR/2025/26561/A/77740,NR/2025/26975/A/77865,NR/2025/27157/A/77405,NR/2025/27242/A/77500,NR/2025/27393/A/77468,NR/2025/28031/C,NR/2025/27499/A/77778,NR/2025/27724/A/77439,NR/2025/27167/A/77298,NR/2025/26445/A/77878,NR/2025/26785/A/77345,NR/2025/26777/A/77427,NR/2025/26860/A/77486,NR/2025/28029/C,NR/2025/27462/A/77335,NR/2025/27727/A/77859,NR/2025/26569/A/77743,NR/2025/27360/A/77472,NR/2025/28033/C,NR/2025/27782/A/77858,NR/2025/26952/A/77304,NR/2025/26570/A/77744,NR/2025/27359/A/77474,NR/2025/27088/A/77872,NR/2025/26085/A/77386,GNARE/NR/2024/12/20/3668,NR/2025/27622/A/77329,NR/2025/27356/A/77477,Total
,,INSTINCT,NVVNL,MANIKARAN,DELHI,APPCPL,APPCPL,PUNJAB,APPCPL,NDMC,IEXL,APPCPL,MANIKARAN,SIMHAPURI,IEXL,INSTINCT,NVVNL,APPCPL,PTC,NVVNL,BAWANA_GAS,KEIPL,PTC,APPCPL,PowerPulse,PXIL,NVVNL,APPCPL,BRPL,APPCPL,APPCPL,PowerPulse,APPCPL,BRPL,PowerPulse,PowerPulse,PTC,HPXL,PowerPulse,PowerPulse,PowerPulse,MANIKARAN,PowerPulse,APPCPL,KEIPL,GMRETL,BRPL,APPCPL,HPXL,DIAPL,PTC,NVVNL,IEXL,INSTINCT,BRPL,APPCPL,IEXL,APPCPL,PowerPulse,BRPL,APPCPL,APPCPL,PXIL,PowerPulse,BRPL,NVVNL,ITCLH,SECI_Trader,IEXL,BRPL,
,,NA,NA,MP_State,HIMACHAL_STATE,NA,Manipur_State,DELHI_UT,NA,NA,MSEB_State,NA,CSEB_State,NA,NA,NA,NA,CSEB_State,TELANGANA_State,NA,DELHI_UT,CSEB_State,ODISHA_STATE,NA,NA,NA,NA,CSEB_State,NA,CSEB_State,NA,NA,NA,NA,NA,NA,GoHP_Rampur_STATE,MSEB_State,NA,NA,NA,CSEB_State,NA,Manipur_State,CSEB_State,HIMACHAL_STATE,NA,NA,JK_and_LADAKH_UT,HIMACHAL_STATE,GoHP_Chamera1_STATE,NA,NA,NA,NA,NA,MSEB_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,NA,NA,
,,SIMHAPURI,JHABUA_IPP,BLAPOWER_MP,CHANJUII,RKM_POWER,Manipur_Ben,BAWANA_GAS,RKM_POWER,JIPL,JSWEL_MSEB,RKM_POWER,CSEB_Beneficiary,SIMHAPURI,MBMP,JPL2,ILFS,CSEB_Beneficiary,NAVABHARAT,SORANG_HEP,BAWANA_GAS,CSPDCL,NBVL_OTCL,DBPL,COASTGEN,MBMP,Kameng,CSPDCL,RIHAND3,CSEB_Beneficiary,TRN_ENERGY,MAHAN_ENERGEN,SKS_Raigarh,JPL2,MAHAN_ENERGEN,APL_Raipur_TPP,GoHP_Rampur,GRETAENERGY,COASTGEN,APL_Raigarh_TPP,MAHAN_ENERGEN,CSEB_Beneficiary,APL_Raipur_TPP,Manipur_Ben,CSEB_Beneficiary,GBHHPL,DADRT2,JPL2,O2Z,GBHHPL,GoHP_Chamera1,JPNIGRIE_JNSTPP,MBMP,JPL2,JPL2,SKS_Raigarh,JSWEL_MSEB,JPL2,APL_Raigarh_TPP,RIHAND2,RKM_POWER,TRN_ENERGY,MBMP,APL_Raigarh_TPP,RIHAND1,ILFS,ITCWIND,APSEPL_FTG,TPSL_BKN2,TS1PL_BKN,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,BRPL,BRPL,TPDDL,NDMC,BYPL,PUNJAB,NDMC,NDMC,MES_Delhi,NDMC,BYPL,BRPL,NDMC,BRPL,BRPL,BYPL,BRPL,TPDDL,HARYANA,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BYPL,NDMC,TPDDL,NDMC,BRPL,TPDDL,TPDDL,BRPL,BYPL,BRPL,TPDDL,TPDDL,BYPL,TPDDL,BYPL,BYPL,BRPL,BRPL,NDMC,BYPL,DIAPL,BRPL,TPDDL,NDMC,BRPL,BRPL,NDMC,MES_Delhi,NDMC,TPDDL,BRPL,NDMC,NDMC,BRPL,TPDDL,BRPL,BRPL,ITCLH,TPDDL,MES_Delhi,BRPL,
,,South-West-North,West-North,West-North,North-North,West-North,North East-East-North,North-North,West-North,East-North,West-North,West-North,West-North,South-East-North,West-North,West-North,South-West-North,West-North,South-West-North,North-North,North-North,West-North,East-West-North,West-North,South-West-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,South-West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,North-North,North-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,South-West-North,South-West-North,North-North,North-North,North-North,
1,00:00-00:15,33.78,16.89,16.89,11.36,0,0,30,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,12.26,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.07,28.96,111,0,8.69,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.68,0,0,0,2175.3999999999996

2,00:15-00:30,33.78,16.89,16.89,11.36,0,0,30,26.32,17.37,0,26.32,0,33.78,0,0,0,0,43.92,33.78,12.26,11.9,16.89,33.78,0,0,108.45,11.89,38.61,55.92,0,0,8.77,0,144.78,0,16.89,5.79,135.13,0,0,24.85,144.78,27.03,217.07,28.96,111,0,8.69,10.62,16.89,96.52,0,135.13,74.32,0,9.65,26.32,144.78,28.96,0,8.77,0,0,33.78,135.13,0.68,0,0,0,2175.3999999999996

