Time,Block,NR/2023/15296/F,NR/2023/15306/F,NR/2023/13862/A,NR/2023/15397/D,NR/2023/12431/A,NR/2023/15415/C,NR/2023/14898/A,NR/2023/15057/F,NR/2023/15416/C,NR/2023/15411/C,NR/2023/15394/D,NR/2023/12422/A,NR/2023/12591/A,NR/2023/14745/A,NR/2023/12347/A,NR/2023/12168/A,NR/2023/15309/F,NR/2023/14895/A,NR/2023/12167/A,NR/2023/12052/A,NR/2023/13635/A,NR/2023/15303/F,NR/2023/15426/C,NR/2023/12592/A,NR/2023/14737/A,NR/2023/14746/A,NR/2023/15304/F,NR/2023/12053/A,NR/2023/15399/D,NR/2023/15425/C,NR/2023/15398/D,NR/2023/12148/A,NR/2023/15395/D,ER/2023/9521/C,Total
,,BSHP,BSHP,MANIKARAN,SJVNL,TPTCL,HPXL,MANIKARAN,ITCLH,TPDDL,GBHHPL,NVVNL,APPCPL,NVVNL,APPCPL,STATKRAFT,APPCPL,IEXL,MANIKARAN,APPCPL,KEIPL,NVVNL,BSHP,IEXL,NVVNL,NVVNL,APPCPL,BSHP,KEIPL,SJVNL,HPXL,KEIPL,GMRETL,NVVNL,HPXL,Total

,,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,UTTAR PRADESH,NA,UTTAR PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,NA,GOA,TAMIL NADU,UTTARAKHAND,JAMMU AND KASHMIR,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,NA,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,NA,MAHARASHTRA,MEGHALAYA,NA,DELHI,
,,BSHP,BSHP,TANGEDCO,BCMLB001,JPL-2,PPGCL,HP,ITCWIND,CHANJUII,GBHHPL,KAMENG,HP,JPNIGRIE_JNSTPP,GOA_Beneficiary,TANGEDCO,UTTARAKHAND,SAPU1234,HP,Meghalaya_Ben,Meghalaya_Ben,KAMENG,BSHP,MCCPL,JPNIGRIE_JNSTPP,SKS Raigarh,HP,BSHP,Meghalaya_Ben,DIKCHU,Teesta_III,LMEL MSEB,Meghalaya_Ben,SOLAPUR_SOLAR,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,
,,JHPL-DL,BMDRC,BRPL,NDMC,BRPL,BRPL,BRPL,ITCLH,TPDDL,DIAPL,TPDDL,BYPL,BRPL,BRPL,BYPL,BYPL,MES (Delhi),BRPL,BYPL,BYPL,BRPL,MAX-HPTL,BRPL,BRPL,NDMC,BRPL,MHIL,BYPL,NDMC,BRPL,BYPL,BYPL,MES (Delhi),VLSEZ,
,,North-North,North-North,South-East-North,North-North,West-North,North-North,North-North,South-West-North,North-North,North-North,North East-East-North,North-North,West-North,West-North,South-West-North,North-North,North-North,North-North,North East-East-North,North East-East-North,North East-East-North,North-North,West-East-North,West-North,West-North,North-North,North-North,North East-East-North,East-North,East-North,West-North,North East-East-North,West-North,North-East,
1,00:00-00:15,0.970000,0.930000,23.130000,0.000000,108.730000,0.000000,77.320000,0.870000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,64.760000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,278.350000,0.000000,22.230000,0,0.000000,1523.25

2,00:15-00:30,0.970000,0.930000,23.130000,0.000000,108.730000,0.000000,77.320000,0.870000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,64.760000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,259.990000,0.000000,22.230000,0,0.000000,1504.89

3,00:30-00:45,0.970000,0.930000,23.130000,0.000000,108.730000,0.000000,77.320000,0.870000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,64.760000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,225.190000,0.000000,22.230000,0,0.000000,1470.09

4,00:45-01:00,0.970000,0.930000,23.130000,0.000000,108.730000,0.000000,77.320000,0.870000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,64.760000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,188.470000,0.000000,22.230000,0,0.000000,1433.37

5,01:00-01:15,0.970000,0.930000,23.130000,0.000000,108.730000,0.000000,77.320000,0.680000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,64.760000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,151.740000,0.000000,22.230000,0,0.000000,1396.45

6,01:15-01:30,0.970000,0.930000,23.130000,0.000000,108.730000,0.000000,77.320000,0.680000,18.220000,5.050000,193.300000,36.820000,42.520000,24.160000,98.580000,46.590000,4.830000,95.680000,24.160000,63.060000,21.260000,0.910000,64.760000,85.030000,62.820000,85.920000,0.580000,36.470000,0.000000,126.610000,0.000000,22.230000,0,0.000000,1371.32

