Time,Block,NR/2023/12562/C,NR/2023/11957/F,NR/2023/11959/F,NR/2023/10944/A,NR/2023/11947/F,NR/2023/10236/A,NR/2023/10344/A,NR/2023/11961/F,NR/2023/11342/A,NR/2023/11952/F,NR/2023/11960/F,NR/2023/12567/C,NR/2023/11955/F,NR/2023/10434/A,NR/2023/11862/F,NR/2023/12553/C,NR/2023/10487/A,NR/2023/11941/F,NR/2023/10611/A,NR/2023/10229/A,NR/2023/11476/A,NR/2023/12565/C,NR/2023/11958/F,NR/2023/11330/A,NR/2023/11956/F,NR/2023/10613/A,NR/2023/11963/F,NR/2023/11642/A,NR/2023/11643/A,NR/2023/12546/D,NR/2023/12564/C,NR/2023/12563/C,NR/2023/12547/D,ER/2023/7603/C,NR/2023/10223/A,NR/2023/12545/D,NR/2023/11284/A,NR/2023/12569/C,NR/2023/12542/D,NR/2023/11962/F,Total
,,PXIL,SHPPBPL,SHPPBPL,APPCPL,HPXL,NVVNL,BYPL,SHPPBPL,IEXL,KEIPL,SHPPBPL,TPDDL,SHPPBPL,NVVNL,APPCPL,GBHHPL,TPTCL,NVVNL,APPCPL,NVVNL,IEXL,PXIL,SHPPBPL,APPCPL,SHPPBPL,APPCPL,SHPPBPL,MANIKARAN,MANIKARAN,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,HPXL,TPTCL,NVVNL,STATKRAFT,IEXL,NVVNL,SHPPBPL,Total

,,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,NA,MEGHALAYA,HIMACHAL PRADESH,TELANGANA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MANIPUR,HIMACHAL PRADESH,NA,NA,ARUNACHAL PRADESH,NA,NA,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NAGALAND,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,NA,DELHI,NA,NA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,
,,BYPL,SHPPBPL,SHPPBPL,HP,B_S_ISPAT_MH,ILFS,Meghalaya_Ben,SHPPBPL,NAVABHARAT,Meghalaya_Ben,SHPPBPL,CHANJUII,SHPPBPL,SEIL,Manipur_Ben,GBHHPL,APNRL,SKS Raigarh,Arunachal_Ben,JPNIGRIE_JNSTPP,JSPL_DCPP,BYPL,SHPPBPL,HP,SHPPBPL,Nagaland_Ben,SHPPBPL,HP,HP,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,TS1PL_BKN,BRPL,JPL,SOLAPUR_SOLAR,HP,Teesta_III,KAMENG,SHPPBPL,
,,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,ODISHA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,AMBASTL,BAL234,BMDRC,BYPL,NDMC,BRPL,BYPL,JHPL-DL,BRPL,BYPL,MAX-HPTL,TPDDL,BAL184,TPDDL,STT,DIAPL,TPDDL,NDMC,BYPL,BRPL,BRPL,ASIL_UP,AISHER,BRPL,BAL224,BYPL,UHL,BRPL,BRPL,BYPL,BYPL,BRPL,BRPL,VL-CPP 1215,BRPL,MES (Delhi),BYPL,BRPL,TPDDL,MHIL,
,,North-North,North-North,North-North,North-North,West-North,South-West-North,North East-East-North,North-North,South-West-North,North East-East-North,North-North,North-North,North-North,South-West-North,North East-East-North,North-North,East-North,West-North,North East-East-North,West-North,West-North,North-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-East,West-North,West-North,North-North,East-West-North,North East-East-North,North-North,
1,00:00-00:15,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.710000,11.770000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,134.860000,0.000000,0.460000,1057.68

2,00:15-00:30,0.000000,0.780000,0.710000,27.740000,6.740000,274.170000,12.210000,0.770000,115.600000,36.350000,0.710000,11.770000,0.360000,24.080000,2.890000,30.580000,41.420000,62.610000,9.920000,49.850000,48.160000,0.000000,0.640000,64.730000,0.400000,12.620000,0.460000,14.450000,13.000000,0,0,0,0,0.000000,24.920000,0,33.720000,105.000000,0.000000,0.460000,1027.82

