Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2025/01/13/4532,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6187,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/07/5932,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/4452,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/26072023/25122043/L_NR_2023_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/31052040/LT-31,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/08/01/3698,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/1044,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/08/01/4125,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/8128,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36
1,00:00-00:15,0,0,44.02,28.34,7.5,8.33,22.5,7.5,28.33,0,0,0,20.51,33.79,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,53.65,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,271.49,25.23,14.62,0,5.82,130.61,14.62,0,87.07,8.41,12.54,100.56,0

2,00:15-00:30,0,0,44.02,26.66,7.5,8.33,22.5,7.5,26.67,0,0,0,20.51,33.79,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,49.39,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,271.49,25.73,14.62,0,5.82,130.61,14.62,0,87.07,8.41,12.54,100.56,0

3,00:30-00:45,0,0,44.02,25,7.5,8,22.5,7.5,25,0,0,0,20.51,33.79,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,45.14,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,271.49,25.73,14.62,0,5.82,130.61,14.62,0,87.07,8.41,12.54,100.56,0

4,00:45-01:00,0,0,44.02,23.34,7.5,7.67,22.5,7.5,23.33,0,0,0,20.51,33.79,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,40.88,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,271.49,25.73,14.62,0,5.82,130.61,14.62,0,87.07,8.41,12.54,100.56,0

5,01:00-01:15,0,0,44.02,50,7.5,8.33,22.5,7.5,50,0,0,0,20.51,33.79,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,36.62,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,271.49,25.73,14.62,0,5.82,130.61,14.62,0,87.07,8.41,12.54,100.56,0

6,01:15-01:30,0,0,44.02,49.34,7.5,8.33,22.5,7.5,49.33,0,0,0,20.51,33.79,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,271.49,25.73,14.62,0,5.82,130.61,14.62,0,87.07,8.41,12.54,100.56,0

7,01:30-01:45,0,0,44.02,36.67,7.5,8,22.5,7.5,36.67,0,0,0,20.51,33.79,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,271.49,25.73,14.62,0,5.82,130.61,14.62,0,87.07,8.41,12.54,100.56,0

8,01:45-02:00,0,0,44.02,35,7.5,8,22.5,7.5,35,0,0,0,20.51,33.79,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,271.49,25.73,14.62,0,5.82,130.61,14.62,0,87.07,8.41,12.54,100.56,0

9,02:00-02:15,0,0,44.02,50,7.5,8.67,22.5,7.5,50,0,0,0,20.51,82.05,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,271.49,25.73,14.62,0,5.82,102.77,14.62,0,67.12,8.41,12.54,100.56,0

10,02:15-02:30,0,0,44.02,50,7.5,8.67,22.5,7.5,50,0,0,0,20.51,82.05,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,271.49,25.23,14.62,0,4.9,71.76,14.62,0,49.14,6.66,9.91,100.56,0

11,02:30-02:45,0,0,44.02,53.34,17.5,14,52.5,17.5,53.33,0,0,0,20.51,82.05,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,271.49,25.23,14.62,0,4.61,71.76,14.62,0,49.14,6.66,9.91,100.56,0

12,02:45-03:00,0,0,43.02,53.34,17.5,14,52.5,17.5,53.33,0,0,0,20.51,82.05,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,271.49,25.23,14.62,0,4.61,71.76,14.62,0,49.14,6.66,9.91,100.56,0

13,03:00-03:15,0,0,44.02,50,16.67,11.67,49.99,16.67,50,0,0,0,20.51,82.05,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,231.67,25.23,14.62,0,1.48,71.76,14.62,0,49.14,6.66,9.91,100.56,0

14,03:15-03:30,0,0,44.02,48.34,16.33,11.67,49.01,16.33,48.33,0,0,0,20.51,82.05,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,193.06,25.23,14.62,0,3.2,71.76,14.62,0,49.14,6.66,9.91,100.56,0

15,03:30-03:45,0,0,44.02,46.66,15.83,10.67,47.51,15.83,46.67,0,0,0,20.51,82.05,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,193.06,25.73,14.62,0,3.22,71.76,14.62,0,38.61,6.66,9.91,82.05,0

16,03:45-04:00,0,0,44.02,46.66,15.5,10.33,46.5,15.5,46.67,0,0,0,20.51,82.05,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,193.06,25.73,14.62,0,3.22,71.76,14.62,0,38.61,6.66,9.91,53.09,0

17,04:00-04:15,0,0,44.02,23.34,12.5,10,37.5,12.5,23.33,0,0,0,20.51,82.05,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,212.37,25.73,14.62,0,3.22,71.76,14.62,0,38.61,6.66,9.91,53.09,0

18,04:15-04:30,0,0,44.02,23.34,12.5,10,37.5,12.5,23.33,0,0,0,20.51,82.05,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,212.37,25.73,14.62,0,3.22,71.76,14.62,0,38.61,6.66,9.91,53.09,0

19,04:30-04:45,0,0,44.02,40,11.67,12.33,34.99,11.67,40,0,0,0,20.51,82.05,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,212.37,25.73,14.62,0,3.22,71.76,14.62,0,38.61,6.66,9.91,53.09,0

20,04:45-05:00,0,0,44.02,40,10.83,12,32.51,10.83,40,0,0,0,20.51,82.05,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,212.37,25.73,14.62,0,3.22,71.76,14.62,0,38.61,6.66,9.91,53.09,0

21,05:00-05:15,0,0,44.02,20,7.5,6.67,22.5,7.5,20,0,0,0,20.51,82.05,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,231.67,25.23,14.62,0,3.22,71.76,14.62,0,38.61,6.66,9.91,60.81,0

22,05:15-05:30,0,0,44.02,20,7.5,6.67,22.5,7.5,20,0,0,0,20.51,82.05,82.05,20.83,29.03,0,19.31,20.51,0,19.22,-0,35.2,0,41.03,15.3,0,0,0,0,0,0,0,0,0,0,231.67,25.23,14.62,0,3.22,71.76,14.62,0,38.61,6.66,9.91,71.43,0

