Block,Time,UNCHAHAR2,AURY_GF,AURY_LF,TANDA2,AURY_RF,RAPPB,DADRI_RF,DULHASTI,CHAMERA2,TANAKPUR,KOTESHWR,DADRT2,RIHAND2,ANTA_RF,UNCHAHAR3,RIHAND1,SALAL,DHAULIGNGA,URI,CHAMERA3,KHSTPP-II,MOUDA,KHARGONE-I,SEWA2,GANDHAR-RLNG,RIHAND3,VSTPS II,GADARWARA-I,SIPAT II,JHAJJAR,NJPC,GANDHAR-APM,SIMHST2,KAWAS-APM,ANTA_CRF,NAPP,SINGRAULI_HYDRO,CHAMERA1,URI2,KISHANGANGA,KHSTPP-I,TALA,KAWAS-zLIQ,UNCHAHAR4,KAWAS-NAPM,SINGRAULI,FSTPP I & II,VSTPS I,KGSU3AND4,NLCIIST2,VALLURNTECL,NNTPP,TALST2,AURY_CRF,MOUDA_II,NLCIIST1,NTPL,NLCTS2EXP,SASAN,GANDHAR-NAPM,VSTPS V,PARBATI3,RAPPC,ANTA_GF,BRBCL,SOLAPUR,KAWAS-ComGas,ANTA_LF,BSIUL,VSTPS IV,KSTPS I&II,TAPS-II,DADRI_GF,RAMPUR,LARA-I,VSTPS III,KAWAS-RLNG,KSTPS7,UNCHAHAR1,SIPAT I,KUDGI,MAPS,KGSU1AND2,DADRI_LF,TEHRI,KOLDAM,RSTPSU7,NLCEXP,KKNP,RSTPSU1TO6,GANDHAR-ComGas,KAPS,DADRI_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,42.371739,0.000000,0.000000,3.944705,0.000000,0.000000,0.000000,36.478524,29.760103,0.494210,26.868491,363.786891,118.083735,0.000000,13.693147,92.484511,34.743219,0.000000,12.777696,21.518384,142.278820,1.856470,3.393268,17.465872,0.000000,123.890121,1.861130,4.113052,1.791457,589.014749,51.252458,0.000000,1.78,0.000000,0.000000,46.054107,1.056941,40.651823,35.210761,4.075258,40.103428,0.000000,0.000000,1.190454,0.000000,141.984045,19.704735,2.294531,2.10,1.44,3.44,0.10,2.92,0.000000,3.363787,0.53,3.65,0.00,336.586388,0.000000,1.271619,0.000000,63.103607,0.000000,14.467514,1.696634,0.000000,0.000000,12.625305,2.570658,2.579105,1.313349,0.000000,1.576556,4.078779,1.877149,0.000000,1.285329,11.677387,3.393268,0.00,0.24,1.94,0.000000,49.148578,3.127313,1.87,1.67,0.00,7.67,0.000000,1.099695,0.000000,0,0,0,0,0

2,00:15-00:30,42.371739,0.000000,0.000000,3.944705,0.000000,0.000000,0.000000,36.478524,29.760103,0.494210,26.868491,363.787509,118.083735,0.000000,13.693147,92.484511,34.743219,0.000000,4.259232,21.518384,142.278820,1.856470,3.393268,17.465872,0.000000,123.890121,1.861130,4.113052,1.791457,589.014749,51.252458,0.000000,1.78,0.000000,0.000000,46.054107,1.056941,40.651823,35.210761,4.075258,40.103428,0.000000,0.000000,1.190454,0.000000,141.984045,19.704735,2.294531,2.10,1.45,3.44,0.10,2.92,0.000000,3.363787,0.56,3.65,0.00,336.586388,0.000000,1.271619,0.000000,63.103607,0.000000,14.467514,1.696634,0.000000,0.000000,12.625305,2.570658,2.579105,1.313349,0.000000,1.576556,4.078779,1.877149,0.000000,1.285329,11.677387,3.393268,0.00,0.24,1.94,0.000000,49.148578,3.127313,1.87,1.67,0.00,7.67,0.000000,1.099695,0.000000,0,0,0,0,0

3,00:30-00:45,28.897481,0.000000,0.000000,3.944705,0.000000,0.000000,0.000000,36.478524,29.760103,0.494210,26.868491,363.419723,118.083735,0.000000,13.693147,92.484511,34.743219,0.000000,4.259232,21.518384,107.309660,1.856470,3.393268,17.465872,0.000000,123.890121,1.861130,4.113052,1.791457,589.014749,42.744965,0.000000,1.78,0.000000,0.000000,46.054107,1.056941,40.651823,30.441153,4.075258,27.312711,0.000000,0.000000,1.190454,0.000000,141.984045,13.917735,2.294531,2.10,1.45,3.44,0.10,2.92,0.000000,3.363787,0.59,3.65,0.00,336.586388,0.000000,1.271619,0.000000,63.103607,0.000000,14.467514,1.696634,0.000000,0.000000,12.625305,2.570658,2.579105,1.313349,0.000000,1.313797,4.078779,1.877149,0.000000,1.285329,11.677387,3.393268,0.00,0.24,1.94,0.000000,49.148578,3.127313,1.87,1.67,0.00,7.67,0.000000,1.099695,0.000000,0,0,0,0,0

4,00:45-01:00,28.897481,0.000000,0.000000,3.944705,0.000000,0.000000,0.000000,36.478524,29.760103,0.494210,26.868491,363.420432,118.083735,0.000000,13.693147,92.484511,34.743219,0.000000,12.777696,21.518384,99.082313,1.856470,3.393268,17.465872,0.000000,123.890121,1.861130,4.113052,1.791457,589.014749,41.499966,0.000000,1.78,0.000000,0.000000,46.054107,1.056941,40.651823,30.441153,4.075258,27.312711,0.000000,0.000000,1.190454,0.000000,141.984045,13.917735,2.294531,2.10,1.45,3.44,0.10,2.92,0.000000,3.363787,0.62,3.65,0.00,336.586388,0.000000,1.271619,0.000000,63.103607,0.000000,14.467514,1.696634,0.000000,0.000000,12.625305,2.570658,2.579105,1.313349,0.000000,1.279524,4.078779,1.877149,0.000000,1.285329,11.677387,3.393268,0.00,0.24,1.94,0.000000,49.148578,1.563656,1.87,1.67,0.00,7.67,0.000000,1.099695,0.000000,0,0,0,0,0

5,01:00-01:15,28.897481,0.000000,0.000000,3.944705,0.000000,0.000000,0.000000,36.478524,29.760103,0.494210,26.868491,363.419723,118.083735,0.000000,13.693147,92.484511,34.743219,0.000000,46.851552,21.518384,99.082313,1.856470,3.393268,17.465872,0.000000,123.890121,1.861130,4.113052,1.791457,513.309408,20.749983,0.000000,1.78,0.000000,0.000000,46.054107,1.056941,40.651823,30.441153,4.075258,27.312711,0.000000,0.000000,1.190454,0.000000,141.984045,13.917735,2.294531,2.10,1.45,3.44,0.10,2.92,0.000000,3.363787,0.65,3.65,0.00,336.586388,0.000000,1.271619,0.000000,63.103607,0.000000,14.467514,1.696634,0.000000,0.000000,12.625305,2.570658,2.579105,1.313349,0.000000,0.639762,4.078779,1.877149,0.000000,1.285329,11.677387,3.393268,0.00,0.24,1.94,0.000000,49.148578,1.563656,1.87,1.67,0.00,7.67,0.000000,1.099695,0.000000,0,0,0,0,0

