Block,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25122043/GNA_MEJA_DELHI,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,NR/01102023/02122045/L_NR_2021_13,NR/30092023/26122029/SH-06,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02012046/L_NR_2021_17,NR/01102023/22052037/LT-59,WR/01102023/29112042/L_NR_2019_05,NR/01062024/30062024/R2,WR/01102023/01102023/L_NR_2022_09,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/30062024/30062024/IEX_240629_01348_1,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/01102023/15082037/GNA_NR_2012_01,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/01102023/19072037/LT-05,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/01102023/05012040/L_NR_2020_02,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,WR/01102023/24112044/L_NR_2020_07,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01102023/30042040/GNA_LT_35,NR/01042024/31072024/LT_MEJA_DELHI,NR/01062024/30062024/IEPL01,NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/30042040/GNA_LT_36,NR/01062024/30062024/JPL-BRPL(PTC)GNA,WR/01102023/01102023/L_NR_2020_06,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_16
1,00:00-00:15,31.290000,0.000000,0,62.5,0,30.870000,15,0,10.400000,0,0.000000,49.67,38.590000,144.700000,0,67.530000,100.500000,18.700000,24.120000,21.750000,115.340000,49.67,0,87.020000,0.000000,26.21,0,9.000000,0.000000,272.770000,10.590000,20.83,261.920000,30.870000,24.120000,0.000000,0.000000,11.810000,38.590000,0.000000,0.000000,0,0.000000,0.000000,20.84,0.000000,0,0,0,0,0,0

2,00:15-00:30,31.290000,0.000000,0,61.5,0,30.870000,15,0,10.400000,0,0.000000,49,38.590000,144.700000,0,67.530000,100.500000,18.700000,24.120000,21.750000,115.340000,49,0,87.020000,0.000000,26.01,0,9.000000,0.000000,272.770000,10.590000,20.5,261.920000,30.870000,24.120000,0.000000,0.000000,11.810000,38.590000,0.000000,0.000000,0,0.000000,0.000000,20.5,0.000000,0,0,0,0,0,0

3,00:30-00:45,31.290000,0.000000,0,60,0,23.250000,15,0,10.400000,0,0.000000,49,38.590000,144.700000,0,67.530000,100.500000,18.700000,24.120000,21.750000,115.340000,49,0,87.020000,0.000000,25.41,0,9.000000,0.000000,272.770000,10.590000,20,261.920000,30.870000,24.120000,0.000000,0.000000,11.810000,38.590000,0.000000,0.000000,0,0.000000,0.000000,20,0.000000,0,0,0,0,0,0

4,00:45-01:00,31.290000,0.000000,0,59,0,23.250000,15,0,10.400000,0,0.000000,47.67,38.590000,144.700000,0,67.530000,100.500000,18.700000,24.120000,21.750000,115.340000,47.67,0,87.020000,0.000000,24.81,0,9.000000,0.000000,272.770000,10.590000,19.67,261.920000,30.870000,24.120000,0.000000,0.000000,11.810000,38.590000,0.000000,0.000000,0,0.000000,0.000000,19.66,0.000000,0,0,0,0,0,0

5,01:00-01:15,31.290000,0.000000,0,57.5,0,24.300000,14.34,0,10.400000,0,0.000000,44,38.590000,0.000000,0,67.530000,71.560000,18.700000,24.120000,21.750000,115.340000,44,0,76.490000,0.000000,24.21,0,8.820000,0.000000,272.770000,10.590000,19.17,225.330000,24.300000,24.120000,0.000000,0.000000,11.810000,38.590000,0.000000,0.000000,0,0.000000,0.000000,19.16,0.000000,0,0,0,0,0,0

