Block,Time,DHAULIGNGA,KGSU1AND2,KGSU3AND4,KHSTPP-II,KOLDAM,NLCIIST1,PARBATI3,RIHAND3,TALST2,TANAKPUR,TEHRI,UNCHAHAR2,VALLURNTECL,ANTA_GF,CHAMERA1,CHAMERA3,FSTPP I & II,KISHANGANGA,KKNP,NTPL,RAPPB,RAPPD,RIHAND2,URI2,ANTA_LF,DADRI_LF,BRBCL,JHAJJAR,KUDGI,MAPS,NNTPP,TALA,UNCHAHAR3,UNCHAHAR4,AURY_GF,AURY_LF,AURY_RF,NLCIIST2,RIHAND1,SEWA2,SIMHST2,TelanganaSTPP,AURY_CRF,DADRI_CRF,DADRI_GF,DADRI_RF,KHSTPP-I,SALAL,DULHASTI,NLCTS2EXP,RAMPUR,RAPPC,SIMHST1,SINGRAULI_HYDRO,TANDA2,TEHRIPSP,URI,BSIUL,CHAMERA2,DADRT2,KKNPPU2,KOTESHWR,NAPP,NJPC,NLCEXP,PARBATI2,RSTPSU1TO6,SINGRAULI,ANTA_RF,RSTPSU7,SASAN,UNCHAHAR1,ANTA_CRF
1,00:00-00:15,42.46,0,0,98.87,8.62,0,41.62,130.84,0,11.02,66.62,45,0,0,42.15,33.94,18.91,6.96,0,0,0,24.33,125.27,37.42,0,0,24.99,667.25,0,0,0,21.25,27.69,3.22,0,0,80.78,0,98.32,18.34,0,0,0,0,0,105.39,45.53,79.01,55.38,0,5.7,65.27,0,0,5.73,0,52.99,19.56,47.12,589.38,0,30.43,24.23,175.79,0,11.25,0,74.94,51.96,0,348.75,21.65,0

2,00:15-00:30,42.46,0,0,98.87,8.62,0,41.62,130.84,0,11.02,66.62,45,0,0,42.15,33.94,18.91,6.96,0,0,0,24.33,125.27,37.42,0,0,24.99,667.25,0,0,0,21.25,27.69,3.22,0,0,80.78,0,98.32,18.34,0,0,0,0,0,105.39,45.53,79.01,55.38,0,5.7,65.27,0,0,5.73,0,52.99,19.56,47.12,589.38,0,30.43,24.23,175.79,0,11.25,0,74.94,51.96,0,348.75,21.65,0

3,00:30-00:45,42.46,0,0,98.87,8.62,0,37.17,130.84,0,11.02,66.62,45,0,0,42.15,33.94,18.91,6.96,0,0,0,24.33,125.27,31.17,0,0,24.99,667.25,0,0,0,21.25,27.69,3.22,0,0,80.78,0,98.32,18.34,0,0,0,0,0,105.39,45.53,79.01,55.38,0,5.7,65.27,0,0,5.73,0,52.99,19.56,47.12,589.38,0,30.43,24.23,175.79,0,11.25,0,74.94,51.96,0,354.38,21.65,0

4,00:45-01:00,42.46,0,0,98.87,8.62,0,37.17,130.84,0,11.02,66.62,45,0,0,42.15,33.94,18.91,6.96,0,0,0,24.33,125.27,31.17,0,0,24.99,667.25,0,0,0,21.25,27.69,3.22,0,0,80.78,0,98.32,18.34,0,0,0,0,0,105.39,45.53,79.01,55.38,0,5.7,65.27,0,0,5.73,0,48.57,19.56,47.12,589.38,0,30.43,24.23,175.79,0,11.25,0,74.94,51.96,0,354.38,21.65,0

5,01:00-01:15,42.46,0,0,98.87,8.62,0,37.17,130.84,0,11.02,66.62,45,0,0,42.15,33.94,18.91,6.96,0,0,0,24.33,125.27,37.42,0,0,24.99,667.25,0,0,0,21.25,27.69,3.22,0,0,80.78,0,98.32,18.34,0,0,0,0,0,105.39,45.53,79.01,55.38,0,5.7,65.27,0,0,5.73,0,48.57,19.56,47.12,589.38,0,30.43,24.23,175.79,0,11.25,0,74.94,51.96,0,337.5,21.65,0

6,01:15-01:30,42.46,0,0,98.87,8.62,0,37.17,130.84,0,11.02,66.62,45,0,0,42.15,33.94,18.91,6.96,0,0,0,24.33,125.27,37.42,0,0,24.99,667.25,0,0,0,21.25,27.69,3.22,0,0,80.78,0,98.32,18.34,0,0,0,0,0,105.39,45.53,79.01,55.38,0,5.7,65.27,0,0,5.73,0,48.57,19.56,47.12,589.38,0,30.43,24.23,175.79,0,11.25,0,74.94,51.96,0,337.5,21.65,0

7,01:30-01:45,42.46,0,0,98.87,8.62,0,37.17,130.84,0,11.02,66.62,45,0,0,42.15,33.94,18.91,6.96,0,0,0,24.33,125.27,31.17,0,0,24.99,667.25,0,0,0,21.46,27.69,3.22,0,0,80.78,0,98.32,18.34,0,0,0,0,0,105.39,45.53,79.01,55.38,0,5.7,65.27,0,0,5.73,0,48.57,19.56,47.12,589.38,0,30.43,24.23,175.79,0,11.25,0,74.94,51.96,0,337.5,21.65,0

8,01:45-02:00,42.46,0,0,98.87,8.62,0,37.17,130.84,0,11.02,66.62,45,0,0,42.15,33.94,18.91,6.96,0,0,0,24.33,125.27,31.17,0,0,24.99,667.25,0,0,0,21.46,27.69,3.22,0,0,80.78,0,98.32,18.34,0,0,0,0,0,105.39,45.53,79.01,55.38,0,5.7,65.27,0,0,5.73,0,48.57,19.56,47.12,589.38,0,30.43,24.23,175.79,0,11.25,0,74.94,51.96,0,337.5,21.65,0

