Column1,Block,GNA/SR/2025/02/01/7432,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/2594,NR/2025/25267/A/54208,NR/2025/25317/C,NR/2025/25266/A/54204,NR/2025/25265/A/54206,NR/2025/25315/C,NR/2025/24882/A/53990,GNA/WR/2025/01/01/8625,NR/2024/24418/A/53961,NR/30092023/26122029/SH-06,NR/2025/25070/A/54301,GNA/NR/2025/02/16/1380,NR/2025/24992/A/53988,GNA/NR/2025/02/16/1676,WR/2025/26047/A/54236,GNA/WR/2025/01/01/9606,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/11/01/4200,NR/30092023/31122025/SH-07,Total
,,APPCPL,APPCPL,NDMC,NDMC,NDMC,NDMC,NDMC,OIDLWM3_AEROCITY,SJVNL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,SJVNL,IEXL,TPTCL,ITCLH,PUNJAB,NVVNL,PTC,IEXL,PTC,APPCPL,APPCPL,DELHI,MANIKARAN,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TELANGANA_State,DELHI_UT,ANDHRA_PRADESH_STATE,DELHI_UT,NA,DELHI_UT,KARNATAKA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,
,,BYPL,BYPL,SKS_Raigarh,TRN_ENERGY,RKM_POWER,JPL2,RKM_POWER,TCSPL_BKN2,RSRPL_BKN,TCSPL_BKN2,TCSPL_BKN2,TPSL_BKN2,NSLKSLWPRTY,BYPL,ITCWIND,BAWANA_GAS,JIPL,BYPL,NSLSUGARALAND,BRPL,BRPL,BYPL,CHANJUII,BRPL,BAWANA_GAS,
,,KERALA_State,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,HIMACHAL_STATE,GOA_State,MSEB_State,DELHI_UT,MSEB_State,HARYANA_STATE,
,,KSEB,KSEB,NDMC,NDMC,NDMC,NDMC,NDMC,OIDLWM3_AEROCITY,NDMC,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,NDMC,MES_Delhi,TPC_MSEB,ITCLH,PUNJAB,NDMC,HP,MES_Delhi,HP,GOA_Beneficiary,AEML,TPDDL,AEML,HARYANA,
,,North-West-South,North-West-South,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,South-West-North,North-West,South-West-North,North-North,East-North,North-North,South-West-North,North-North,North-West,North-West,North-North,North-West,North-North,
1,00:00-00:15,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

2,00:15-00:30,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

3,00:30-00:45,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

4,00:45-01:00,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

5,01:00-01:15,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

6,01:15-01:30,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

7,01:30-01:45,0,75,8.65,8.65,23.07,23.07,23.07,0,0,0,0,0,2.88,0,0.38,26.99,17.3,7.93,6.73,23.78,0,0,1.19,0,26.99,275.68

