Block,Time,CHAMERA1,DADRT2,KHSTPP-I,KHSTPP-II,NJPC,NLCIIST1,NTPL,UNCHAHAR2,URI2,ANTA_CRF,ANTA_LF,AURY_GF,DADRI_LF,KISHANGANGA,KOLDAM,RAPPB,RAPPC,SIMHST1,TelanganaSTPP,UNCHAHAR4,DADRI_CRF,BSIUL,CHAMERA2,DHAULIGNGA,KKNPPU2,TALA,ANTA_GF,DADRI_RF,KGSU3AND4,NNTPP,PARBATI3,RIHAND1,URI,VALLURNTECL,AURY_LF,AURY_RF,FSTPP I & II,JHAJJAR,MAPS,NLCEXP,NLCIIST2,NLCTS2EXP,SIMHST2,SINGRAULI,UNCHAHAR1,KKNP,RAMPUR,SALAL,SEWA2,TALST2,AURY_CRF,KOTESHWR,KUDGI,NAPP,RIHAND3,RSTPSU7,TANAKPUR,TANDA2,UNCHAHAR3,BRBCL,CHAMERA3,DULHASTI,KGSU1AND2,RIHAND2,RSTPSU1TO6,SASAN,SINGRAULI_HYDRO,TEHRI,ANTA_RF,DADRI_GF
1,00:00-00:15,0,683.14,45.53,148.3,0,0,0,42.39,31.9,0,0,0,0,0,0,0,25.64,0,0,0,0,6.52,0,0,0,0,0,59.73,0,0,0,92,34.23,0,0,68.96,11.7,434.65,0,0,0,0,0,139.69,9.14,0,0,26.73,0,0,0,8.87,0,20.61,124.33,0,0,0,26.4,20,0,16.48,0,118.76,0,393.75,0.79,0,28.46,0

2,00:15-00:30,0,683.14,45.53,148.3,0,0,0,42.39,31.9,0,0,0,0,0,0,0,25.64,0,0,0,0,6.52,0,0,0,0,0,59.73,0,0,0,92,34.23,0,0,68.96,11.7,434.65,0,0,0,0,0,139.69,9.14,0,0,26.73,0,0,0,8.87,0,20.61,124.33,0,0,0,26.4,20,0,16.48,0,118.76,0,393.75,0.79,0,28.46,0

3,00:30-00:45,0,683.14,45.53,148.3,0,0,0,42.39,31.9,0,0,0,0,0,0,0,25.64,0,0,0,0,6.52,0,0,0,0,0,59.73,0,0,0,92,34.23,0,0,68.96,11.7,434.65,0,0,0,0,0,139.69,9.14,0,0,13.95,0,0,0,8.87,0,20.61,60.68,0,0,0,26.4,20,0,16.48,0,118.76,0,393.75,0.79,0,28.46,0

4,00:45-01:00,0,683.14,45.53,148.3,0,0,0,42.39,31.9,0,0,0,0,0,0,0,25.64,0,0,0,0,6.52,0,0,0,0,0,59.73,0,0,0,92,34.23,0,0,68.96,11.7,434.65,0,0,0,0,0,139.69,9.14,0,0,13.95,0,0,0,8.87,0,20.61,60.68,0,0,0,26.4,20,0,16.48,0,118.76,0,393.75,0.79,0,28.46,0

5,01:00-01:15,0,683.14,45.53,148.3,0,0,0,42.39,31.9,0,0,0,0,0,0,0,25.64,0,0,0,0,6.52,0,0,0,0,0,59.73,0,0,0,92,34.23,0,0,68.96,11.7,434.65,0,0,0,0,0,139.69,9.14,0,0,26.73,0,0,0,8.87,0,20.61,60.68,0,0,0,26.4,20,0,0,0,118.76,0,393.75,0.79,0,28.46,0

6,01:15-01:30,0,683.14,45.53,148.3,0,0,0,42.39,31.9,0,0,0,0,0,0,0,25.64,0,0,0,0,6.52,0,0,0,0,0,59.73,0,0,0,92,34.23,0,0,68.96,11.7,434.65,0,0,0,0,0,139.69,9.14,0,0,26.73,0,0,0,8.87,0,20.61,60.68,0,0,0,26.4,20,0,0,0,118.76,0,393.75,0.79,0,28.66,0

