Block,Time Block,RSTPSU1TO6,RAMPUR,RSTPSU7,RAPPD,RIHAND3,RAPPC,RIHAND2,RAPPB,RIHAND1,KGSU3AND4,KHSTPP-I,KUDGI,JHAJJAR,KGSU1AND2,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,CHAMERA3,BSIUL,CHAMERA2,BRBCL,CHAMERA1,KOTESHWR,FSTPP I & II,KHSTPP-II,DADRI_GF,DADRI_CRF,DADRI_RF,DADRI_LF,DHAULIGNGA,DULHASTI,DADRT2,ANTA_LF,AURY_GF,URI2,UNCHAHAR3,ANTA_GF,AURY_CRF,AURY_RF,UNCHAHAR2,URI,ANTA_CRF,ANTA_RF,AURY_LF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,NLCIIST1,NJPC,MAPS,NLCIIST2,NLCTS2EXP,NAPP,NNTPP,PARBATI3,NTPL,PARBATI2,NLCEXP,SIMHST1,TALA,SIMHST2,TEHRI,TelanganaSTPP,SALAL,SEWA2,SINGRAULI,TANDA2,SASAN,TALST2,TEHRIPSP,TANAKPUR,SINGRAULI_HYDRO,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,6.8,0,25.26,89.26,66.09,93.2,0,62.24,0,44.2,0,432.05,0,0,0,2.34,8.42,33.91,12.6,47.25,19.33,40.73,7.29,15.07,143.3,0,0,53.02,0,42.37,56.81,532.29,0,0,36.87,26.96,0,0,18.71,43.08,49.61,0,11.85,0,21.09,2.01,0,0,175.05,0,0,0,24.05,0,71.28,0,51,0,0,0,0,18.19,0,64.57,12.19,148.9,3.07,404.66,0,48.23,9.16,1.12,0,0,0,0,0

2,00:15-00:30,0,6.8,0,25.26,89.26,66.09,93.2,0,62.24,0,44.2,0,432.05,0,0,0,2.34,8.42,33.91,12.6,47.25,19.33,40.73,7.29,15.07,143.3,0,0,53.02,0,42.37,56.81,532.29,0,0,36.87,26.96,0,0,18.71,43.08,49.61,0,11.85,0,21.09,2.01,0,0,175.05,0,0,0,24.05,0,71.28,0,51,0,0,0,0,18.19,0,64.57,6.1,148.9,3.07,404.66,0,48.23,9.16,1.12,0,0,0,0,0

3,00:30-00:45,0,6.8,0,25.26,89.26,66.09,93.2,0,62.24,0,44.2,0,432.05,0,0,0,2.34,8.42,33.91,12.6,47.25,16.4,40.73,7.29,15.07,143.3,0,0,53.02,0,42.37,56.81,532.29,0,0,36.87,26.96,0,0,18.71,43.08,49.61,0,11.85,0,21.09,2.01,0,0,175.05,0,0,0,24.05,0,66.83,0,51,0,0,1.7,0,18.19,0,64.57,6.1,148.9,3.07,404.66,0,48.23,9.16,1.12,0,0,0,0,0

4,00:45-01:00,0,6.8,0,25.26,89.26,66.09,93.2,0,62.24,0,44.2,0,432.05,0,0,0,2.34,8.42,33.91,12.6,47.25,14.48,40.73,7.29,15.07,143.3,0,0,53.02,0,42.37,56.81,532.29,0,0,36.87,26.96,0,0,18.71,43.08,49.61,0,11.85,0,21.09,2.01,0,0,175.05,0,0,0,24.05,0,66.83,0,51,0,0,1.7,0,18.19,0,64.57,6.1,148.9,3.07,404.66,0,48.23,9.16,1.12,0,0,0,0,0

5,01:00-01:15,0,6.8,0,25.26,89.26,66.09,93.2,0,62.24,0,44.2,0,429.88,0,0,0,2.34,8.42,33.91,12.6,47.25,13.73,40.73,7.29,15.07,143.3,0,0,12.5,0,42.37,56.81,528.25,0,0,36.87,26.96,0,0,1.97,43.08,49.61,0,1.17,0,21.09,2.01,0,0,175.05,0,0,0,24.05,0,66.83,0,51,0,0,1.7,0,18.19,0,64.57,6.1,148.9,3.07,404.66,0,48.23,1.36,1.12,0,0,0,0,0

6,01:15-01:30,0,6.8,0,25.26,89.26,66.09,93.2,0,62.24,0,44.2,0,405.52,0,0,0,2.34,8.42,33.91,12.6,47.25,13.64,40.73,7.29,15.07,143.3,0,0,0,0,42.37,56.81,528.25,0,0,36.87,26.96,0,0,0,43.08,49.61,0,0,0,21.09,2.01,0,0,175.05,0,0,0,24.05,0,66.83,0,51,0,0,1.7,0,18.19,0,64.57,6.1,148.9,3.07,404.66,0,48.23,1.36,1.12,0,0,0,0,0

7,01:30-01:45,0,6.8,0,25.26,89.26,66.09,93.2,0,62.24,0,44.2,0,389.41,0,0,0,2.34,8.42,33.91,12.6,47.25,12.51,40.73,7.29,15.07,143.3,0,0,0,0,42.37,56.81,528.25,0,0,36.87,26.96,0,0,0,43.08,49.61,0,0,0,21.09,2.31,0,0,175.05,0,0,0,24.05,0,66.83,0,51,0,0,1.7,0,18.19,0,77.48,6.1,148.9,3.07,404.66,0,48.23,1.36,1.12,0,0,0,0,0

8,01:45-02:00,0,6.8,0,25.26,89.26,66.09,93.2,0,62.24,0,44.2,0,387.16,0,0,0,2.34,8.42,33.91,12.6,47.25,14.31,40.73,7.29,15.07,143.3,0,0,0,0,42.37,56.81,528.25,0,0,36.87,26.96,0,0,0,43.08,49.61,0,0,0,21.09,2.31,0,0,175.05,0,0,0,24.05,0,66.83,0,51,0,0,1.7,0,18.19,0,77.48,5.4,148.9,3.07,404.66,0,48.23,1.36,1.12,0,0,0,0,0

9,02:00-02:15,0,6.8,0,25.26,88.76,66.09,92.2,0,61.54,0,44.2,0,329.18,0,0,0,2.34,8.42,33.91,12.6,47.25,11.34,40.73,7.29,15.07,143.3,0,0,0,0,42.37,56.81,475.31,0,0,36.87,26.96,0,0,0,43.07,49.61,0,0,0,21.09,2.31,0,0,175.05,0,0,0,24.05,0,66.83,0,51,0,0,1.7,0,18.19,0,77.48,5.04,148.9,3.07,404.66,0,0,1.36,1.12,0,0,0,0,0

10,02:15-02:30,0,6.8,0,25.26,88.76,66.09,92.2,0,61.54,0,44.2,0,294.27,0,0,0,2.34,8.42,33.91,12.6,47.25,9.73,40.73,7.29,15.07,143.3,0,0,0,0,42.37,56.81,416.59,0,0,36.87,26.96,0,0,0,43.06,49.61,0,0,0,21.09,2.31,0,0,175.05,0,0,0,24.05,0,66.83,0,51,0,0,1.7,0,18.19,0,77.48,0,148.9,3.07,404.66,0,0,1.36,1.12,0,0,0,0,0

11,02:30-02:45,0,6.8,0,25.26,88.76,66.09,92.2,0,61.54,0,44.2,0,270.34,0,0,0,4.68,8.42,33.91,12.6,47.25,9.83,40.73,7.29,15.07,143.3,0,0,0,0,42.37,56.81,358.61,0,0,36.87,26.96,0,0,0,43.06,49.61,0,0,0,21.09,2.31,0,0,175.05,0,0,0,24.05,0,66.83,0,51,0,0,1.7,0,18.19,0,77.48,0,148.9,2.82,404.66,0,0,1.36,1.12,0,0,0,0,0

12,02:45-03:00,0,6.8,0,25.26,88.76,66.09,92.2,0,61.54,0,44.2,0,264.88,0,0,0,4.68,8.42,33.91,12.6,47.25,10.92,40.73,7.29,15.07,143.3,0,0,0,0,42.37,56.81,300.64,0,0,36.87,26.96,0,0,0,43.06,49.61,0,0,0,21.09,2.31,0,0,175.05,0,0,0,24.05,0,66.83,0,51,0,0,1.7,0,18.19,0,77.48,0,148.9,2.82,404.66,0,0,1.36,1.12,0,0,0,0,0

13,03:00-03:15,0,6.8,0,25.26,88.76,66.09,92.2,0,61.54,0,44.2,0,264.88,0,0,0,4.68,8.42,33.91,12.6,47.25,14.25,40.73,7.29,15.07,143.3,0,0,0,0,42.37,56.81,358.61,0,0,36.87,26.96,0,0,0,43.06,49.61,0,0,0,21.09,2.31,0,0,175.05,0,0,0,24.05,0,66.83,0,51,0,0,1.7,0,18.19,0,77.48,0,148.9,2.82,404.66,0,0,1.36,1.12,0,0,0,0,0

14,03:15-03:30,0,6.8,0,25.26,88.76,66.09,92.2,0,61.54,0,44.2,0,264.88,0,0,0,4.68,8.42,33.91,12.6,47.25,12.08,40.73,7.29,15.07,143.3,0,0,0,0,42.37,56.81,300.64,0,0,36.87,26.96,0,0,0,43.06,49.61,0,0,0,21.09,2.31,0,0,175.05,0,0,0,24.05,0,66.83,0,51,0,0,1.7,0,18.19,0,77.48,0,148.9,2.82,404.66,0,0,1.36,1.12,0,0,0,0,0

15,03:30-03:45,0,6.8,0,25.26,88.76,66.09,92.2,0,61.54,0,44.2,0,264.88,0,0,0,7.02,8.42,33.91,12.6,47.25,17.34,40.73,7.29,13.84,143.3,0,0,0,0,42.37,56.81,261.98,0,0,36.87,26.96,0,0,0,43.41,49.61,0,0,0,21.09,2.31,0,0,175.05,0,0,0,24.05,0,65.35,0,51,0,0,1.7,0,18.19,0,77.48,0,148.9,2.82,404.66,0,0,1.36,1.12,0,0,0,0,0

16,03:45-04:00,0,6.8,0,25.26,88.76,66.09,92.2,0,61.54,0,44.2,0,264.88,0,0,0,7.02,8.42,33.91,12.6,47.25,16.47,40.73,7.29,13.84,143.3,0,0,0,0,42.37,56.81,213.67,0,0,36.87,26.96,0,0,0,43.41,49.61,0,0,0,21.09,2.31,0,0,175.05,0,0,0,24.05,0,65.35,0,51,0,0,1.7,0,18.19,0,77.48,0,148.9,3.26,404.66,0,0,1.36,1.12,0,0,0,0,0

17,04:00-04:15,0,6.8,0,25.26,88.76,66.09,92.2,0,61.54,0,44.2,0,322.86,0,0,0,9.36,8.42,33.91,12.6,47.25,18.17,40.73,7.29,15.07,143.3,0,0,0,0,31.78,56.81,99.33,0,0,36.87,26.96,0,0,0,43.41,49.61,0,0,0,21.09,2.31,0,0,175.05,0,0,0,24.05,0,65.35,0,51,0,0,1.7,0,18.19,0,77.48,0,148.9,3.26,404.66,0,0,1.36,1.12,0,0,0,0,0

18,04:15-04:30,0,6.8,0,25.26,88.76,66.09,92.2,0,61.54,0,44.2,0,322.86,0,0,0,9.36,8.42,33.91,12.6,47.25,19.29,40.73,7.29,15.07,143.3,0,0,0,0,31.78,56.81,7.36,0,0,36.87,26.96,0,0,0,43.41,49.61,0,0,0,21.09,2.31,0,0,175.05,0,0,0,24.05,0,65.35,0,51,0,0,1.48,0,18.19,0,77.48,0,148.9,3.26,404.66,0,0,1.36,1.12,0,0,0,0,0

19,04:30-04:45,0,6.8,0,25.26,88.76,66.09,92.2,0,61.54,0,44.2,0,322.86,0,0,0,9.36,8.42,33.91,12.6,47.25,19.33,40.73,7.29,15.07,143.3,0,0,0,0,31.78,56.81,7.36,0,0,36.87,26.96,0,0,0,43.41,49.61,0,0,0,21.09,2.31,0,0,175.05,0,0,0,24.05,0,65.35,0,51,0,0,1.34,0,18.19,0,77.48,0,148.9,3.26,404.66,0,0,1.36,1.12,0,0,0,0,0

20,04:45-05:00,0,6.8,0,25.26,88.76,66.09,92.2,0,61.54,0,44.2,0,311.78,0,0,0,9.36,8.42,33.91,12.6,47.25,19.33,40.73,7.29,15.07,143.3,0,0,0,0,31.78,56.81,7.36,0,0,36.87,26.96,0,0,0,43.41,49.61,0,0,0,21.09,2.31,0,0,175.05,0,0,0,24.05,0,65.35,0,51,0,0,0.97,0,18.19,0,77.48,0,148.9,3.26,404.66,0,0,1.36,1.12,0,0,0,0,0

