Column1,Time,NR/26072023/25122043/L_NR_2023_10,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,WR/01102023/30052048/L_NR_2022_10,NR/01102023/19072037/LT-05,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/01082024/30092024/LT_MEJA_DELHI,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/31082024/SKS-Raigarh,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/15082024/APL-Raigarh,NR/01082024/31082024/jitpl,NR/01102023/31052040/LT-31,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,17.66,20.84,20.83,61,62.5,0,61,35.09,27.76,0,86.85,0,272.26,32,17.74,48.14,6.39,226.81,0,0,100.31,12.4,26.3295,0,38.52,0,48.14,192.58,11.94,0,0,0,10.61,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,17,20.66,20.67,59,62,0,59,35.09,27.76,0,86.85,0,272.26,32,17.74,48.14,6.39,226.81,0,0,100.31,12.4,26.3295,0,38.52,0,48.14,192.58,11.94,0,0,0,10.61,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,16.34,20.5,20.5,57,61.5,0,57,35.09,27.76,0,76.35,0,272.26,26.9071,17.74,48.14,6.86,210.53,0,0,100.31,12.4,26.9071,0,38.52,0,48.14,192.58,11.94,0,0,0,10.61,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,16.34,20.34,20.33,55.33,61,0,55.33,35.09,27.76,0,76.35,0,272.26,26.9071,17.74,48.14,6.86,191.27,0,0,100.31,12.4,26.9071,0,38.52,0,48.14,192.58,11.94,0,0,0,10.21,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,16,20.34,20.33,54.33,61,0,54.33,35.09,28.26,0,76.35,0,272.26,26.9071,17.74,48.14,6.86,224.91,0,0,52.96,12.4,26.9071,0,38.52,0,48.14,192.58,11.94,0,0,0,9.81,0

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,16,20.16,20.17,53.33,60.5,0,53.33,35.09,28.76,0,76.35,0,272.26,26.9071,17.74,48.14,6.86,224.91,0,0,52.96,12.4,26.9071,0,38.52,0,48.14,192.58,11.94,0,0,0,9.41,0

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,15.66,19.84,19.83,63.67,59.5,0,63.67,35.09,28.76,0,76.35,0,272.26,26.9071,17.74,48.14,6.86,224.91,0,0,52.96,12.4,26.9071,0,38.52,0,48.14,192.58,11.94,0,0,0,15.01,0

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,15.34,19.66,19.67,63.33,59,0,63.33,35.09,28.76,0,76.35,0,272.26,26.9071,17.74,48.14,6.86,224.91,0,0,52.96,12.4,26.9071,0,38.52,0,48.14,192.58,11.94,0,0,0,15.01,0

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,16,23,23,63.33,69,0,63.33,35.09,28.76,0,76.35,0,272.26,26.9071,17.47,48.14,6.58,224.91,0,0,52.96,12.4,26.9071,0,38.52,0,48.14,192.58,11.94,0,0,0,15.01,0

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,16,22.66,22.67,63.33,68,0,63.33,35.09,28.76,0,76.35,0,272.26,26.9071,17.47,48.14,6.58,224.91,0,0,52.96,12.4,26.9071,0,38.52,0,48.14,192.58,11.94,0,0,0,15.01,0

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,16,22.16,22.17,63,66.5,0,63,35.09,28.76,0,76.35,0,272.26,26.9071,17.47,48.14,6.58,224.91,0,0,52.96,12.4,26.9071,0,38.52,0,48.14,192.58,11.94,0,0,0,15.01,0

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,16.34,21.84,21.83,62.33,65.5,0,62.33,35.09,28.76,0,76.35,0,272.26,26.9071,17.47,48.14,6.58,224.91,0,0,52.96,12.4,26.9071,0,38.52,0,48.14,192.58,11.94,0,0,0,15.01,0

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,16,22.5,22.5,61.67,67.5,0,61.67,35.09,29.27,0,57.49,0,272.26,26.9071,17.47,48.14,6.3,169.12,0,0,52.96,12.4,26.9071,0,0,0,48.14,192.58,11.94,0,0,0,14.61,0

