Block,Time,KOTESHWR,DHAULIGNGA,RAMPUR,UNCHAHAR1,URI2,JHAJJAR,DADRI_GF,ANTA_LF,NAPP,ANTA_RF,CHAMERA2,KOLDAM,DADRT2,RAPPB,PARBATI3,DADRI_RF,RAPPC,NJPC,DULHASTI,TALA,FSTPP I & II,BRBCL,KHSTPP-II,KUDGI,SASAN,KHSTPP-I,UNCHAHAR2,ANTA_GF,SINGRAULI,AURY_RF,CHAMERA1,SALAL,RIHAND2,AURY_GF,UNCHAHAR3,UNCHAHAR4,AURY_LF,CHAMERA3,DADRI_CRF,KISHANGANGA,AURY_CRF,DADRI_LF,ANTA_CRF,URI,TEHRI,TANDA2,TANAKPUR,RIHAND1,SINGRAULI_HYDRO,BSIUL,SEWA2,RIHAND3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,7.635584,35.420766,0.000000,19.898208,31.251686,522.961710,0.000000,0.000000,37.424429,0.000000,38.245796,0.000000,345.001261,0.000000,18.483960,0.000000,49.749876,148.046404,47.854586,27.605424,17.559843,15.537580,142.795125,87.12,402.930000,41.130320,41.033617,0.000000,134.852080,0.000000,41.294880,82.224050,114.345000,0.000000,25.545617,0.000000,0.000000,28.474243,0.000000,0.000000,0.000000,0.000000,0.000000,45.952896,35.614656,0.000000,8.060052,89.056000,0.981446,12.688157,15.298318,119.708325,0,0,0,0,0

2,00:15-00:30,7.635584,35.420766,0.000000,19.898208,31.251686,522.961710,0.000000,0.000000,37.424429,0.000000,38.245796,0.000000,345.001261,0.000000,18.483960,0.000000,49.749876,148.046404,47.854586,27.605424,17.559843,13.382581,142.795125,84.22,402.930000,41.130320,41.033617,0.000000,134.852080,0.000000,41.294880,82.224050,114.345000,0.000000,25.545617,0.000000,0.000000,28.474243,0.000000,0.000000,0.000000,0.000000,0.000000,45.952896,35.614656,0.000000,8.060052,89.056000,0.981446,12.688157,15.298318,119.708325,0,0,0,0,0

3,00:30-00:45,7.635584,35.420766,0.000000,19.898208,31.251686,522.961710,0.000000,0.000000,37.424429,0.000000,38.245796,0.000000,345.001261,0.000000,18.483960,0.000000,49.749876,148.046404,47.854586,27.605424,17.559843,12.861149,142.795125,82.28,402.930000,41.130320,41.033617,0.000000,134.852080,0.000000,41.294880,82.224050,114.345000,0.000000,25.545617,0.000000,0.000000,28.474243,0.000000,0.000000,0.000000,0.000000,0.000000,45.952896,26.710992,0.000000,8.060052,89.056000,0.981446,12.688157,15.298318,119.708325,0,0,0,0,0

4,00:45-01:00,7.635584,35.420766,0.000000,19.898208,31.251686,522.961710,0.000000,0.000000,37.424429,0.000000,38.245796,0.000000,345.001261,0.000000,18.483960,0.000000,49.749876,148.046404,47.854586,27.605424,17.559843,13.587919,142.795125,79.38,402.930000,41.130320,41.033617,0.000000,134.852080,0.000000,41.294880,82.224050,114.345000,0.000000,25.545617,0.000000,0.000000,28.474243,0.000000,0.000000,0.000000,0.000000,0.000000,45.952896,26.710992,0.000000,8.060052,89.056000,0.981446,12.688157,15.298318,119.708325,0,0,0,0,0

5,01:00-01:15,5.726688,35.420766,0.000000,17.795250,31.251686,455.201710,0.000000,0.000000,37.424429,0.000000,38.245796,0.000000,308.468707,0.000000,18.483960,0.000000,49.749876,148.046404,47.854586,27.605424,17.559843,13.826421,142.795125,77.44,402.930000,41.130320,41.033617,0.000000,134.852080,0.000000,41.294880,82.224050,114.345000,0.000000,21.722608,0.000000,0.000000,28.474243,0.000000,0.000000,0.000000,0.000000,0.000000,45.952896,26.710992,0.000000,8.060052,89.056000,0.981446,12.688157,15.298318,119.708325,0,0,0,0,0

6,01:15-01:30,5.726688,35.420766,0.000000,14.355868,31.251686,455.201710,0.000000,0.000000,37.424429,0.000000,38.245796,0.000000,302.016000,0.000000,18.483960,0.000000,49.749876,148.046404,47.854586,27.605424,17.559843,12.074396,142.795125,76.47,402.930000,41.130320,41.033617,0.000000,134.852080,0.000000,41.294880,82.224050,114.345000,0.000000,17.710629,0.000000,0.000000,28.474243,0.000000,0.000000,0.000000,0.000000,0.000000,45.952896,17.807328,0.000000,8.060052,89.056000,0.981446,12.688157,15.298318,119.708325,0,0,0,0,0

7,01:30-01:45,5.726688,35.420766,0.000000,13.796130,31.251686,416.481710,0.000000,0.000000,37.424429,0.000000,38.245796,0.000000,304.920000,0.000000,18.483960,0.000000,49.749876,148.046404,47.854586,27.605424,17.559843,12.274206,142.795125,74.54,402.930000,41.130320,41.033617,0.000000,134.852080,0.000000,41.294880,82.224050,114.345000,0.000000,17.708205,0.000000,0.000000,28.474243,0.000000,0.000000,0.000000,0.000000,0.000000,45.952896,17.807328,0.000000,12.028078,89.056000,0.981446,12.688157,15.298318,119.708325,0,0,0,0,0

8,01:45-02:00,5.726688,35.420766,0.000000,13.796130,31.251686,416.481710,0.000000,0.000000,37.424429,0.000000,38.245796,0.000000,271.717600,0.000000,18.483960,0.000000,49.749876,148.046404,47.854586,27.605424,17.559843,13.146841,142.795125,72.60,402.930000,41.130320,41.033617,0.000000,134.852080,0.000000,41.294880,82.224050,114.345000,0.000000,17.708205,0.000000,0.000000,28.474243,0.000000,0.000000,0.000000,0.000000,0.000000,50.227584,17.807328,0.000000,12.028078,89.056000,0.981446,12.688157,15.298318,119.708325,0,0,0,0,0

9,02:00-02:15,5.726688,35.420766,0.000000,7.860160,31.251686,333.096362,0.000000,0.000000,37.424429,0.000000,38.245796,0.000000,203.969751,0.000000,18.483960,0.000000,49.749876,148.046404,47.854586,27.605424,17.559617,13.931650,142.795125,71.63,402.930000,33.713891,33.828980,0.000000,134.852080,0.000000,41.294880,82.224050,114.345000,0.000000,12.611875,0.000000,0.000000,28.474243,0.000000,0.000000,0.000000,0.000000,0.000000,50.227584,17.807328,0.000000,12.028078,89.056000,0.981446,12.688157,15.298318,119.708325,0,0,0,0,0

