Column1,Time,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/3428,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/WR/2024/10/15/7089,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/12/01/1475,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1899,NR/01102023/30042040/GNA_LT_36,GNA/SR/2024/12/01/6968,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/2197,L_NR_2019_19,GNA/WR/2024/11/01/4200,NR/01102023/06022042/L_NR_2012_02,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,2.2,25.9,8.63,25.23,0,0,53.72,1.01,0,1.61,25.9,63.91,0,8.63,0,150,1.45,134.18,0,0,95.13,31.71,25.9,0,0,96.24,0,0,0,0,0,0,0,13.67,9,0,0,7.34,19.99,0,6.67,6.67,13.66,0

2,00:15-00:30,2.2,25.9,8.63,25.23,0,0,53.72,1.01,0,1.61,25.9,63.91,0,8.63,0,150,1.45,134.18,0,0,95.13,31.71,25.9,0,0,96.24,0,0,0,0,0,0,0,13.33,8.8,0,0,7,19.99,0,6.67,6.67,13.34,0

3,00:30-00:45,2.2,25.9,8.63,25.23,0,0,53.72,1.01,0,1.61,25.9,63.91,0,8.63,0,150,1.45,134.18,0,0,95.13,31.71,25.9,0,0,96.24,0,0,0,0,0,0,0,14,8.6,0,0,6.66,19.99,0,6.67,6.67,14,0

4,00:45-01:00,2.2,25.9,8.63,25.23,0,0,53.72,1.01,0,1.61,25.9,63.91,0,8.63,0,150,1.45,134.18,0,0,95.13,31.71,25.9,0,0,96.24,0,0,0,0,0,0,0,14,8.4,0,0,6.66,19.99,0,6.67,6.67,14,0

5,01:00-01:15,2.2,25.9,8.63,25.23,0,0,53.72,1.01,0,1.61,25.9,57.27,0,8.63,0,150,1.37,134.18,0,0,95.13,31.71,25.9,0,0,96.24,0,0,0,0,0,0,0,14,8.2,0,0,6.66,19.99,0,6.67,6.67,14,0

6,01:15-01:30,2.2,25.9,8.63,25.23,0,0,53.72,1.01,0,1.61,25.9,57.27,0,8.63,0,150,1.37,134.18,0,0,95.13,31.71,25.9,0,0,96.24,0,0,0,0,0,0,0,14.33,8,0,0,7,19.99,0,6.67,6.67,14.34,0

