Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/3469,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/2563,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/8036,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/4651,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,GNARE/SR/2025/01/13/4532,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,GNA/NR/2025/03/01/9482,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2025/01/01/9606,GNA/NR/2025/03/01/5143,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,GNA/SR/2025/03/01/7500,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/6891,GNARE/NR/2024/12/20/3668
1,00:00-00:15,0,0,0,0,29.77,1.31,271.38,6.72,0,23.04,26.99,23.04,1.38,259.72,23.04,5.76,0,0,7,0,11.5,0,11.5,0,40.66,0,0,0,40.67,34.5,8.34,17.28,0,0,190.26,26.99,0,0,0,65.86,200,3.95,99.99,1.44,42,63.42,0

2,00:15-00:30,0,0,0,0,29.77,1.31,271.38,6.72,0,23.04,25.16,23.04,1.38,259.72,23.04,5.76,0,0,7,0,11.83,0,11.83,0,41,0,0,0,41,35.51,8.66,17.28,0,0,190.26,25.16,0,0,0,65.86,200,3.95,99.99,1.44,42,63.42,0

3,00:30-00:45,0,0,0,0,30.28,1.31,271.38,6.72,0,23.04,25.16,23.04,1.38,259.72,23.04,5.76,0,0,7,0,12.33,0,12.33,0,49.34,0,0,0,49.33,37.01,9.34,17.28,0,0,190.26,25.16,0,0,0,65.86,200,3.95,99.99,1.44,42,63.42,0

4,00:45-01:00,0,0,0,0,30.78,1.31,271.38,6.72,0,23.04,25.16,23.04,1.38,259.72,23.04,5.76,0,0,7,0,12.67,0,12.67,0,48.66,0,0,0,48.67,37.99,10.34,17.28,0,0,190.26,25.16,0,0,0,65.86,200,3.95,99.99,1.44,42,63.42,0

5,01:00-01:15,0,0,0,0,30.78,1.31,271.38,6.72,0,23.04,25.16,23.04,1.38,259.72,23.04,5.76,0,0,7,0,12.67,0,12.67,0,48.34,0,0,0,48.33,37.99,8.66,17.28,0,0,190.26,25.16,0,0,0,65.86,200,3.68,99.99,1.44,42,63.42,0

6,01:15-01:30,0,0,0,0,30.78,1.31,271.38,6.72,0,23.04,25.16,23.04,1.38,259.72,23.04,5.76,0,0,7,0,12.83,0,12.83,0,47.66,0,0,0,47.67,38.51,9,17.28,0,0,190.26,25.16,0,0,0,65.86,200,3.68,99.99,1.44,42,63.42,0

