Time,Block,NR/2024/19142/C,NR/2024/18855/A/12445,NR/2024/18919/A/12538,NR/2024/19132/C,NR/2024/19138/C,NR/2024/18936/A/12026,NR/2024/18986/A/12549,NR/2024/19081/A/12504,NR/2024/18977/A/12211,NR/2024/18996/A/12542,NR/2024/18935/A/12024,NR/2024/19030/A/12361,NR/2024/19024/A/12232,NR/2024/18934/A/12023,NR/2024/19120/C,NR/2024/18976/A/12037,NR/2024/18978/A/12038,NR/2024/19075/A/12507,NR/2024/19043/A/12351,NR/2024/19141/C,SR/2024/12749/C,Total
,,NVVNL,GMRETL,APPCPL,IEXL,GMRETL,PXIL,ITCLH,IEXL,PXIL,PTC,PXIL,IEXL,DIAPL,PXIL,BYPL,PXIL,PXIL,IEXL,IEXL,NVVNL,HPXL,Total

,,NA,RAJASTHAN,NAGALAND,MAHARASHTRA,RAJASTHAN,TAMIL NADU,ANDHRA PRADESH,DELHI,NA,MAHARASHTRA,TAMIL NADU,NA,HIMACHAL PRADESH,TAMIL NADU,NA,ODISHA,TAMIL NADU,ODISHA,NA,NA,DELHI,
,,KAMENG,RUVNL,Nagaland_Ben,SWPL,RUVNL,SAKTHISUGARSLTD,ITCWIND,EDWPCL12,MEENAKSHI,JPL_DHULE,SAKTHISUGARS_ELMTN,JHABUA_IPP,GBHHPL,SAKTHISUGRAR_TN,SASAN,FACORPOWER,BIRLACARBONTN,VSL,MBMP,SOLAPUR_SOLAR,BYPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,TAMIL NADU,
,,TPDDL,BYPL,BYPL,BRPL,BYPL,BRPL,ITCLH,UPPCL,BRPL,BRPL,BRPL,BRPL,DIAPL,BRPL,BYPL,BRPL,BRPL,BRPL,BRPL,MES (Delhi),TANGEDCO,
,,North East-East-North,North-North,North East-East-North,West-East-North,North-North,South-West-North,South-West-North,North-North,South-West-North,West-North,South-West-North,West-East-North,North-North,South-West-North,West-North,East-West-North,South-West-North,East-North,West-East-North,West-North,North-East-South,
1,00:00-00:15,45.070000,66.910000,9.670000,0.000000,0.000000,0.000000,0.630000,2.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00,129.12

2,00:15-00:30,45.070000,66.910000,9.670000,0.000000,0.000000,0.000000,0.630000,2.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00,129.12

3,00:30-00:45,45.070000,66.910000,9.670000,0.000000,0.000000,0.000000,0.630000,2.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00,129.12

4,00:45-01:00,45.070000,66.910000,9.670000,0.000000,0.000000,0.000000,0.630000,2.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00,129.12

5,01:00-01:15,45.070000,66.910000,9.670000,0.000000,0.000000,0.000000,0.630000,2.000000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.00,129.12

