Column1,Block,NR/2024/24052/A/47108,NR/2024/24520/C,NR/2024/24097/A/46956,NER/2024/2770/A/47170,NR/2024/24146/A/46952,NR/2024/23952/A/46945,WR/2024/25054/A/47176,NR/2024/24088/A/47200,NR/2024/24051/A/47110,NR/2024/24060/A/47161,NR/2024/24519/C,NR/2024/24517/C,NR/2024/24225/A/47223,NR/2024/24227/A/47224,NR/2024/24071/A/47106,NR/2024/24518/C,NR/2024/24224/A/47222,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1899,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/2197,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1475,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1766,NR/30092023/26122029/SH-06,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1599,Total
,,IEXL,SJVNL,IEXL,APPCPL,IEXL,ITCLH,APPCPL,IEXL,IEXL,NVVNL,SJVNL,SJVNL,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,IEXL,SJVNL,ABLWM1_AEROCITY,NDMC,NDMC,KSEB,NDMC,PTC,NDMC,DELHI,NDMC,PUNJAB,APPCPL,MANIKARAN,BAWANA_GAS,PTC,
,,TELANGANA_State,KARNATAKA_STATE,KARNATAKA_STATE,DELHI_UT,MP_State,ANDHRA_PRADESH_STATE,DELHI_UT,KARNATAKA_STATE,TELANGANA_State,NA,KARNATAKA_STATE,NA,NA,NA,NA,NA,NA,NA,NA,DELHI_UT,NA,DELHI_UT,NA,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NSLKSLWPRTY,RENUKASUGARSATHANI,NSLSUGARALAND,BYPL,NSPLN_MP,ITCWIND,BRPL,NSLSTUNGBHDRA,NSLKSLWPRTY,JITPL,RENUKASUGARSHAVALGA,TPSL_BKN2,TESPL_BKN2,TESPL_BKN2,TESPL_BKN2,RSRPL_BKN,TESPL_BKN2,SKS_Raigarh,TRN_ENERGY,BYPL,RKM_POWER,BYPL,JPL2,CHANJUII,RKM_POWER,BAWANA_GAS,BYPL,BRPL,BAWANA_GAS,BRPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,Manipur_State,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,MSEB_State,MSEB_State,HARYANA_STATE,HIMACHAL_STATE,
,,MES_Delhi,NDMC,MES_Delhi,Manipur_Ben,MES_Delhi,ITCLH,GOA_Beneficiary,MES_Delhi,MES_Delhi,NDMC,NDMC,NDMC,OIDLWM2_AEROCITY,OIDLWM3_AEROCITY,MES_Delhi,NDMC,ABLWM1_AEROCITY,NDMC,NDMC,KSEB,NDMC,HP,NDMC,TPDDL,NDMC,PUNJAB,AEML,AEML,HARYANA,HP,
,,South-West-North,South-West-North,South-West-North,North-East-North East,West-North,South-West-North,North-West,South-West-North,South-West-North,East-North,South-West-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,North-West-South,West-North,North-North,West-North,North-North,West-North,North-North,North-West,North-West,North-North,North-North,
1,00:00-00:15,2.89,0,7.7,0,5.77,0.43,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.37

2,00:15-00:30,2.89,0,7.7,0,5.77,0.43,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.37

3,00:30-00:45,2.89,0,7.7,0,5.77,0.43,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.37

4,00:45-01:00,2.89,0,7.7,0,5.77,0.43,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.37

5,01:00-01:15,2.89,0,7.7,0,5.77,0.38,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.32000000000005

6,01:15-01:30,2.89,0,7.7,0,5.77,0.38,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.32000000000005

7,01:30-01:45,2.89,0,7.7,0,5.77,0.38,0,0.96,0,17.32,0,0,0,0,0,0,0,8.74,8.74,80,22.3,47.56,26.23,1.74,22.3,0,0,0,0,142.69,395.32000000000005

