Block,Time Block,KGSU1AND2,DHAULIGNGA,DULHASTI,JHAJJAR,FSTPP I & II,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,NLCEXP,PARBATI3,NLCIIST1,NAPP,NJPC,MAPS,KUDGI,KOTESHWR,DADRT2,KOLDAM,KKNPPU2,KKNP,BSIUL,CHAMERA3,CHAMERA2,BRBCL,CHAMERA1,KISHANGANGA,KHSTPP-II,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,KHSTPP-I,KGSU3AND4,UNCHAHAR2,URI,TALA,VALLURNTECL,TEHRI,UNCHAHAR1,UNCHAHAR4,TANDA2,URI2,UNCHAHAR3,TALST2,TANAKPUR,TelanganaSTPP,RSTPSU7,SASAN,SALAL,RSTPSU1TO6,RIHAND3,SIMHST1,SINGRAULI_HYDRO,SIMHST2,SEWA2,SINGRAULI,RAMPUR,RIHAND1,RAPPC,RAPPB,RIHAND2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,15.82,396.63,11.23,0,0,0,0,0,0,0,19.78,0,0,0,8.51,585.46,0,0,0,6.26,0,0,16.88,0,0,142.34,0,0,0,0,0,0,0,0,0,0,0,0,43.7,0,34.67,32.85,0,0,0,7.51,0,0,30.62,20.82,0,0,0,0,377.92,25.66,0,119.33,0,0.76,0,0,134.07,0,88.3,24.61,0,113.99,0,0,0,0,0

2,00:15-00:30,0,0,15.82,396.63,11.23,0,0,0,0,0,0,0,19.78,0,0,0,8.51,585.46,0,0,0,6.26,0,0,17.31,0,0,142.34,0,0,0,0,0,0,0,0,0,0,0,0,43.7,0,33.23,32.85,0,0,0,7.51,0,0,30.62,20.82,0,0,0,0,377.92,25.66,0,119.33,0,0.76,0,0,134.07,0,88.3,24.61,0,113.99,0,0,0,0,0

3,00:30-00:45,0,0,15.82,416.75,11.23,0,0,0,0,0,0,0,19.78,0,0,0,8.51,617.45,0,0,0,6.26,0,0,16.63,0,0,142.34,0,0,0,0,0,0,0,0,0,0,0,0,43.7,0,38.32,32.85,0,0,0,8.77,0,0,30.62,24.98,0,0,0,0,377.92,13.39,0,58.24,0,0.76,0,0,134.07,0,88.3,24.61,0,113.99,0,0,0,0,0

4,00:45-01:00,0,0,15.82,417.18,11.23,0,0,0,0,0,0,0,19.78,0,0,0,8.51,602.08,0,0,0,6.26,0,0,14.83,0,0,142.34,0,0,0,0,0,0,0,0,0,0,0,0,43.7,0,40.68,32.85,0,0,0,8.77,0,0,30.62,25.34,0,0,0,0,377.92,13.39,0,58.24,0,0.76,0,0,134.07,0,88.3,24.61,0,113.99,0,0,0,0,0

5,01:00-01:15,0,0,0,417.18,11.23,0,0,0,0,0,0,0,19.78,0,0,0,8.51,550.11,0,0,0,6.26,0,0,12.21,0,0,142.34,0,0,0,0,0,0,0,0,0,0,0,0,43.7,0,40.69,32.85,0,0,0,8.77,0,0,30.62,25.34,0,0,0,0,377.92,25.66,0,58.24,0,0.76,0,0,134.07,0,88.3,24.61,0,113.99,0,0,0,0,0

6,01:15-01:30,0,0,0,417.18,11.23,0,0,0,0,0,0,0,19.78,0,0,0,8.51,532.29,0,0,0,6.26,0,0,12.67,0,0,142.34,0,0,0,0,0,0,0,0,0,0,0,0,43.7,0,40.69,32.85,0,0,0,8.77,0,0,30.62,25.34,0,0,0,0,377.92,25.66,0,58.24,0,0.76,0,0,134.07,0,88.3,24.61,0,113.99,0,0,0,0,0

7,01:30-01:45,0,0,0,417.18,11.23,0,0,0,0,0,0,0,19.78,0,0,0,8.51,518.16,0,0,0,6.26,0,0,11.86,0,0,142.34,0,0,0,0,0,0,0,0,0,0,0,0,43.7,0,40.69,32.85,0,0,0,8.77,0,0,30.62,25.34,0,0,0,0,377.92,25.66,0,58.24,0,0.76,0,0,134.07,0,88.3,24.61,0,113.99,0,0,0,0,0

8,01:45-02:00,0,0,0,417.18,11.23,0,0,0,0,0,0,0,19.78,0,0,0,8.51,504.8,0,0,0,6.26,0,0,11.75,0,0,142.34,0,0,0,0,0,0,0,0,0,0,0,0,43.7,0,40.69,32.85,0,0,0,8.77,0,0,30.62,25.34,0,0,0,0,377.92,25.66,0,58.24,0,0.76,0,0,134.07,0,88.3,24.61,0,113.99,0,0,0,0,0

