Block,Time Block,DADRT2,CHAMERA3,CHAMERA2,KHSTPP-I,KKNPPU2,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-II,KKNP,KISHANGANGA,DHAULIGNGA,DULHASTI,FSTPP I & II,TelanganaSTPP,UNCHAHAR1,VALLURNTECL,ANTA_CRF,UNCHAHAR4,ANTA_RF,AURY_LF,DADRI_CRF,URI2,UNCHAHAR3,ANTA_LF,AURY_GF,UNCHAHAR2,ANTA_GF,URI,AURY_CRF,AURY_RF,DADRI_LF,DADRI_GF,DADRI_RF,BSIUL,BRBCL,CHAMERA1,KOLDAM,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,TALST2,SIMHST2,RSTPSU7,TANAKPUR,SALAL,SEWA2,SINGRAULI,TALA,RIHAND3,TEHRI,TANDA2,SASAN,RIHAND2,RIHAND1,RAPPB,RAPPC,RAMPUR,PARBATI3,NJPC,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,NLCEXP,KUDGI,KOTESHWR,MAPS,NAPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,249.11,0,0,37.49,0,346.12,0,0,81.96,0,0,0,15.85,13.28,0,12.15,0,0,0,0,0,0,18.11,14.19,0,0,22.75,0,25.48,0,0,0,0,0,0,19.24,0,0,0,0,0,0,0,0,8.01,1.35,0,121.16,0,119.57,0,0,394.93,114.22,88.49,0,51.87,0,0,0,0,0,0,0,0,0,0,8.53,0,41.8,0,0,0,0,0

2,00:15-00:30,191.4,0,0,37.49,0,346.12,0,0,81.96,0,0,0,15.85,12.56,0,11.09,0,0,0,0,0,0,18.11,14.19,0,0,22.75,0,25.48,0,0,0,0,0,0,17.27,0,0,0,0,0,0,0,0,8.01,1.35,0,121.16,0,119.57,0,0,394.93,114.22,88.49,0,51.87,0,0,0,0,0,0,0,0,0,0,8.53,0,41.8,0,0,0,0,0

3,00:30-00:45,191.4,0,0,28.97,0,346.12,0,0,63.28,0,0,0,15.85,9.63,0,11.09,0,0,0,0,0,0,18.11,14.19,0,0,22.75,0,2.65,0,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,8.01,1.35,0,110.68,0,119.57,0,0,394.93,114.22,88.49,0,51.87,0,0,0,0,0,0,0,0,0,0,8.53,0,41.8,0,0,0,0,0

4,00:45-01:00,191.4,0,0,28.97,0,346.12,0,0,63.28,0,0,0,15.85,9.63,0,11.09,0,0,0,0,0,0,18.11,14.19,0,0,22.75,0,1.28,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,8.01,1.35,0,110.68,0,119.57,0,0,394.93,114.22,88.49,0,51.87,0,0,0,0,0,0,0,0,0,0,8.53,0,41.8,0,0,0,0,0

5,01:00-01:15,191.4,0,0,28.97,0,347.45,0,0,63.28,0,0,0,0,9.63,0,11.09,0,0,0,0,0,0,18.11,14.19,0,0,22.75,0,1.28,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0,3.7,1.35,0,110.68,0,119.57,0,0,394.93,114.22,88.49,0,51.87,0,0,0,0,0,0,0,0,0,0,8.53,0,41.8,0,0,0,0,0

6,01:15-01:30,191.4,0,0,28.97,0,347.45,0,0,63.28,0,0,0,0,9.63,0,11.09,0,0,0,0,0,0,18.11,14.19,0,0,22.75,0,1.28,0,0,0,0,0,0,15.86,0,0,0,0,0,0,0,0,2.22,1.35,0,110.68,0,119.57,0,0,394.93,114.22,88.49,0,51.87,0,0,0,0,0,0,0,0,0,0,8.53,0,41.8,0,0,0,0,0

7,01:30-01:45,191.4,0,0,28.97,0,347.45,0,0,63.28,0,0,0,0,9.63,0,11.09,0,0,0,0,0,0,4.27,14.19,0,0,22.75,0,1.28,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,2.22,1.35,0,110.68,0,119.57,0,0,394.93,114.22,88.49,0,51.87,0,0,0,0,0,0,0,0,0,0,8.53,0,41.8,0,0,0,0,0

8,01:45-02:00,191.4,0,0,28.97,0,347.45,0,0,63.28,0,0,0,0,9.63,0,11.09,0,0,0,0,0,0,4.27,14.19,0,0,22.75,0,1.28,0,0,0,0,0,0,14.35,0,0,0,0,0,0,0,0,2.22,1.35,0,110.68,0,119.57,0,0,394.93,114.22,88.49,0,51.87,0,0,0,0,0,0,0,0,0,0,8.53,0,41.8,0,0,0,0,0

9,02:00-02:15,191.4,0,0,28.97,0,347.45,0,0,63.28,0,0,0,0,9.63,0,11.09,0,0,0,0,0,0,4.27,14.19,0,0,22.75,0,1.28,0,0,0,0,0,0,13.03,0,0,0,0,0,0,0,0,2.22,1.35,0,121.16,0,119.57,0,0,394.93,114.22,88.49,0,51.87,0,0,0,0,0,0,0,0,0,0,8.53,0,41.8,0,0,0,0,0

10,02:15-02:30,191.4,0,0,28.97,0,347.45,0,0,63.28,0,0,0,0,9.63,0,11.09,0,0,0,0,0,0,4.27,14.19,0,0,22.75,0,1.28,0,0,0,0,0,0,13.92,0,0,0,0,0,0,0,0,2.22,1.35,0,121.16,0,119.57,0,0,394.93,114.22,88.49,0,51.87,0,0,0,0,0,0,0,0,0,0,8.53,0,41.8,0,0,0,0,0

11,02:30-02:45,191.4,0,0,28.97,0,347.45,0,0,63.28,0,0,0,0,9.63,0,11.09,0,0,0,0,0,0,4.27,14.19,0,0,22.75,0,1.28,0,0,0,0,0,0,13.37,0,0,0,0,0,0,0,0,2.22,1.35,0,121.16,0,119.57,0,0,394.93,114.22,88.49,0,51.87,0,0,0,0,0,0,0,0,0,0,8.53,0,41.8,0,0,0,0,0

12,02:45-03:00,191.4,0,0,28.97,0,347.45,0,0,63.28,0,0,0,0,9.63,0,11.09,0,0,0,0,0,0,4.27,14.19,0,0,22.75,0,1.28,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,0,2.22,1.35,0,121.16,0,119.57,0,0,394.93,114.22,88.49,0,51.87,0,0,0,0,0,0,0,0,0,0,8.53,0,41.8,0,0,0,0,0

13,03:00-03:15,191.4,0,0,28.97,0,347.45,0,0,63.28,0,0,0,0,9.63,0,11.09,0,0,0,0,0,0,4.27,14.19,0,0,22.75,0,1.28,0,0,0,0,0,0,15.78,0,0,0,0,0,0,0,0,2.22,1.35,0,121.16,0,119.57,0,0,394.93,114.22,88.49,0,51.87,0,0,0,0,0,0,0,0,0,0,8.53,0,41.8,0,0,0,0,0

