Block,Time,NJPC,PARBATI3,BSIUL,URI2,RAPPB,SEWA2,DADRI_RF,KISHANGANGA,DADRI_GF,TANAKPUR,AURY_CRF,ANTA_GF,AURY_GF,DHAULIGNGA,RIHAND2,UNCHAHAR1,AURY_LF,RAPPC,TANDA2,DADRI_CRF,KOTESHWR,CHAMERA1,ANTA_LF,URI,RIHAND1,ANTA_RF,NAPP,SALAL,CHAMERA3,UNCHAHAR4,KOLDAM,RIHAND3,UNCHAHAR3,ANTA_CRF,AURY_RF,UNCHAHAR2,CHAMERA2,DULHASTI,JHAJJAR,DADRT2,KUDGI,BRBCL,DADRI_LF,SINGRAULI,RAMPUR,SINGRAULI_HYDRO,SASAN,TALA,KHSTPP-I,KHSTPP-II,TEHRI,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,147.939346,0.000000,6.307570,29.927875,0.000000,15.287256,0.000000,0.000000,0.000000,11.028091,0.000000,0.000000,0.000000,35.395151,114.257476,9.389581,0.000000,49.345649,0.000000,0.000000,25.751461,41.265018,0.000000,40.580170,88.991600,0.000000,37.190750,83.176192,28.112454,0.000000,0.000000,119.616318,25.527144,0.000000,0.000000,41.003944,38.218139,47.819981,631.792092,516.712272,43.53,14.509493,0.000000,121.533933,0.000000,0.925222,402.638625,27.016689,32.860583,141.471397,43.876728,12.100923,0,0,0,0,0

2,00:15-00:30,147.939346,0.000000,6.307570,29.927875,0.000000,15.287256,0.000000,0.000000,0.000000,11.028091,0.000000,0.000000,0.000000,35.395151,114.257476,9.389581,0.000000,49.345649,0.000000,0.000000,25.751461,41.265018,0.000000,40.580170,88.991600,0.000000,37.190750,83.176192,28.112454,0.000000,0.000000,119.616318,25.527144,0.000000,0.000000,41.003944,38.218139,47.819981,631.792092,613.461618,43.53,14.509493,0.000000,121.533990,0.000000,0.925222,402.638625,27.016689,12.670963,141.471397,43.876728,12.100923,0,0,0,0,0

3,00:30-00:45,147.939346,0.000000,6.307570,29.927875,0.000000,10.212134,0.000000,0.000000,0.000000,11.028091,0.000000,0.000000,0.000000,35.395151,114.257476,8.837253,0.000000,49.345649,0.000000,0.000000,25.751461,41.265018,0.000000,40.580170,88.991600,0.000000,37.190750,83.176192,28.112454,0.000000,0.000000,119.616318,25.527144,0.000000,0.000000,41.003944,38.218139,47.819981,631.792092,663.935332,43.53,14.509493,0.000000,121.533990,0.000000,0.925222,402.638625,27.016689,5.969208,141.471397,43.876728,12.100923,0,0,0,0,0

4,00:45-01:00,147.939346,0.000000,6.307570,29.927875,0.000000,10.212134,0.000000,0.000000,0.000000,11.028091,0.000000,0.000000,0.000000,35.395151,114.257476,8.837253,0.000000,49.345649,0.000000,0.000000,25.751461,41.265018,0.000000,40.580170,88.991600,0.000000,37.190750,83.176192,28.112454,0.000000,0.000000,119.616318,25.527144,0.000000,0.000000,41.003944,38.218139,47.819981,631.792092,663.935332,43.53,14.509493,0.000000,121.533990,0.000000,0.925222,402.638625,27.016689,5.969208,141.471397,43.876728,12.100923,0,0,0,0,0

5,01:00-01:15,147.939346,0.000000,6.307570,29.927875,0.000000,10.212134,0.000000,0.000000,0.000000,11.028091,0.000000,0.000000,0.000000,35.395151,114.257476,8.837253,0.000000,49.345649,0.000000,0.000000,25.751461,41.265018,0.000000,40.580170,88.991600,0.000000,37.190750,83.176192,28.112454,0.000000,0.000000,119.616318,25.527144,0.000000,0.000000,41.003944,38.218139,47.819981,631.792092,663.935332,43.53,14.509493,0.000000,121.533990,0.000000,0.925222,402.638625,27.016689,5.969208,141.471397,43.876728,10.084102,0,0,0,0,0

