Block,Time Block,TALA,RIHAND2,SASAN,RSTPSU1TO6,SIMHST1,RSTPSU7,SINGRAULI_HYDRO,TANDA2,SIMHST2,SALAL,SEWA2,TALST2,RIHAND3,SINGRAULI,TANAKPUR,TelanganaSTPP,ANTA_GF,UNCHAHAR2,URI,TEHRI,ANTA_CRF,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,ANTA_LF,UNCHAHAR3,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_LF,AURY_RF,DADRI_LF,ANTA_RF,DADRI_GF,AURY_GF,CHAMERA1,CHAMERA2,DADRT2,CHAMERA3,BSIUL,BRBCL,RAPPB,RIHAND1,RAMPUR,RAPPC,KHSTPP-I,KISHANGANGA,KHSTPP-II,KOTESHWR,KKNP,KKNPPU2,KOLDAM,KUDGI,MAPS,NLCIIST1,NLCIIST2,NJPC,NLCTS2EXP,NNTPP,PARBATI3,NAPP,NTPL,NLCEXP,KGSU1AND2,KGSU3AND4,DHAULIGNGA,JHAJJAR,FSTPP I & II,DULHASTI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,10.41,117.78,399.97,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,10.61,0,0,41.02,48.71,51.44,0,15.33,0,0.86,34.31,0,0,0,0,0,0,0,0,0,0,0,13.6,10.83,585.08,10.34,0,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,335.12,20.13,52.77,0,0,0,0,0

2,00:15-00:30,10.41,117.78,402.81,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,10.61,0,0,41.02,48.71,51.44,0,14.93,0,0.86,34.31,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,0,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,309.23,20.13,52.77,0,0,0,0,0

3,00:30-00:45,10.41,117.78,402.81,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,10.61,0,0,41.02,16.03,51.44,0,14.93,0,0.86,34.31,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,0,14.52,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,279.97,20.13,52.77,0,0,0,0,0

4,00:45-01:00,10.41,117.78,402.81,0,0,0,0,1.49,0,49.48,0,0,123.48,103.27,10.61,0,0,41.02,10.68,34.3,0,14.93,0,0.86,34.31,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,0,14.21,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,241.26,20.13,52.77,0,0,0,0,0

5,01:00-01:15,10.41,117.78,402.81,0,0,0,0,1.49,0,76.82,0,0,123.48,103.27,10.61,0,0,35.21,10.68,34.3,0,14.93,0,0.86,34.31,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,0,13.42,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,147.39,20.13,52.77,0,0,0,0,0

6,01:15-01:30,10.41,117.78,402.81,0,0,0,0,1.49,0,76.82,0,0,123.48,103.27,10.61,0,0,30.6,10.68,34.3,0,14.93,0,0.86,34.31,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,0,12.62,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,20.13,52.77,0,0,0,0,0

7,01:30-01:45,10.41,117.78,402.81,0,0,0,0,1.49,0,76.82,0,0,123.48,103.27,10.61,0,0,30.6,10.68,34.3,0,14.93,0,0.86,11.44,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,0,12.83,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,17.92,52.77,0,0,0,0,0

8,01:45-02:00,10.41,117.78,402.81,0,0,0,0,1.49,0,76.82,0,0,123.48,103.27,10.61,0,0,30.6,10.68,34.3,0,14.93,0,0.86,10.02,0,0,0,0,0,0,0,0,0,0,0,0,10.83,585.08,10.34,0,12.81,0,45.8,2.36,58.15,43.47,0,87.31,9.35,0,0,3.88,0,0,0,0,110.13,0,0,0,43.54,0,0,0,0,38.9,111.38,17.92,52.77,0,0,0,0,0

