Block,Time,L_NR_2022_09,L_NR_2022_08,L_NR_2020_05,L_NR_2019_19,L_NR_2018_61,L_NR_2022_10,L_NR_2020_07,L_NR_2019_05,L_NR_2019_06,LT-59,LT-36,SH-07,LT-05,L_NR_2012_07,LT-31,L_NR_2019_11,L_NR_2012_01,L_NR_2023_04,L_NR_2012_04,L_NR_2012_02,SH-06,L_NR_2020_02,LT-35,L_NR_2020_06,L_NR_2021_13,L_NR_2021_12,L_NR_2021_14,L_NR_2021_16,L_NR_2019_07,L_NR_2021_15,L_NR_2021_17
1,00:00-00:15,41.3,15.05,56.81,0,43.49,41.3,18.93,0,0,10.330000,0.000000,0.000000,115.890000,74.030000,0.000000,8.680000,101.130000,29.930000,271.520000,261.240000,0.000000,2.780000,0.000000,18.94,0,0,0,0,0,0,0

2,00:15-00:30,41.26,15.22,56.57,0,43.4,41.26,18.85,0,0,10.330000,0.000000,0.000000,115.890000,74.030000,0.000000,8.680000,101.130000,29.930000,271.520000,261.240000,0.000000,2.780000,0.000000,18.86,0,0,0,0,0,0,0

3,00:30-00:45,50.17,15.38,55.99,0,43.42,50.17,18.67,0,0,10.330000,0.000000,26.070000,115.890000,74.030000,0.000000,8.680000,101.130000,29.930000,271.520000,261.240000,26.070000,2.780000,0.000000,18.66,0,0,0,0,0,0,0

4,00:45-01:00,50,15.64,55.9,0,43.49,50,18.64,0,0,10.330000,0.000000,26.070000,115.890000,74.030000,0.000000,8.680000,101.130000,29.930000,271.520000,261.240000,26.070000,2.780000,0.000000,18.63,0,0,0,0,0,0,0

5,01:00-01:15,49.97,15.67,55.38,0,43.45,49.97,18.45,0,0,10.330000,0.000000,26.070000,115.890000,64.870000,0.000000,8.680000,101.130000,29.930000,271.520000,261.240000,26.070000,2.780000,0.000000,18.46,0,0,0,0,0,0,0

6,01:15-01:30,49.92,15.83,55.4,0,43.44,49.92,18.46,0,0,10.330000,0.000000,26.070000,115.890000,64.870000,0.000000,8.680000,101.130000,29.930000,271.520000,261.240000,26.070000,2.780000,0.000000,18.47,0,0,0,0,0,0,0

7,01:30-01:45,49.99,15.8,55.38,0,43.48,49.99,18.45,0,0,10.330000,0.000000,16.410000,115.890000,64.870000,0.000000,8.680000,101.130000,28.960000,271.520000,261.240000,16.410000,2.780000,0.000000,18.46,0,0,0,0,0,0,0

8,01:45-02:00,49.91,15.8,55.19,0,43.43,49.91,18.39,0,0,10.330000,0.000000,16.410000,115.890000,64.870000,0.000000,8.680000,101.130000,29.930000,271.520000,261.240000,16.410000,2.780000,0.000000,18.4,0,0,0,0,0,0,0

9,02:00-02:15,49.9,15.67,54.72,0,43.46,49.9,18.23,0,0,10.330000,0.000000,26.070000,115.890000,64.870000,0.000000,8.370000,101.130000,28.960000,271.520000,261.240000,26.070000,2.780000,0.000000,18.24,0,0,0,0,0,0,0

10,02:15-02:30,49.86,15.27,53.72,0,43.46,49.86,17.89,0,0,10.330000,0.000000,26.070000,115.890000,64.870000,0.000000,8.370000,101.130000,28.960000,271.520000,261.240000,26.070000,2.780000,0.000000,17.91,0,0,0,0,0,0,0

11,02:30-02:45,49.42,15.33,52.56,0,43.38,49.42,17.53,0,0,10.330000,0.000000,26.070000,115.890000,64.870000,0.000000,8.370000,77.230000,29.930000,271.520000,261.240000,26.070000,2.780000,0.000000,17.52,0,0,0,0,0,0,0

12,02:45-03:00,49.2,15.35,51.75,0,43.47,49.2,17.25,0,0,10.330000,0.000000,26.070000,115.890000,64.870000,0.000000,8.370000,77.230000,28.960000,271.520000,261.240000,26.070000,2.780000,0.000000,17.25,0,0,0,0,0,0,0

13,03:00-03:15,48.44,15.27,62.83,0,43.46,48.44,20.94,0,0,10.330000,0.000000,26.070000,115.890000,74.030000,0.000000,8.140000,101.130000,29.930000,271.520000,261.240000,26.070000,2.780000,0.000000,20.94,0,0,0,0,0,0,0

14,03:15-03:30,47.63,15.26,61.66,0,43.49,47.63,20.56,0,0,10.330000,0.000000,26.070000,115.890000,74.030000,0.000000,8.140000,101.130000,29.930000,271.520000,261.240000,26.070000,2.780000,0.000000,20.55,0,0,0,0,0,0,0

15,03:30-03:45,39.23,14.77,60.82,0,43.38,39.23,20.28,0,0,10.330000,0.000000,26.070000,115.890000,74.030000,0.000000,8.140000,101.130000,29.930000,271.520000,261.240000,26.070000,2.780000,0.000000,20.27,0,0,0,0,0,0,0

16,03:45-04:00,38.98,14.44,59.1,0,43.46,38.98,19.71,0,0,10.330000,0.000000,26.070000,115.890000,74.030000,0.000000,8.140000,101.130000,29.930000,271.520000,261.240000,26.070000,2.780000,0.000000,19.7,0,0,0,0,0,0,0

