Column1,Time,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/4802,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,GNA/NR/2024/09/01/6020,NR/01102023/05012040/L_NR_2020_02,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/2171,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/09/01/7196,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/09/01/7908,NR/01102023/06022042/L_NR_2012_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7119,NR/01082024/30092024/LT_MEJA_DELHI,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07
1,00:00-00:15,100.9,0,32.93,82.32,26.91,0,82.32,4.94,273.84,20.58,12.95,41.16,1.94,0,41.16,26.91,0,18.4,262.95,28.26,66.42,0,87.36,12.47,24.8,7.97,0,0,0,47.5,40.33,11.66,0,15.84,0,40.33,15.83,0,0,0,0,31.41,0,0,0

2,00:15-00:30,100.9,0,32.93,82.32,26.91,0,82.32,4.94,273.84,20.58,12.95,41.16,1.94,0,41.16,26.91,0,18.4,171.08,28.26,66.42,0,57.82,12.47,24.8,7.97,0,0,0,46.5,40.67,11.66,0,15.5,0,40.67,15.5,0,0,0,0,30.21,0,0,0

3,00:30-00:45,100.9,0,32.93,82.32,26.91,0,82.32,4.94,273.84,20.58,12.95,41.16,1.94,0,41.16,26.91,0,18.4,171.08,28.76,66.42,0,76.79,12.47,24.8,7.97,0,0,0,46,40.67,11.34,0,15.34,0,40.67,15.33,0,0,0,0,33.01,0,0,0

4,00:45-01:00,100.9,0,32.93,82.32,26.91,0,82.32,4.94,273.84,20.58,12.95,41.16,1.94,0,41.16,26.91,0,18.4,190.45,28.76,66.42,0,76.79,12.47,24.8,7.97,0,0,0,45.5,41,11.34,0,15.16,0,41,15.17,0,0,0,0,32.61,0,0,0

5,01:00-01:15,82.32,0,32.93,82.32,26.91,0,82.32,4.94,273.84,20.58,12.95,41.16,1.94,0,41.16,26.91,0,18.4,171.08,28.76,66.42,0,76.79,12.47,24.8,7.97,0,0,0,45,41.67,11.34,0,15,0,41.67,15,0,0,0,0,32.21,0,0,0

