Block,Time,CHAMERA1,KHSTPP-II,NLCIIST1,NLCTS2EXP,NNTPP,RSTPSU1TO6,UNCHAHAR4,DADRI_GF,KHSTPP-I,NLCEXP,RIHAND1,SASAN,SINGRAULI,TelanganaSTPP,CHAMERA3,PARBATI3,SINGRAULI_HYDRO,TALA,UNCHAHAR2,URI2,CHAMERA2,KKNPPU2,KOTESHWR,MAPS,TALST2,VALLURNTECL,AURY_CRF,JHAJJAR,KKNP,NLCIIST2,NTPL,RAMPUR,RAPPC,RIHAND3,TANAKPUR,TANDA2,TEHRI,UNCHAHAR3,URI,AURY_GF,BRBCL,KGSU1AND2,KGSU3AND4,KISHANGANGA,RIHAND2,RSTPSU7,SIMHST2,ANTA_CRF,ANTA_GF,ANTA_RF,DADRI_LF,DADRI_RF,DADRT2,DULHASTI,FSTPP I & II,KOLDAM,KUDGI,RAPPB,SIMHST1,UNCHAHAR1,ANTA_LF,DADRI_CRF,BSIUL,DHAULIGNGA,NAPP,NJPC,SALAL,SEWA2,AURY_LF,AURY_RF
1,00:00-00:15,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,139.68,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,10.25,0,0,26.39,36.43,0,20,0,0,0,118.76,0,0,28.88,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,12.78,0,0,0

2,00:15-00:30,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,139.68,0,0,0,0,0,21.19,18.83,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,10.25,0,0,26.39,36.43,0,20,0,0,0,118.76,0,0,28.88,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

3,00:30-00:45,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,139.68,0,0,0,0,0,21.19,18.83,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,10.25,0,0,26.39,2.76,0,20,0,0,0,118.76,0,0,28.88,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

4,00:45-01:00,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,139.68,0,0,0,0,0,21.19,18.83,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,28.88,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

5,01:00-01:15,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,139.68,0,0,0,0,0,21.19,18.83,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,28.88,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

6,01:15-01:30,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,139.68,0,0,0,0,0,21.19,18.83,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,28.88,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

7,01:30-01:45,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,139.68,0,0,0,0,0,21.19,18.83,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.07,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,28.88,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

8,01:45-02:00,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,139.68,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.07,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,28.88,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

9,02:00-02:15,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,139.68,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,10.25,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,29.09,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

10,02:15-02:30,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,139.68,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,10.25,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,29.09,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

11,02:30-02:45,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,139.68,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,29.09,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

12,02:45-03:00,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,139.68,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,29.09,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

13,03:00-03:15,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,139.68,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,29.09,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

14,03:15-03:30,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,139.68,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,29.09,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

15,03:30-03:45,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,133.5,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,29.09,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

16,03:45-04:00,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,133.5,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,29.09,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

17,04:00-04:15,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,133.5,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,29.09,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

18,04:15-04:30,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,133.5,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,29.09,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

19,04:30-04:45,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,133.5,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,0,26.39,1.44,0,20,0,0,0,118.76,0,0,29.09,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,0,1.4,0,0,0

20,04:45-05:00,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,133.5,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,0,26.39,1.99,0,20,0,0,0,118.76,0,0,29.09,0,0,22.47,0,683.14,3.85,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,21.3,1.4,0,0,0

21,05:00-05:15,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,133.5,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,15.56,26.39,36.43,0,20,0,0,0,118.76,0,0,29.09,0,0,22.47,0,683.14,14.12,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,44.99,1.4,0,0,0

22,05:15-05:30,0,98.87,0,0,0,0,0,0,45.22,0,92,275.62,133.5,0,0,0,0,0,21.19,4.57,1.87,0,8.87,0,0,0,70.59,654.31,0,0,0,0,53.43,124.32,3.45,0,31.13,26.39,36.43,0,20,0,0,0,118.76,0,0,29.09,0,0,22.47,0,683.14,14.12,20.8,0,0,0,0,20.56,0,66.85,0,0,42.93,68.18,1.4,0,0,0

