Block,Time,DHAULIGNGA,KGSU1AND2,KKNP,KKNPPU2,NAPP,RIHAND1,RIHAND2,RIHAND3,RSTPSU1TO6,ANTA_RF,AURY_GF,KOLDAM,SASAN,VALLURNTECL,ANTA_CRF,AURY_LF,CHAMERA2,FSTPP I & II,KHSTPP-I,MAPS,RAMPUR,SEWA2,SIMHST1,TALA,ANTA_GF,ANTA_LF,BRBCL,CHAMERA1,KGSU3AND4,NJPC,NLCEXP,NNTPP,RAPPB,RSTPSU7,TALST2,TANDA2,DADRI_RF,PARBATI3,TANAKPUR,TEHRI,TelanganaSTPP,UNCHAHAR1,KHSTPP-II,KOTESHWR,KUDGI,NTPL,RAPPC,SALAL,UNCHAHAR4,URI,DADRI_LF,CHAMERA3,DADRT2,JHAJJAR,NLCIIST1,NLCIIST2,NLCTS2EXP,SINGRAULI,SINGRAULI_HYDRO,UNCHAHAR2,URI2,BSIUL,DULHASTI,KISHANGANGA,SIMHST2,UNCHAHAR3,AURY_CRF,AURY_RF,DADRI_CRF,DADRI_GF
1,00:00-00:15,40.4,0,0,0,45.1,47.33,121.71,127.6,0,48.13,0,4.01,344.25,0,0,0,44.22,14.3,46.4,0,3.54,17.37,0,10.29,0,0,20.01,42.15,0,167.1,0,0,0,0,0,0.08,97.42,3.51,13,70.87,0,20.96,98.87,38.64,0,0,60.23,83.67,1.62,49.13,0,32.08,686.07,413.81,0,0,0,109.06,0,43.71,36.35,0,53.79,1.44,0,27.05,0,78.06,0,0

2,00:15-00:30,40.4,0,0,0,45.1,47.33,121.71,127.6,0,48.13,0,4.01,344.25,0,0,0,44.22,14.3,46.4,0,3.54,17.37,0,10.29,0,0,20.01,42.15,0,167.1,0,0,0,0,0,0.08,97.42,3.51,13,70.87,0,20.96,98.87,38.64,0,0,60.23,83.67,1.62,49.13,0,32.08,686.07,413.81,0,0,0,109.06,0,43.71,36.35,0,53.79,1.44,0,27.05,0,78.06,0,0

3,00:30-00:45,40.4,0,0,0,45.1,47.33,121.71,127.6,0,48.13,0,4.01,344.25,0,0,0,44.22,14.3,46.4,0,3.54,17.37,0,10.44,0,0,20.01,42.15,0,167.1,0,0,0,0,0,0.08,97.42,3.51,13,70.87,0,20.96,98.87,38.64,0,0,60.23,83.67,1.62,44.16,0,21.37,686.07,413.81,0,0,0,109.06,0,43.71,36.35,0,53.79,1.44,0,27.05,0,78.06,0,0

4,00:45-01:00,40.4,0,0,0,45.1,47.33,121.71,127.6,0,48.13,0,4.01,344.25,0,0,0,44.22,14.3,46.4,0,3.54,17.37,0,10.44,0,0,20.01,42.15,0,167.1,0,0,0,0,0,0.08,97.42,17.56,13,70.87,0,20.96,98.87,38.64,0,0,60.23,83.67,1.62,44.16,0,21.37,686.07,413.81,0,0,0,109.06,0,43.71,36.35,0,53.79,1.44,0,27.05,0,78.06,0,0

5,01:00-01:15,40.4,0,0,0,45.1,47.33,121.71,127.6,0,48.13,0,4.01,344.25,0,0,0,44.22,14.3,44.92,0,3.54,11.58,0,10.44,0,0,20.01,42.15,0,167.1,0,0,0,0,0,0.07,97.42,17.56,13,70.87,0,20.96,98.87,38.64,0,0,60.23,83.67,1.62,44.16,0,21.37,686.07,413.81,0,0,0,109.06,0,43.71,36.35,0,53.79,1.44,0,27.05,0,78.06,0,0

6,01:15-01:30,40.4,0,0,0,45.1,47.33,121.71,127.6,0,48.13,0,4.01,344.25,0,0,0,29.48,14.3,44.92,0,3.54,11.58,0,10.44,0,0,20.01,42.15,0,167.1,0,0,0,0,0,0.07,97.42,17.56,13,70.87,0,20.96,98.87,38.64,0,0,60.23,83.67,1.62,44.16,0,21.37,686.07,413.81,0,0,0,109.06,0,43.71,36.35,0,53.79,1.44,0,27.05,0,78.06,0,0

