Column1,Block,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/8036,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/2563,NR/01082024/19092033/Chanju/TPDDL/01082024,GNARE/NR/2024/12/20/3668,GNA/NR/2025/03/01/6891,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/4651,NR/2025/25159/A/57044,NR/2025/25513/A/57053,NR/2025/25568/C,NR/2025/25569/C,GNA/NR/2025/03/01/5143,GNA/NR/2025/03/01/9482,GNA/WR/2025/03/01/6406,GNA/WR/2025/01/01/9606,WR/2025/26426/A/57144,WR/2025/26427/A/57145,WR/2025/26582/A/57392,WR/2025/26499/A/57396,Total
,,NDMC,NDMC,BAWANA_GAS,TPTCL,NDMC,PUNJAB,NDMC,DELHI,SECI_Trader,PTC,APPCPL,NDMC,ITCLH,IEXL,SJVNL,SJVNL,PTC,NDMC,APPCPL,APPCPL,KEIPL,KEIPL,APPCPL,APPCPL,
,,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,HIMACHAL_STATE,NA,DELHI_UT,DELHI_UT,NA,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,JPL2,RKM_POWER,BAWANA_GAS,BYPL,TRN_ENERGY,BAWANA_GAS,RKM_POWER,CHANJUII,APSEPL_FTG,BYPL,BYPL,SKS_Raigarh,ITCWIND,TPDDL,TPSL_BKN2,RSRPL_BKN,BRPL,JIPL,BRPL,BYPL,BYPL,BRPL,BRPL,BRPL,
,,DELHI_UT,DELHI_UT,HARYANA_STATE,MSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,KERALA_State,DELHI_UT,DELHI_UT,JK_and_LADAKH_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,MSEB_State,MSEB_State,CSEB_State,CSEB_State,CSEB_State,MSEB_State,
,,NDMC,NDMC,HARYANA,TPC_MSEB,NDMC,PUNJAB,NDMC,TPDDL,TPDDL,HP,KSEB,NDMC,ITCLH,JK_LADAKH,NDMC,NDMC,HP,NDMC,AEML,AEML,CSEB_Beneficiary,CSEB_Beneficiary,CSEB_Beneficiary,AEML,
,,West-North,West-North,North-North,North-West,West-North,North-North,West-North,North-North,North-North,North-North,North-West-South,West-North,South-West-North,North-North,North-North,North-North,North-North,East-North,North-West,North-West,North-West,North-West,North-West,North-West,
1,00:00-00:15,23.04,23.04,26.99,0,6.72,26.99,23.04,5.51,0,55.49,200,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,886.3399999999999

2,00:15-00:30,23.04,23.04,26.99,0,6.72,26.99,23.04,5.51,0,55.49,200,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,886.3399999999999

3,00:30-00:45,23.04,23.04,26.99,0,6.72,26.99,23.04,5.51,0,55.49,200,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,886.3399999999999

4,00:45-01:00,23.04,23.04,26.99,0,6.72,26.99,23.04,5.51,0,55.49,200,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,886.3399999999999

5,01:00-01:15,23.04,23.04,26.99,0,6.72,26.99,23.04,5.51,0,55.49,200,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,886.3399999999999

6,01:15-01:30,23.04,23.04,26.99,0,6.72,26.99,23.04,5.51,0,55.49,200,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,886.3399999999999

7,01:30-01:45,23.04,23.04,26.99,0,6.72,26.99,23.04,5.51,0,55.49,200,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,886.3399999999999

8,01:45-02:00,23.04,23.04,26.99,0,6.72,26.99,23.04,5.51,0,55.49,200,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,886.3399999999999

9,02:00-02:15,23.04,23.04,26.99,0,6.72,26.99,23.04,5.42,0,55.49,0,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.25

10,02:15-02:30,23.04,23.04,26.99,0,6.72,26.99,23.04,5.42,0,55.49,0,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.25

11,02:30-02:45,23.04,23.04,26.99,0,6.72,26.99,23.04,5.42,0,55.49,0,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.25

12,02:45-03:00,23.04,23.04,26.99,0,6.72,26.99,23.04,5.42,0,55.49,0,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.25

13,03:00-03:15,23.04,23.04,26.99,0,6.72,26.99,23.04,5.42,0,55.49,0,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.25

14,03:15-03:30,23.04,23.04,26.99,0,6.72,26.99,23.04,5.42,0,55.49,0,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.25

15,03:30-03:45,23.04,23.04,26.99,0,6.72,26.99,23.04,5.42,0,55.49,0,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.25

16,03:45-04:00,23.04,23.04,26.99,0,6.72,26.99,23.04,5.42,0,55.49,0,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.25

17,04:00-04:15,23.04,23.04,26.99,0,6.72,26.99,23.04,5.33,0,55.49,0,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.1600000000001

18,04:15-04:30,23.04,23.04,26.99,0,6.72,26.99,23.04,5.33,0,55.49,0,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.1600000000001

19,04:30-04:45,23.04,23.04,26.99,0,6.72,26.99,23.04,5.33,0,55.49,0,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.1600000000001

20,04:45-05:00,23.04,23.04,26.99,0,6.72,26.99,23.04,5.33,0,55.49,0,5.76,0.43,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.1600000000001

21,05:00-05:15,23.04,23.04,26.99,0,6.72,26.99,23.04,5.33,0,55.49,0,5.76,0.48,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.21

22,05:15-05:30,23.04,23.04,26.99,0,6.72,26.99,23.04,5.33,0,55.49,0,5.76,0.48,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.21

23,05:30-05:45,23.04,23.04,26.99,0,6.72,26.99,23.04,5.33,0,55.49,0,5.76,0.48,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.21

24,05:45-06:00,23.04,23.04,26.99,0,6.72,26.99,23.04,5.33,0,55.49,0,5.76,0.48,0,0,0,166.48,17.28,42,0,167.57,48,48,0,686.21

25,06:00-06:15,36.48,36.48,32,0,6.72,32,36.48,5.24,0,0,0,5.76,0.53,0,0,0,0,17.28,42,0,167.57,0,0,0,418.53999999999996

26,06:15-06:30,36.48,36.48,32,0,6.72,32,36.48,5.24,0,0,0,5.76,0.53,0,0,0,0,17.28,42,0,167.57,0,0,0,418.53999999999996

27,06:30-06:45,36.48,36.48,31.54,0,6.72,31.54,36.48,5.24,0.41,0,0,5.76,0.53,0,0,0,0,17.28,42,0,167.57,0,0,0,418.03

28,06:45-07:00,36.48,36.48,31.54,0,6.72,31.54,36.48,5.24,0.47,0,0,5.76,0.53,0,0,0,0,17.28,42,0,167.57,0,0,0,418.09

29,07:00-07:15,36.48,36.48,31.54,0,6.72,31.54,36.48,5.24,0.18,0,0,5.76,0.58,0,0,0,0,17.28,0,0,167.57,0,0,40.32,416.17

30,07:15-07:30,36.48,36.48,31.54,0,6.72,31.54,36.48,5.24,1.94,0,0,5.76,0.58,0,0,0,0,17.28,0,0,167.57,0,0,40.32,417.93

