Block,Time,NR/01102023/06022042/L_NR_2012_07,NR/01012024/31032024/ ChanjuII,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/01022024/15022024/HP-39,NR/26072023/25122043/L_NR_2023_10,NR/01102023/19072037/LT-05,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/01102023/13082046/L_NR_2021_12,NR/01022024/15022024/HP-37,NR/01022024/29022024/79,NR/13022024/13022024/IEX_240212_06348,NR/01102023/30042040/GNA_LT_36,NR/01102023/08032047/L_NR_2021_14,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/26072023/31072042/L_NR_2023_07,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/01102023/31102037/L_NR_2019_11,NR/01022024/15022024/HP-44,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,NR/20122023/29022024/IEX_LDC_231218_00501,WR/01102023/16072048/L_NR_2022_08,NR/01102023/25122043/GNA_MEJA_DELHI,SR/01102023/07102043/L_NR_2018_61,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/01102023/L_NR_2020_06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/31052040/LT-31,NR/01022024/15022024/HP-35,NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,NR/22102023/11042047/L_NR_2021_16,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/15082037/GNA_NR_2012_01,NR/13022024/13022024/HPX-TAMCTG-120224-06162,WR/01102023/31032046/L_NR_2020_05,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01022024/29022024/SJVN010224NR1468,NR/01022024/29022024/SJVN010224NR1469,NR/01102023/14082046/L_NR_2021_16
1,00:00-00:15,43.320000,1.740000,25.220000,139.580000,6.740000,0.000000,0,33.020000,6.740000,96.260000,23.100000,5.780000,0,152.550000,0.000000,0.000000,0.000000,0,4.810000,0,18.290000,0.990000,8.090000,0.000000,25.890000,0.690000,0,0,43.42,8.180000,13.05,0.000000,26.01,18.02,0,18.01,1.390000,0.000000,18.950000,231.020000,0,0,43.42,0,0,11.550000,52.940000,0.000000,54.05,0,0,0,0,0

2,00:15-00:30,43.320000,1.740000,25.220000,110.700000,6.740000,0.000000,0,33.020000,6.740000,96.260000,23.100000,5.780000,0,152.550000,0.000000,0.000000,0.000000,0,4.810000,0,18.290000,0.990000,8.090000,0.000000,25.890000,0.690000,0,0,42.91,8.180000,12.73,0.000000,25.01,17.43,0,17.44,1.390000,0.000000,18.950000,192.520000,0,0,42.91,0,0,11.550000,52.940000,0.000000,52.3,0,0,0,0,0

3,00:30-00:45,43.320000,1.740000,25.220000,110.700000,6.740000,0.000000,0,33.020000,6.740000,96.260000,23.100000,5.780000,0,152.550000,0.000000,0.000000,0.000000,0,4.810000,0,18.290000,0.990000,8.090000,0.000000,25.890000,0.690000,0,0,41.9,8.180000,12.73,0.000000,24.01,16.81,0,16.8,1.390000,0.000000,18.950000,148.890000,0,0,41.9,0,0,11.550000,52.940000,0.000000,50.42,0,0,0,0,0

4,00:45-01:00,43.320000,1.740000,25.220000,110.700000,6.740000,0.000000,0,33.020000,6.740000,96.260000,23.100000,5.780000,0,152.550000,0.000000,0.000000,0.000000,0,4.810000,0,18.290000,0.990000,8.090000,0.000000,25.890000,0.690000,0,0,41.7,8.180000,12.79,0.000000,23.21,16.31,0,16.32,1.390000,0.000000,18.950000,148.890000,0,0,41.7,0,0,11.550000,52.940000,0.000000,48.94,0,0,0,0,0

5,01:00-01:15,43.320000,1.660000,25.990000,83.750000,6.740000,0.000000,0,35.100000,6.740000,96.260000,23.100000,5.780000,0,152.550000,0.000000,0.000000,0.000000,0,4.810000,0,18.290000,0.950000,8.090000,0.000000,30.800000,0.690000,0,0,40.87,8.180000,12.39,0.000000,22.41,16.16,0,16.15,1.390000,0.000000,18.950000,148.890000,0,0,40.87,0,0,11.550000,52.940000,0.000000,48.47,0,0,0,0,0

6,01:15-01:30,43.320000,1.660000,25.990000,63.560000,6.740000,0.000000,0,35.100000,6.740000,96.260000,23.100000,5.780000,0,152.550000,0.000000,0.000000,0.000000,0,4.810000,0,18.290000,0.950000,8.090000,0.000000,30.800000,0.690000,0,0,40.38,8.180000,12.01,0.000000,21.61,15.99,0,16,1.390000,0.000000,18.950000,148.890000,0,0,40.38,0,0,11.550000,52.940000,0.000000,47.97,0,0,0,0,0

7,01:30-01:45,43.320000,1.660000,25.780000,63.560000,6.740000,0.000000,0,35.100000,6.740000,96.260000,23.100000,5.780000,0,152.550000,0.000000,0.000000,0.000000,0,4.810000,0,18.290000,0.950000,8.090000,0.000000,25.780000,0.690000,0,0,44.54,8.180000,11.73,0.000000,20,18.34,0,18.33,1.390000,0.000000,18.950000,148.890000,0,0,44.54,0,0,11.550000,52.940000,0.000000,55.01,0,0,0,0,0

