Column1,Time,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8139,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,GNA/NR/2025/07/01/8128,GNA/NR/2025/07/01/2952,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/1044,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/8154,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/07/16/7255,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/01/2786,NR/01102023/06022042/L_NR_2012_02,L_NR_2019_19,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,GNARE/SR/2025/01/13/4532,WR/01102023/01102023/L_NR_2022_09
1,00:00-00:15,81.69,49.02,134.79,18.21,0,0,0,0,0,0,0,0,12.64,6.43,115.29,8.25,6.33,30,-0,1.41,100.13,0,19.22,15.23,20.73,0,10.47,0,0,10.73,163.39,86.69,270.31,43.68,0,0,0,0,34.5,0,0,11.5,0,11.5,10,40.02,0

2,00:15-00:30,81.69,49.02,134.79,18.21,0,0,0,0,0,0,0,0,12.64,6.43,115.29,8.25,6.33,30,-0,1.88,100.13,0,19.22,15.23,20.73,0,10.47,0,0,10.73,163.39,86.69,270.31,43.68,0,0,0,0,34.5,0,0,11.5,0,11.5,10,40.02,0

3,00:30-00:45,81.69,49.02,134.79,18.21,0,0,0,0,0,0,0,0,12.64,6.43,115.29,8.25,6.33,30,-0,2.35,100.13,0,19.22,15.23,20.73,26.25,10.47,0,0,10.73,163.39,86.69,270.31,43.68,0,0,0,0,34.5,0,0,11.5,0,11.5,10,40.02,0

4,00:45-01:00,81.69,49.02,134.79,18.21,0,0,0,0,0,0,0,0,12.64,6.43,115.29,8.25,6.33,30,-0,2.35,100.13,0,19.22,15.23,20.73,26.25,10.47,0,0,10.73,163.39,86.69,270.31,43.68,0,0,0,0,34.5,0,0,11.5,0,11.5,10,40.02,0

5,01:00-01:15,81.69,49.02,134.79,17.93,0,0,0,0,0,0,0,0,12.64,6.43,115.29,8.25,6.05,30,-0,2.84,100.13,0,19.22,15.23,20.73,26.25,10.47,0,0,10.73,163.39,85.62,270.31,43.68,0,0,0,0,34.01,0,0,11.33,0,11.33,10,42.02,0

6,01:15-01:30,81.69,49.02,134.79,17.93,0,0,0,0,0,0,0,0,12.64,6.43,115.29,8.25,6.05,30,-0,3.24,100.13,0,19.22,15.23,20.73,26.25,10.47,0,0,10.73,163.39,86.69,270.31,43.68,0,0,0,0,34.01,0,0,11.33,0,11.33,10,42.02,0

