Block,Time,TALA,KISHANGANGA,SASAN,KHSTPP-I,KHSTPP-II,FSTPP I & II,KUDGI,SINGRAULI_HYDRO,BRBCL,DHAULIGNGA,AURY_CRF,JHAJJAR,NAPP,BSIUL,SINGRAULI,NJPC,DADRI_LF,RIHAND2,AURY_RF,AURY_LF,URI,TANDA2,ANTA_RF,KOTESHWR,KOLDAM,RAPPC,CHAMERA2,DADRI_RF,TANAKPUR,UNCHAHAR1,PARBATI3,SALAL,UNCHAHAR3,ANTA_CRF,UNCHAHAR2,URI2,ANTA_GF,CHAMERA1,DADRT2,SEWA2,RIHAND1,RIHAND3,CHAMERA3,RAMPUR,RAPPB,DADRI_GF,ANTA_LF,DULHASTI,TEHRI,UNCHAHAR4,DADRI_CRF,AURY_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
7,01:30-01:45,21.110182,2.113900,405.243729,39.947043,142.750749,16.141236,96.77,1.053398,11.770279,37.135857,0.000000,636.640056,38.785636,12.684225,137.413400,142.096822,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,20.830517,7.437742,20.084614,0.000000,82.198567,25.854802,0.000000,41.659485,33.462286,0.000000,40.786697,666.018571,16.053045,44.175505,121.248253,29.586066,1.592521,0.000000,0.000000,0.000000,50.308022,25.034071,0.783837,0.000000,0.000000,0,0,0,0,0

8,01:45-02:00,21.110182,2.113900,405.243729,39.947043,142.750749,16.141236,96.77,1.053398,12.100463,37.135857,0.000000,636.640056,38.785636,12.684225,137.413400,142.096822,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,20.830517,7.437742,20.084614,0.000000,82.198567,25.854802,0.000000,41.659485,33.462286,0.000000,40.786697,666.018571,16.053045,44.175505,121.248253,29.586066,1.592521,0.000000,0.000000,0.000000,50.308022,25.034071,0.783837,0.000000,0.000000,0,0,0,0,0

9,02:00-02:15,21.110182,2.113900,405.243729,39.947043,142.750749,16.141236,24.19,1.053398,13.841570,37.135857,0.000000,636.640056,38.785636,12.684225,137.413400,142.096822,0.000000,115.727243,0.000000,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,20.830517,7.437742,20.084614,0.000000,82.198567,25.854802,0.000000,41.659485,33.462286,0.000000,40.786697,666.018571,16.053045,44.175505,121.248253,29.586066,1.592521,0.000000,0.000000,0.000000,50.308022,25.034071,0.783837,0.000000,0.000000,0,0,0,0,0

10,02:15-02:30,21.110182,2.113900,405.243729,39.947043,142.750749,16.141236,24.19,1.053398,13.048369,37.135857,0.000000,636.640056,38.785636,12.684225,137.413400,142.096822,0.000000,115.727243,12.580100,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,20.830517,7.437742,20.084614,0.000000,82.198567,25.854802,0.000000,41.659485,33.462286,0.000000,40.786697,666.018571,16.053045,44.175505,121.248253,29.586066,1.592521,0.000000,0.000000,0.000000,50.308022,25.034071,0.783837,0.000000,0.000000,0,0,0,0,0

11,02:30-02:45,21.110182,2.113900,405.243729,39.947043,142.750749,16.141236,24.19,1.053398,11.777956,37.135857,0.000000,636.640056,38.785636,12.684225,137.413400,142.096822,0.000000,115.727243,12.580100,0.000000,44.870314,1.347745,0.000000,8.170728,2.350658,53.407983,40.512341,20.830517,11.776425,20.084614,0.000000,82.198567,25.854802,0.000000,41.659485,33.462286,0.000000,40.786697,666.018571,16.053045,44.175505,121.248253,29.586066,1.592521,0.000000,0.000000,0.000000,50.308022,25.034071,0.783837,0.000000,0.000000,0,0,0,0,0

