Column1,Time,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,GNA/NR/2025/02/16/1676,GNA/NR/2025/02/16/1380,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2024/11/01/4200,GNA/SR/2025/02/01/7432,GNA/WR/2025/01/01/9606,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/5886,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/9969,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/2594,GNARE/SR/2025/01/13/4532,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,22.5,7.33,7.5,14.66,0,14.67,0,7.5,0.92,0,26.99,27.25,26.99,100.14,0,0.62,0,64.04,164.37,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,22.5,7.33,7.5,14.66,0,14.67,0,7.5,0.92,0,26.99,27.25,26.99,100.14,0,0.62,0,60.34,135.53,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,22.5,7.33,7.5,14.66,0,14.67,0,7.5,0.92,0,26.99,27.25,26.99,100.14,0,0.62,0,68.85,157.64,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,22.5,7.33,7.5,14.66,0,14.67,0,7.5,0.92,0,26.99,27.25,26.99,100.14,0,0.62,0,67.37,157.64,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,22.5,7.33,7.5,14.66,0,14.67,0,7.5,0.92,0,26.99,27.25,26.99,100.14,0,0.62,0,74.52,196.08,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,22.5,7.33,7.5,14.66,0,14.67,0,7.5,0.92,0,26.99,27.25,26.99,100.14,0,0.62,0,74.52,217.45,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,22.5,7.33,7.5,14.66,0,14.67,0,7.5,0.92,0,26.99,27.25,26.99,100.14,0,0.62,0,74.52,217.45,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,22.5,7.33,7.5,14.66,0,14.67,0,7.5,0.92,0,26.99,27.25,26.99,100.14,0,0.62,0,74.52,217.45,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,21.49,6.67,7.17,14,0,14,0,7.17,0.92,0,26.99,26.75,26.99,100.14,0,0.62,0,74.52,217.45,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,21.49,6.67,7.17,14,0,14,0,7.17,0.92,0,26.99,26.75,26.99,100.14,0,0.62,0,74.52,217.45,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,21.49,6.67,7.17,14,0,14,0,7.17,0.92,0,26.99,26.75,26.99,100.14,0,0.62,0,74.52,181.67,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,21.49,6.67,7.17,14,0,14,0,7.17,0.92,0,26.99,26.75,26.99,100.14,0,0.62,0,57.34,150.59,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,21.49,6.67,7.17,14,0,14,0,7.17,0.92,0,26.99,26.75,26.99,100.14,0,0,0,57.34,158.28,70.12,47.56,15.85,1.2,0,0,0,1.47,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,21.49,6.67,7.17,14,0,14,0,7.17,0.92,0,26.99,26.75,26.99,100.14,0,0.62,0,46.85,133.29,70.12,47.56,15.85,1.2,0,0,0,1.47,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,21.49,6.67,7.17,14,0,14,0,7.17,0.92,0,26.99,0,26.99,100.14,0,0.62,0,46.85,133.29,70.12,47.56,15.85,1.2,0,0,0,1.47,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,21.49,6.67,7.17,14,0,14,0,7.17,0.92,0,26.99,0,26.99,100.14,0,0.62,0,57.34,167.59,70.12,47.56,15.85,1.2,0,0,0,1.47,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,21.49,6.67,7.17,14,0,14,0,7.17,0.92,0,26.99,0,26.99,100.14,0,0.62,0,57.34,167.59,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,21.49,6.67,7.17,14,0,14,0,7.17,0.92,0,26.99,0,26.99,100.14,0,0.62,0,57.34,167.59,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,21.49,6.67,7.17,14,0,14,0,7.17,0.92,0,26.99,0,26.99,100.14,0,0.62,0,57.34,167.59,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,21.49,6.67,7.17,14,0,14,0,7.17,0.92,0,26.99,0,26.99,100.14,0,0.62,0,57.34,167.59,70.12,47.56,15.85,1.2,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,21.49,6.67,7.17,14,0,14,0,7.17,0.92,0,26.99,0,26.99,100.14,0,0.62,0,69.51,198.05,70.12,47.56,15.85,1.16,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,21.49,6.67,7.17,14,0,14,0,7.17,0.92,0,26.99,0,26.99,100.14,0,0.62,0,69.51,198.05,70.12,47.56,15.85,1.16,0,0,0,1.38,8.65,23.07,8.65,271.78,75,23.07,0,23.07,6.6,0,0,0,0,0,0,0,0,0,0,0

