Time,Block,NR/2023/18062/A/1779,NR/2023/17525/A,NR/2023/17270/A,NR/2023/18105/A/1778,NR/2023/18167/C,NR/2023/18074/A/1815,NR/2023/18168/C,WR/2023/20577/A/1888,NER/2023/1745/C,WR/2023/20256/A/1893,WR/2023/19446/A,Total
,,IEXL,APPCPL,GMRETL,IEXL,TPDDL,ITCLH,NVVNL,APPCPL,PXIL,MANIKARAN,MANIKARAN,Total

,,ANDHRA PRADESH,DELHI,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,NA,DELHI,DELHI,DELHI,DELHI,
,,SNJSUGARLTDAP,BYPL,BYPL,BSHP,CHANJUII,ITCWIND,SOLAPUR_SOLAR,BRPL,BYPL,BRPL,BYPL,
,,DELHI,HIMACHAL PRADESH,RAJASTHAN,DELHI,DELHI,DELHI,DELHI,GOA,ARUNACHAL PRADESH,GOA,MAHARASHTRA,
,,MES (Delhi),HP,RUVNL,MES (Delhi),TPDDL,ITCLH,MES (Delhi),GOA_Beneficiary,Arunachal_Ben,GOA_Beneficiary,AEML,
,,South-East-North,North-North,North-North,North-North,North-North,South-West-North,West-North,North-West,North-East-North East,North-West,North-West,
1,00:00-00:15,4.790000,59.650000,0.000000,0.960000,2.010000,0.430000,0,0.000000,40.000000,0.000000,75.000000,182.84

2,00:15-00:30,4.790000,59.650000,0.000000,0.960000,2.010000,0.430000,0,0.000000,40.000000,0.000000,75.000000,182.84

3,00:30-00:45,4.790000,59.650000,0.000000,0.960000,2.010000,0.430000,0,0.000000,40.000000,0.000000,75.000000,182.84

4,00:45-01:00,4.790000,59.650000,0.000000,0.960000,2.010000,0.430000,0,0.000000,40.000000,0.000000,75.000000,182.84

5,01:00-01:15,4.790000,59.650000,0.000000,0.960000,2.010000,0.380000,0,0.000000,40.000000,0.000000,75.000000,182.79

6,01:15-01:30,4.790000,59.650000,0.000000,0.960000,2.010000,0.380000,0,0.000000,40.000000,0.000000,75.000000,182.79

7,01:30-01:45,4.790000,59.650000,0.000000,0.960000,2.010000,0.380000,0,0.000000,40.000000,0.000000,75.000000,182.79

8,01:45-02:00,4.790000,59.650000,0.000000,0.960000,2.010000,0.380000,0,0.000000,40.000000,0.000000,75.000000,182.79

9,02:00-02:15,4.790000,59.650000,0.000000,0.960000,2.010000,0.340000,0,0.000000,40.000000,0.000000,75.000000,182.75

10,02:15-02:30,4.790000,59.650000,0.000000,0.960000,2.010000,0.340000,0,0.000000,40.000000,0.000000,75.000000,182.75

11,02:30-02:45,4.790000,59.650000,0.000000,0.960000,2.010000,0.340000,0,0.000000,40.000000,0.000000,75.000000,182.75

12,02:45-03:00,4.790000,59.650000,0.000000,0.960000,2.010000,0.340000,0,0.000000,40.000000,0.000000,75.000000,182.75

13,03:00-03:15,4.790000,59.650000,0.000000,0.960000,2.010000,0.340000,0,0.000000,40.000000,0.000000,75.000000,182.75

14,03:15-03:30,4.790000,59.650000,0.000000,0.960000,2.010000,0.340000,0,0.000000,40.000000,0.000000,75.000000,182.75

15,03:30-03:45,4.790000,59.650000,0.000000,0.960000,2.010000,0.340000,0,0.000000,40.000000,0.000000,75.000000,182.75

16,03:45-04:00,4.790000,59.650000,0.000000,0.960000,2.010000,0.340000,0,0.000000,40.000000,0.000000,75.000000,182.75

17,04:00-04:15,4.790000,59.650000,0.000000,0.960000,2.010000,0.380000,0,0.000000,40.000000,0.000000,75.000000,182.79

18,04:15-04:30,4.790000,59.650000,0.000000,0.960000,2.010000,0.380000,0,0.000000,40.000000,0.000000,75.000000,182.79

