Block,Time,RAMPUR,AURY_CRF,BSIUL,KISHANGANGA,URI,DADRI_RF,KOLDAM,URI2,ANTA_GF,TANDA2,RAPPB,AURY_GF,NAPP,ANTA_RF,DADRI_LF,ANTA_LF,DULHASTI,JHAJJAR,RIHAND1,DADRI_GF,KOTESHWR,SINGRAULI,SEWA2,RAPPC,CHAMERA2,ANTA_CRF,UNCHAHAR4,AURY_RF,RIHAND2,PARBATI3,UNCHAHAR2,SALAL,SINGRAULI_HYDRO,UNCHAHAR1,DADRT2,CHAMERA1,DHAULIGNGA,DADRI_CRF,TANAKPUR,NJPC,TEHRI,AURY_LF,RIHAND3,CHAMERA3,UNCHAHAR3,FSTPP I & II,KHSTPP-I,TALA,BRBCL,SASAN,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,6.514819,0.000000,6.297789,8.055401,31.987296,0.000000,8.957605,36.594663,0.000000,5.174842,0.000000,0.000000,47.179066,0.000000,0.000000,0.000000,57.151604,379.492953,93.640050,0.000000,0.000000,144.809020,12.098965,65.503456,46.841134,0.000000,2.975893,0.000000,120.101297,16.209231,43.356782,75.191393,1.150422,21.854875,664.554626,40.706616,21.023601,0.000000,2.350661,173.807738,0.000000,0.000000,126.078205,33.640024,26.686903,20.088640,42.794598,0.000000,19.315955,401.259719,142.165760,0,0,0,0,0

2,00:15-00:30,6.514819,0.000000,6.297789,8.055401,31.987296,0.000000,8.957605,36.594663,0.000000,5.174842,0.000000,0.000000,47.179066,0.000000,0.000000,0.000000,57.151604,379.492953,93.640050,0.000000,0.000000,144.859328,12.098965,65.503456,46.841134,0.000000,2.984322,0.000000,120.126204,16.209231,43.370818,75.191393,1.150422,21.856054,664.582382,40.706616,21.023601,0.000000,2.350661,173.807738,0.000000,0.000000,126.114261,33.640024,26.693728,20.088640,42.794598,0.000000,19.315955,402.014250,142.165760,0,0,0,0,0

3,00:30-00:45,6.514819,0.000000,6.297789,8.055401,31.987296,0.000000,8.957605,36.594663,0.000000,5.174842,0.000000,0.000000,47.179066,0.000000,0.000000,0.000000,57.151604,379.492953,93.640050,0.000000,0.000000,144.859328,12.098965,65.503456,46.841134,0.000000,2.984322,0.000000,120.126204,16.209231,43.370818,75.191393,1.150422,21.856054,664.582382,40.706616,21.023601,0.000000,2.350661,173.807738,0.000000,0.000000,126.114261,33.640024,26.693728,20.088640,42.794598,0.000000,19.315955,402.014250,142.165760,0,0,0,0,0

4,00:45-01:00,6.514819,0.000000,6.297789,8.055401,31.987296,0.000000,8.957605,36.594663,0.000000,5.174842,0.000000,0.000000,47.179066,0.000000,0.000000,0.000000,57.151604,379.492953,93.640050,0.000000,0.000000,144.859328,12.098965,65.503456,46.841134,0.000000,2.984322,0.000000,120.126204,4.125985,43.370818,75.191393,1.150422,21.856054,664.582382,40.706616,21.023601,0.000000,2.350661,173.807738,0.000000,0.000000,126.114261,33.640024,26.693728,20.088640,42.794598,0.000000,18.043466,402.014250,142.165760,0,0,0,0,0

5,01:00-01:15,6.514819,0.000000,6.297789,8.055401,31.987296,0.000000,8.957605,36.594663,0.000000,5.174842,0.000000,0.000000,47.179066,0.000000,0.000000,0.000000,57.151604,331.202953,93.640050,0.000000,0.000000,144.859328,12.098965,65.503456,46.841134,0.000000,2.984322,0.000000,120.126204,0.000000,43.370818,75.191393,1.150422,21.856054,665.161862,40.706616,21.023601,0.000000,2.350661,173.807738,0.000000,0.000000,126.114261,33.640024,26.693728,20.088640,42.794598,0.000000,15.111840,402.014250,142.165760,0,0,0,0,0

