Block,Time,KHSTPP-I,PARBATI2,RIHAND3,UNCHAHAR4,DADRI_RF,DHAULIGNGA,KGSU1AND2,NAPP,NNTPP,SIMHST1,URI2,AURY_GF,AURY_LF,DADRI_GF,DADRT2,KOTESHWR,NLCIIST2,RAPPB,RAPPC,SALAL,SINGRAULI,ANTA_LF,CHAMERA1,DULHASTI,MAPS,NLCIIST1,RAMPUR,RSTPSU1TO6,UNCHAHAR1,UNCHAHAR3,VALLURNTECL,ANTA_CRF,CHAMERA2,PARBATI3,RAPPD,RSTPSU7,SASAN,TALST2,TANAKPUR,UNCHAHAR2,ANTA_RF,AURY_CRF,KHSTPP-II,KOLDAM,NLCTS2EXP,RIHAND1,SEWA2,SIMHST2,TANDA2,URI,DADRI_LF,BRBCL,BSIUL,KISHANGANGA,KUDGI,NJPC,RIHAND2,TelanganaSTPP,ANTA_GF,DADRI_CRF,CHAMERA3,FSTPP I & II,JHAJJAR,KGSU3AND4,KKNP,KKNPPU2,NLCEXP,NTPL,SINGRAULI_HYDRO,TALA,TEHRI,TEHRIPSP,AURY_RF
1,00:00-00:15,33.69,0,130.84,3.22,79.04,42.46,0,24.48,0,0,38.97,0,0,0,549.38,20.29,0,0,33.12,85.41,149.08,0,42.15,55.38,0,0,5.7,0,21.65,27.69,0,0,47.12,32.71,24.8,0,345.94,0,11.91,45,34.13,0,148.3,8.62,0,76.95,0,0,5.73,35.33,0,24.99,0,7.05,0,175.79,125.27,0,0,0,33.94,20.8,667.25,0,0,0,0,0,1.13,24.55,51.81,70.71,75.32

2,00:15-00:30,33.69,0,130.84,3.22,79.04,42.46,0,24.48,0,0,38.97,0,0,0,549.38,20.29,0,0,33.12,85.41,149.08,0,42.15,55.38,0,0,5.7,0,21.65,27.69,0,0,47.12,32.71,24.8,0,345.94,0,3.85,45,34.13,0,148.3,8.62,0,76.95,0,0,5.73,35.33,0,24.99,0,7.05,0,175.79,125.27,0,0,0,33.94,20.8,667.25,0,0,0,0,0,1.13,24.55,51.81,70.71,75.32

3,00:30-00:45,33.69,0,130.84,3.22,79.04,42.46,0,24.48,0,0,38.97,0,0,0,549.38,20.29,0,0,33.12,85.41,149.08,0,42.15,55.38,0,0,5.7,0,21.65,27.69,0,0,47.12,22.3,24.8,0,345.94,0,3.85,45,34.13,0,148.3,8.62,0,76.95,0,0,5.73,35.33,0,24.99,0,7.05,0,175.79,125.27,0,0,0,33.94,20.8,667.25,0,0,0,0,0,1.13,24.55,51.81,70.71,75.32

4,00:45-01:00,33.69,0,130.84,3.22,79.04,42.46,0,24.48,0,0,38.97,0,0,0,549.38,20.29,0,0,33.12,85.41,149.08,0,42.15,55.38,0,0,5.7,0,21.65,27.69,0,0,47.12,22.3,24.8,0,345.94,0,3.85,45,34.13,0,148.3,8.62,0,76.95,0,0,5.73,35.33,0,24.99,0,7.05,0,175.79,125.27,0,0,0,33.94,20.8,667.25,0,0,0,0,0,1.13,24.55,51.81,70.71,75.32

5,01:00-01:15,33.69,0,130.84,3.22,79.04,42.46,0,24.48,0,0,38.97,0,0,0,549.38,20.29,0,0,33.12,85.41,149.08,0,42.15,55.38,0,0,5.7,0,21.65,27.69,0,0,47.12,22.3,24.8,0,345.94,0,11.91,45,34.13,0,148.3,8.62,0,76.95,0,0,5.73,30.91,0,24.99,0,7.05,0,175.79,125.27,0,0,0,33.94,20.8,667.25,0,0,0,0,0,1.13,24.55,51.81,70.71,36.37

6,01:15-01:30,33.69,0,130.84,3.22,79.04,42.46,0,24.48,0,0,38.97,0,0,0,549.38,20.29,0,0,33.12,85.41,149.08,0,42.15,55.38,0,0,5.7,0,21.65,27.69,0,0,47.12,22.3,24.8,0,345.94,0,12.81,45,34.13,0,148.3,8.62,0,76.95,0,0,5.73,30.91,0,24.99,0,7.05,0,175.79,125.27,0,0,0,33.94,20.8,667.25,0,0,0,0,0,1.13,24.55,51.81,0,36.37

7,01:30-01:45,33.69,0,130.84,3.22,79.04,42.46,0,24.48,0,0,26.5,0,0,0,549.38,20.29,0,0,33.12,85.41,149.08,0,42.15,55.38,0,0,5.7,0,21.65,27.69,0,0,47.12,32.71,24.8,0,345.94,0,12.81,45,34.13,0,148.3,8.62,0,76.95,0,0,5.73,30.91,0,24.99,0,7.05,0,175.79,125.27,0,0,0,33.94,20.8,667.25,0,0,0,0,0,1.13,24.55,51.81,0,36.37

8,01:45-02:00,33.69,0,130.84,3.22,79.04,42.46,0,24.48,0,0,26.5,0,0,0,549.38,10.14,0,0,33.12,85.41,149.08,0,42.15,55.38,0,0,5.7,0,21.65,27.69,0,0,47.12,32.71,24.8,0,345.94,0,12.81,45,34.13,0,148.3,8.62,0,76.95,0,0,5.73,30.91,0,24.99,0,7.05,0,175.79,125.27,0,0,0,33.94,20.8,667.25,0,0,0,0,0,1.13,24.55,51.81,0,36.37

