Block,Time,AURY_CRF,CHAMERA3,AURY_GF,BSIUL,SALAL,AURY_RF,DULHASTI,ANTA_LF,UNCHAHAR3,DADRI_GF,UNCHAHAR2,DADRI_LF,ANTA_GF,RAPPC,RIHAND3,JHAJJAR,SEWA2,SINGRAULI_HYDRO,TANDA2,URI2,DHAULIGNGA,RAPPB,KOTESHWR,NAPP,UNCHAHAR1,CHAMERA2,DADRI_CRF,ANTA_RF,CHAMERA1,TANAKPUR,URI,RAMPUR,KISHANGANGA,RIHAND1,SINGRAULI,ANTA_CRF,NJPC,UNCHAHAR4,AURY_LF,DADRI_RF,BRBCL,RIHAND2,PARBATI3,TALA,FSTPP I & II,KOLDAM,KHSTPP-I,KHSTPP-II,TEHRI,DADRT2,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
13,03:00-03:15,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,26.663325,0.000000,43.321421,0.000000,0.000000,65.266898,125.970622,365.901256,0.000000,0.000000,3.306276,36.552984,41.999311,0.000000,0.000000,45.985202,21.831161,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.980923,0.000000,0.000000,15.870648,57.293340,4.121286,3.545272,20.065760,8.947402,42.745857,142.003840,0.000000,506.707228,386.362350,0,0,0,0,0

14,03:15-03:30,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,26.663325,0.000000,43.321421,0.000000,0.000000,65.266898,125.970622,365.901256,0.000000,0.000000,3.306276,36.552984,41.999311,0.000000,0.000000,45.985202,21.831161,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.980923,0.000000,0.000000,16.139573,57.293340,18.840167,3.545272,20.065760,8.947402,42.745857,142.003840,0.000000,472.942728,386.362350,0,0,0,0,0

15,03:30-03:45,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,26.663325,0.000000,43.321421,0.000000,0.000000,65.266898,125.970622,271.834517,0.000000,0.000000,3.306276,36.552984,41.999311,0.000000,0.000000,45.985202,21.831161,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.980923,0.000000,0.000000,16.874950,57.293340,18.840167,3.545272,20.065760,8.947402,42.745857,142.003840,0.000000,435.319428,386.362350,0,0,0,0,0

16,03:45-04:00,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,26.663325,0.000000,43.321421,0.000000,0.000000,65.266898,125.970622,271.834517,0.000000,0.000000,3.306276,36.552984,41.999311,0.000000,0.000000,45.985202,21.831161,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.980923,0.000000,0.000000,18.150162,57.293340,18.840167,3.545272,20.065760,8.947402,42.745857,142.003840,0.000000,407.343128,386.362350,0,0,0,0,0

17,04:00-04:15,0.000000,33.601710,0.000000,12.581232,71.742810,0.000000,57.086511,0.000000,26.663325,0.000000,43.321421,0.000000,0.000000,65.266898,125.970622,271.834517,0.000000,0.000000,3.306276,36.552984,41.999311,0.000000,0.000000,45.985202,21.831161,46.787784,0.000000,0.000000,40.660253,7.414684,35.145950,6.507399,8.046226,93.533398,142.946355,0.000000,173.609779,2.980923,0.000000,0.000000,19.293970,57.293340,18.840167,3.828894,20.065760,8.947402,42.745857,142.003840,0.000000,371.649228,386.362350,0,0,0,0,0

