Block,Time,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,NR/01122023/15122023/HP-15,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/22052037/LT-59,NR/01102023/23072042/L_NR_2012_04,NR/01122023/31122023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/08122023/15122023/HP-19,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/01102023/08032047/L_NR_2021_14,SR/01102023/07102043/L_NR_2018_61,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,L_NR_2019_19,SR/01122023/31122023/BYPL_KSEB_DEC23,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,WR/01102023/24112044/L_NR_2020_07,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,169.410000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.370000,0,8.12,0,0,0,9.67,0,12.5,5.34,0,0,48.06,0,4.16,0,0,9.67,0,4.17,0

2,00:15-00:30,169.410000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.370000,0,8.38,0,0,0,9.67,0,12.5,5.34,0,0,48.06,0,4.16,0,0,9.67,0,4.17,0

3,00:30-00:45,169.410000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.370000,0,8.53,0,0,0,9.67,0,12.5,5.34,0,0,48.06,0,4.16,0,0,9.67,0,4.17,0

4,00:45-01:00,169.410000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.370000,0,8.7,0,0,0,9.67,0,12.5,5.34,0,0,48.06,0,4.16,0,0,9.67,0,4.17,0

5,01:00-01:15,148.040000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.370000,0,8.92,0,0,0,9.67,0,12.5,5.34,0,0,48.06,0,4.16,0,0,9.67,0,4.17,0

6,01:15-01:30,128.810000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.370000,0,9,0,0,0,9.67,0,12.5,5.34,0,0,48.06,0,4.16,0,0,9.67,0,4.17,0

7,01:30-01:45,109.590000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.370000,0,9.03,0,0,0,9.67,0,12.5,5.34,0,0,48.06,0,4.16,0,0,9.67,0,4.17,0

8,01:45-02:00,109.590000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.370000,0,9.26,0,0,0,9.67,0,12.5,5.34,0,0,48.06,0,4.16,0,0,9.67,0,4.17,0

9,02:00-02:15,109.590000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.370000,0,9.33,0,0,0,9.67,0,12.5,5.34,0,0,48.06,0,4.16,0,0,9.67,0,4.17,0

10,02:15-02:30,109.590000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.370000,0,9.43,0,0,0,9.67,0,12.5,5.34,0,0,48.06,0,4.16,0,0,9.67,0,4.17,0

11,02:30-02:45,109.590000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.370000,0,9.51,0,0,0,9.67,0,12.5,5.34,0,0,48.06,0,4.16,0,0,9.67,0,4.17,0

12,02:45-03:00,109.590000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.370000,0,9.58,0,0,0,9.67,0,12.5,5.34,0,0,48.06,0,4.16,0,0,9.67,0,4.17,0

13,03:00-03:15,109.590000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.300000,0,9.7,0,0,0,9.67,0,12.5,5.34,0,0,48.06,0,4.16,0,0,9.67,0,4.17,0

14,03:15-03:30,109.590000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.300000,0,9.75,0,0,0,9.67,0,12.5,5.34,0,0,48.06,0,4.16,0,0,9.67,0,4.17,0

15,03:30-03:45,109.590000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.300000,0,9.88,0,0,0,9.67,0,10,4.34,0,0,48.06,0,3.34,0,0,9.67,0,3.33,0

16,03:45-04:00,109.590000,0.000000,1.760000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.300000,0,10.09,0,0,0,9.67,0,10,4.34,0,0,48.06,0,3.34,0,0,9.67,0,3.33,0

17,04:00-04:15,109.590000,0.000000,1.710000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.300000,0,12.36,0,0,0,9.67,0,10,4.34,0,0,48.06,0,3.34,0,0,9.67,0,3.33,0

18,04:15-04:30,109.590000,0.000000,1.710000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.300000,0,12.25,0,0,0,9.67,0,10,4.34,0,0,48.06,0,3.34,0,0,9.67,0,3.33,0

19,04:30-04:45,109.590000,0.000000,1.710000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.300000,0,12.1,0,0,0,9.67,0,10,4.34,0,0,48.06,0,3.34,0,0,9.67,0,3.33,0

20,04:45-05:00,109.590000,0.000000,1.710000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,71.520000,1.300000,0,11.98,0,0,0,9.67,0,10,4.34,0,0,48.06,0,3.34,0,0,9.67,0,3.33,0

21,05:00-05:15,169.410000,0.000000,1.710000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,31.720000,24.030000,0.000000,25.950000,67.290000,1.300000,0,14.28,0,0,0,9.67,0,10,4.34,0,0,48.06,0,3.34,0,0,9.67,0,3.33,0

22,05:15-05:30,169.410000,0.000000,1.710000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,55.390000,24.030000,0.000000,25.950000,67.290000,1.300000,0,14.42,0,0,0,9.67,0,10,4.34,0,0,48.06,0,3.34,0,0,9.67,0,3.33,0

23,05:30-05:45,169.410000,0.000000,1.710000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,55.390000,24.030000,0.000000,25.950000,67.290000,1.300000,0,17.11,0,0,0,9.67,0,10,4.34,0,0,48.06,0,3.34,0,0,9.67,0,3.33,0

24,05:45-06:00,169.410000,0.000000,1.710000,57.250000,46.140000,1.160000,148.690000,96.130000,127.830000,0.000000,25.950000,0.000000,55.390000,24.030000,0.000000,25.950000,67.290000,1.300000,0,17.07,0,0,0,9.67,0,10,4.34,0,0,48.06,0,3.34,0,0,9.67,0,3.33,0

25,06:00-06:15,169.410000,0.000000,1.710000,0.000000,46.140000,1.160000,192.260000,96.130000,231.380000,0.000000,25.950000,0.000000,55.390000,24.030000,0.000000,25.950000,67.290000,1.300000,0,17.07,0,0,0,9.67,0,10,4.34,0,0,48.06,0,3.34,0,1.06,9.67,0,3.33,0

26,06:15-06:30,204.670000,0.000000,1.710000,0.000000,46.140000,1.160000,230.710000,96.130000,231.380000,0.000000,25.950000,0.000000,55.390000,24.030000,0.000000,25.950000,67.290000,1.300000,0,16.99,0,0,0,9.67,0,10,4.34,0,0,48.06,2.04,3.34,0,2.12,9.67,0,3.33,0

27,06:30-06:45,260.130000,0.000000,1.710000,0.000000,46.140000,1.160000,270.370000,96.130000,231.380000,0.000000,25.950000,0.000000,74.300000,24.030000,0.000000,25.950000,67.290000,1.300000,0,16.97,0,0,0,9.67,1,10,4.34,0,0,48.06,5.85,3.34,0,3.18,9.67,0,3.33,0

28,06:45-07:00,260.130000,0.000000,1.710000,0.000000,46.140000,1.160000,270.370000,96.130000,231.380000,0.000000,25.950000,0.000000,74.300000,23.070000,0.000000,25.950000,67.290000,1.300000,0,16.84,0,0,0,9.67,4,10,4.34,0,0.107041,48.06,13.04,3.34,0,4.24,9.67,0,3.33,0

29,07:00-07:15,260.130000,0.000000,1.710000,0.000000,74.980000,1.160000,270.370000,96.130000,231.380000,0.000000,25.950000,0.000000,74.300000,23.070000,0.000000,25.950000,67.290000,1.220000,0,16.74,0,0,0,9.67,10,10,4.34,0,2.890107,48.06,22.31,3.34,0,10.93,9.67,0,3.33,0

30,07:15-07:30,260.130000,0.120000,1.710000,0.000000,74.980000,1.160000,270.370000,96.130000,231.380000,0.120000,25.950000,0.000000,74.300000,22.110000,0.120000,25.950000,71.520000,1.220000,0,16.64,0.6,0,0,9.67,20,10,4.34,0,8.524356,48.06,21.77,3.34,1,21.78,9.67,1.4,3.33,0

31,07:30-07:45,260.130000,0.450000,1.710000,0.000000,100.690000,1.160000,270.370000,96.130000,231.380000,0.450000,25.950000,0.000000,74.300000,22.110000,0.460000,25.950000,96.130000,1.220000,0,12.12,2.1,1,1,9.67,22.02,10,4.34,5.83,14.956547,48.06,22.69,3.34,3,22.68,9.67,4.9,3.33,1.17

32,07:45:08:00,260.130000,1.080000,1.710000,0.000000,100.690000,1.160000,270.370000,96.130000,231.380000,1.080000,25.950000,0.000000,86.710000,22.110000,1.110000,25.950000,104.780000,1.220000,0,11.62,5.1,3,3,9.67,22.35,10,4.34,17.9,22.848388,48.06,23.01,3.34,7,23.02,9.67,11.9,3.33,3.58

33,08:00-08:15,260.130000,2.030000,1.710000,0.000000,100.690000,1.160000,270.370000,96.130000,231.380000,2.030000,23.340000,0.000000,86.710000,0.000000,2.080000,23.340000,113.430000,1.140000,0,16.37,13,7,6,9.67,24.35,10,4.34,35.7,32.267996,48.06,25.01,3.34,15,25.02,9.67,32,3.33,7.14

34,08:15-08:30,260.130000,3.260000,1.710000,0.000000,100.690000,1.160000,270.370000,96.130000,231.380000,3.260000,15.280000,0.000000,86.710000,0.000000,3.330000,15.280000,117.660000,1.140000,0.33,16.37,21,11,9,9.67,26.18,10,4.34,60.13,42.680166,48.06,26.85,3.34,22,26.85,9.67,49,3.33,12.03

