Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/2569,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7762,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7663,NR/01102023/22052037/LT-59,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/07/5932,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/8964,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/8456,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/8510
1,00:00-00:15,0,0,0,35.83,107.51,0,0,0,0,38.67,0,0,0,35.83,0,0,0,0,0,33.01,27.25,19.35,0,15.33,20.56,41.11,11.93,53.45,100.78,20.87,41.11,20.56,16.94,26.7,20.56,41.11,10.46,11.92,17.41,-0,0,76.71,116.04,0,0,10.8,7.1,273.53,26.7,10.35,113.15,7.03,15.34

2,00:15-00:30,0,0,0,35.5,106.5,0,0,0,0,37.67,0,0,0,35.5,0,0,0,0,0,32.41,27.25,19.35,0,15.33,20.56,41.11,11.93,53.45,100.78,20.87,41.11,20.56,16.94,26.7,20.56,41.11,10.46,11.92,17.41,-0,0,76.71,116.04,0,0,10.8,7.1,273.53,26.7,10.35,113.15,7.03,15.34

3,00:30-00:45,0,0,0,35.17,105.49,0,0,0,0,33.33,0,0,0,35.17,0,0,0,0,0,37.02,28.27,19.35,0,15.33,20.56,41.11,11.93,53.45,100.78,20.87,41.11,20.56,16.94,24.7,20.56,41.11,10.46,11.92,17.41,-0,0,76.71,116.04,0,0,10.8,7.1,273.53,24.7,10.35,130.89,7.03,15.34

4,00:45-01:00,0,0,0,35,105,0,0,0,0,34,0,0,0,35,0,0,0,0,0,36.82,28.27,19.35,0,15.33,20.56,41.11,11.93,53.45,100.78,20.87,41.11,20.56,16.94,24.7,20.56,41.11,10.46,11.92,17.41,-0,0,76.71,116.04,0,0,10.8,7.1,273.53,24.7,10.35,130.89,7.03,15.34

5,01:00-01:15,0,0,0,34.67,103.99,0,0,0,0,35,0,0,0,34.67,0,0,0,0,0,33.01,28.27,19.35,0,15.33,20.56,41.11,11.93,53.45,100.78,20.87,41.11,20.56,16.85,26.7,20.56,41.11,10.14,11.92,17.41,-0,0,76.71,116.04,0,0,10.8,7.1,273.53,26.7,10.35,130.89,6.94,15.34

