Column1,Time,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,NR/01102023/13082046/L_NR_2021_12,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/8139,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/8154,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/2786,GNA/SR/2025/07/15/7716,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,NR/01102023/02122045/L_NR_2021_13,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,NR/01102023/31052040/LT-31,GNA/NR/2025/07/01/2952,NR/01102023/30042040/GNA_LT_36,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/01/1192,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/3109,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/2236,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8128
1,00:00-00:15,0,0,0,0,0,30,0,90,0,0,0,0,3.24,134.84,10.73,0,20.74,66.85,224.73,15.24,43.7,0,0,30,42.67,40.02,0,0,42.66,30.78,0,8.51,0,270.39,49.03,7.46,16.83,19.23,-0,81.72,25.23,102.35,32,10.48,100.16,70.11,26.17,12.64

2,00:15-00:30,0,0,0,0,0,29.67,0,88.99,0,0,0,0,3.24,134.84,10.73,0,20.74,66.85,224.73,15.24,43.7,0,0,29.67,42.67,40.02,0,0,42.66,29.7,0,8.51,0,270.39,49.03,7.46,16.83,19.23,-0,81.72,25.23,102.35,32,10.48,100.16,70.11,26.17,12.64

3,00:30-00:45,0,0,0,0,0,26.95,0,80.82,0,0,0,0,3.24,134.84,10.73,0,20.74,66.85,224.73,15.24,43.7,0,0,26.95,42.67,40.02,0,0,42.66,23.68,0,4,0,270.39,49.03,7.46,17.3,19.23,-0,81.72,25.23,102.35,26.94,10.48,100.16,70.11,26.94,5.95

4,00:45-01:00,0,0,0,0,0,25.11,0,75.32,0,0,0,0,3.24,134.84,10.73,0,20.74,66.85,224.73,15.24,43.7,0,0,25.11,42.67,40.02,0,0,42.66,21.96,0,4,0,270.39,49.03,7.46,17.3,19.23,-0,81.72,25.23,102.35,26.94,10.48,100.16,70.11,26.94,5.95

5,01:00-01:15,0,0,0,0,0,23.83,0,71.51,0,0,0,0,3.24,134.84,10.73,0,20.74,56.36,224.73,15.24,43.7,0,0,23.83,42.67,40.62,0,0,42.66,25,0,4,0,270.39,49.03,7.27,17.21,19.23,-0,81.72,25.23,83.76,26.94,10.48,100.16,70.11,26.94,5.95

