Block,Time,L_NR_2022_10,L_NR_2021_17,L_NR_2021_12,L_NR_2019_07,L_NR_2019_05,L_NR_2019_19,LT-35,L_NR_2021_15,L_NR_2023_07,L_NR_2021_13,LT-59,LT-05,L_NR_2022_08,L_NR_2018_61,L_NR_2012_04,L_NR_2022_09,L_NR_2021_14,L_NR_2019_11,L_NR_2020_05,L_NR_2023_10,L_NR_2020_07,L_NR_2021_16,SH-06,SH-07,L_NR_2012_07,LT-31,LT-36,L_NR_2023_04,L_NR_2012_02,L_NR_2019_06,L_NR_2020_06,L_NR_2020_02,L_NR_2012_01
1,00:00-00:15,41.62,0,0,0,0,0,0.000000,0,0,0,10.410000,110.270000,15.78,39.26,243.430000,41.62,0,0.000000,64.72,0,21.59,0,25.520000,30.910000,74.070000,0.000000,0.000000,29.770000,261.400000,0,21.57,11.890000,0.000000

2,00:15-00:30,41.36,0,0,0,0,0,0.000000,0,0,0,10.410000,110.270000,15.98,39.49,243.430000,41.36,0,0.000000,64.13,0,21.37,0,25.520000,30.910000,74.070000,0.000000,0.000000,29.770000,261.400000,0,21.38,11.890000,0.000000

3,00:30-00:45,46.76,0,0,0,0,0,0.000000,0,0,0,10.410000,110.270000,15.92,39.28,243.430000,46.76,0,0.000000,63.38,0,21.13,0,26.070000,26.070000,74.070000,0.000000,0.000000,29.770000,261.400000,0,21.13,11.890000,0.000000

4,00:45-01:00,46.43,0,0,0,0,0,0.000000,0,0,0,10.410000,110.270000,15.9,39.54,243.430000,46.43,0,0.000000,63.06,0,21.03,0,26.070000,26.070000,74.070000,0.000000,0.000000,30.740000,261.400000,0,21.02,11.890000,0.000000

5,01:00-01:15,46.56,0,0,0,0,0,0.000000,0,0,0,10.410000,110.270000,15.79,39.51,243.430000,46.56,0,0.000000,62.47,0,20.82,0,26.070000,26.070000,74.070000,0.000000,0.000000,29.770000,261.400000,0,20.82,11.890000,0.000000

6,01:15-01:30,45.48,0,0,0,0,0,0.000000,0,0,0,10.410000,110.270000,15.86,39.94,243.430000,45.48,0,0.000000,61.81,0,20.62,0,26.070000,26.070000,74.070000,0.000000,0.000000,27.840000,261.400000,0,20.6,11.890000,0.000000

7,01:30-01:45,43.55,0,0,0,0,0,0.000000,0,0,0,10.410000,110.270000,16.22,41.66,243.430000,43.55,0,0.000000,60.68,0,20.21,0,26.070000,26.070000,74.070000,0.000000,0.000000,28.850000,261.400000,0,20.23,11.890000,0.000000

8,01:45-02:00,50.68,0,0,0,0,0,0.000000,0,0,0,10.410000,110.270000,16.13,42.71,243.430000,50.68,0,0.000000,59.51,0,19.84,0,26.070000,26.070000,74.070000,0.000000,0.000000,28.850000,261.400000,0,19.84,11.890000,0.000000

9,02:00-02:15,50.39,0,0,0,0,0,0.000000,0,0,0,10.410000,113.500000,17.88,40.02,271.690000,50.39,0,0.000000,67.79,0,22.6,0,26.070000,26.070000,74.070000,0.000000,0.000000,28.850000,261.400000,0,22.6,11.890000,0.000000

10,02:15-02:30,50.42,0,0,0,0,0,0.000000,0,0,0,10.410000,113.500000,17.88,40.02,271.690000,50.42,0,0.000000,67.5,0,22.49,0,26.070000,26.070000,74.070000,0.000000,0.000000,28.850000,261.400000,0,22.5,11.890000,0.000000

11,02:30-02:45,50.09,0,0,0,0,0,0.000000,0,0,0,10.410000,85.260000,17.66,40.02,271.690000,50.09,0,0.000000,66.71,0,22.23,0,26.070000,26.070000,64.920000,0.000000,0.000000,28.850000,261.400000,0,22.24,11.890000,0.000000

12,02:45-03:00,50.03,0,0,0,0,0,0.000000,0,0,0,10.410000,85.260000,17.55,40.02,271.690000,50.03,0,0.000000,65.73,0,21.91,0,26.070000,26.070000,64.920000,0.000000,0.000000,28.850000,261.400000,0,21.91,11.890000,0.000000

13,03:00-03:15,51.18,0,0,0,0,0,0.000000,0,0,0,10.410000,85.260000,17.2,40.02,271.690000,51.18,0,0.000000,64.68,0,21.55,0,26.070000,26.070000,64.920000,0.000000,0.000000,28.850000,261.400000,0,21.56,11.890000,0.000000

