Block,Time,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/01102023/30042040/GNA_LT_35,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31102037/L_NR_2019_11,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/01102023/30042040/GNA_LT_36,NR/01062024/30062024/R2,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/01062024/15062024/1000011003-KWHPS-BRPL(DISCOM),NR/01062024/15062024/1000011005-GOHP-BRPL,NR/01042024/31072024/LT_MEJA_DELHI,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,NR/01102023/14082046/L_NR_2021_16,NR/01062024/30062024/IEPL01,NR/01102023/02122045/L_NR_2021_13,NR/01102023/19072037/LT-05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2022_09,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,NR/01062024/30062024/1000011034-ACBL-BRPL,WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,NR/01102023/05012040/L_NR_2020_02,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17
1,00:00-00:15,24.120000,38.600000,0.000000,24.120000,28.260000,5.630000,261.970000,6.140000,24.120000,48.240000,0.000000,24.120000,0.000000,0.000000,100.520000,30.880000,30.880000,87.030000,0.000000,48.240000,24.120000,48.240000,16.080000,12.900000,16.66,19.16,0,0,38.600000,0,115.360000,55.33,19.17,57.5,29.010000,0,0,0,0,55.33,272.830000,42.01,0,0,0,24.120000,0,0,6.310000,0,0

2,00:15-00:30,24.120000,38.600000,0.000000,24.120000,28.260000,5.630000,261.970000,6.140000,24.120000,48.240000,0.000000,24.120000,0.000000,0.000000,100.520000,30.880000,30.880000,87.030000,0.000000,48.240000,24.120000,48.240000,16.080000,12.900000,17.34,19.5,0,0,38.600000,0,115.360000,52,19.5,58.5,29.010000,0,0,0,0,52,272.830000,41.41,0,0,0,24.120000,0,0,6.310000,0,0

3,00:30-00:45,24.120000,38.600000,0.000000,24.120000,28.260000,5.630000,261.970000,6.140000,24.120000,48.240000,0.000000,24.120000,0.000000,0.000000,100.520000,30.880000,30.880000,87.030000,0.000000,48.240000,24.120000,48.240000,16.080000,12.900000,18,19.84,0,0,38.600000,0,115.360000,52,19.83,59.5,29.010000,0,0,0,0,52,272.830000,40.41,0,0,0,24.120000,0,0,6.310000,0,0

4,00:45-01:00,24.120000,38.600000,0.000000,24.120000,28.260000,5.630000,261.970000,6.140000,24.120000,48.240000,0.000000,24.120000,0.000000,0.000000,100.520000,30.880000,30.880000,87.030000,0.000000,48.240000,24.120000,48.240000,16.080000,12.900000,18.66,20.16,0,0,38.600000,0,115.360000,54.33,20.17,60.5,29.010000,0,0,0,0,54.33,272.830000,39.61,0,0,0,24.120000,0,0,6.310000,0,0

5,01:00-01:15,24.120000,38.600000,0.000000,24.120000,28.260000,5.630000,261.970000,5.830000,24.120000,48.240000,0.000000,24.120000,0.000000,0.000000,100.520000,30.880000,30.880000,87.030000,0.000000,48.240000,24.120000,48.240000,16.080000,12.800000,15.34,18.5,0,0,38.600000,0,115.360000,43.33,18.5,55.5,29.010000,0,0,0,0,43.33,272.830000,38.61,0,0,0,24.120000,0,0,6.210000,0,0

6,01:15-01:30,24.120000,38.600000,0.000000,24.120000,28.260000,5.630000,261.970000,5.830000,24.120000,48.240000,0.000000,24.120000,0.000000,0.000000,100.520000,30.880000,30.880000,87.030000,0.000000,48.240000,24.120000,48.240000,16.080000,12.800000,15.66,18.66,0,0,38.600000,0,115.360000,44.33,18.67,56,29.010000,0,0,0,0,44.33,272.830000,37.42,0,0,0,24.120000,0,0,6.210000,0,0

7,01:30-01:45,24.120000,38.600000,0.000000,24.120000,28.260000,5.630000,261.970000,5.830000,24.120000,48.240000,0.000000,24.120000,0.000000,0.000000,100.520000,30.880000,30.880000,87.030000,0.000000,48.240000,24.120000,48.240000,16.080000,12.800000,15.34,19,0,0,38.600000,0,115.360000,60.33,19,57,29.010000,0,0,0,0,60.33,272.830000,36.02,0,0,0,24.120000,0,0,6.210000,0,0

8,01:45-02:00,24.120000,38.600000,0.000000,24.120000,28.260000,5.630000,261.970000,5.830000,24.120000,48.240000,0.000000,24.120000,0.000000,0.000000,100.520000,30.880000,30.880000,87.030000,0.000000,48.240000,24.120000,48.240000,16.080000,12.800000,15.34,19.66,0,0,38.600000,0,115.360000,60.33,19.67,59,29.010000,0,0,0,0,60.33,272.830000,34.82,0,0,0,24.120000,0,0,6.210000,0,0

9,02:00-02:15,24.120000,38.600000,0.000000,24.120000,28.260000,5.630000,261.970000,5.830000,24.120000,48.240000,0.000000,24.120000,0.000000,0.000000,100.520000,18.380000,30.880000,87.030000,0.000000,48.240000,24.120000,48.240000,8.140000,12.620000,16,20.5,0,0,38.600000,0,115.360000,46.67,20.5,61.5,24.660000,0,0,0,0,46.67,272.830000,34.42,0,0,0,24.120000,0,0,6.130000,0,0

10,02:15-02:30,24.120000,38.600000,0.000000,24.120000,28.260000,5.630000,261.970000,5.830000,24.120000,48.240000,0.000000,24.120000,0.000000,0.000000,100.520000,18.380000,30.880000,87.030000,0.000000,48.240000,24.120000,48.240000,8.140000,12.620000,17.34,21.34,0,0,38.600000,0,115.360000,47.33,21.33,64,24.660000,0,0,0,0,47.33,272.830000,34.42,0,0,0,24.120000,0,0,6.130000,0,0

11,02:30-02:45,24.120000,38.600000,0.000000,24.120000,28.260000,5.630000,261.970000,5.830000,24.120000,48.240000,0.000000,24.120000,0.000000,0.000000,100.520000,18.380000,30.880000,87.030000,0.000000,48.240000,24.120000,48.240000,8.140000,12.620000,18,21.5,0,0,38.600000,0,115.360000,48.67,21.5,64.5,24.660000,0,0,0,0,48.67,272.830000,38.01,0,0,0,24.120000,0,0,6.130000,0,0

12,02:45-03:00,24.120000,38.600000,0.000000,24.120000,27.760000,5.630000,261.970000,5.830000,24.120000,48.240000,0.000000,24.120000,0.000000,0.000000,100.520000,18.380000,30.880000,87.030000,0.000000,48.240000,24.120000,48.240000,8.140000,12.620000,18.66,21.66,0,0,38.600000,0,115.360000,48.67,21.67,65,24.660000,0,0,0,0,48.67,272.830000,37.42,0,0,0,24.120000,0,0,6.130000,0,0

