Block,Time,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/23072042/L_NR_2012_04,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/14082046/L_NR_2021_16,SR/01102023/07102043/L_NR_2018_61,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/06022042/L_NR_2012_02,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,NR/01102023/06022042/L_NR_2012_07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02012046/L_NR_2021_17,NR/01102023/22052037/LT-59
1,00:00-00:15,3.340000,0.000000,3.070000,30.930000,114.050000,0.000000,101.230000,30.930000,29.960000,0.000000,271.830000,0.000000,9.2,0,0,0,7.41,35.11,0,0,22.5,0,35.11,7.5,0,0,0,208.760000,0,7.5,74.110000,0,0,3.270000

2,00:15-00:30,3.340000,0.000000,3.070000,30.930000,114.050000,0.000000,101.230000,30.930000,29.960000,0.000000,271.830000,0.000000,8.44,0,0,0,7.41,34.22,0,0,22.5,0,34.22,7.5,0,0,0,208.760000,0,7.5,74.110000,0,0,3.270000

3,00:30-00:45,3.340000,0.000000,3.070000,30.930000,114.050000,0.000000,101.230000,30.930000,29.960000,0.000000,271.830000,0.000000,7.75,0,0,0,7.41,33.54,0,0,22.5,0,33.54,7.5,0,0,0,208.760000,0,7.5,74.110000,0,0,3.270000

4,00:45-01:00,3.340000,0.000000,3.070000,30.930000,114.050000,0.000000,101.230000,30.930000,29.960000,0.000000,271.830000,0.000000,7.1,0,0,0,7.41,41.87,0,0,38.38,0,41.87,12.8,0,0,0,208.760000,0,12.79,74.110000,0,0,3.270000

5,01:00-01:15,3.340000,0.000000,3.000000,30.930000,114.050000,0.000000,101.230000,30.930000,29.000000,0.000000,271.830000,0.000000,9.46,0,0,0,7.41,41.55,0,0,37.18,0,41.55,12.4,0,0,0,208.760000,0,12.39,74.110000,0,0,3.110000

6,01:15-01:30,3.340000,0.000000,3.000000,30.930000,114.050000,0.000000,101.230000,30.930000,29.000000,0.000000,271.830000,0.000000,9.25,0,0,0,7.41,40.87,0,0,36.28,0,40.87,12.1,0,0,0,208.760000,0,12.09,74.110000,0,0,3.110000

7,01:30-01:45,3.340000,0.000000,3.000000,22.610000,114.050000,0.000000,101.230000,22.610000,28.030000,0.000000,271.830000,0.000000,8.88,0,0,0,7.41,40.09,0,0,35.47,0,40.09,11.83,0,0,0,208.760000,0,11.82,74.110000,0,0,3.110000

8,01:45-02:00,3.340000,0.000000,3.000000,22.610000,114.050000,0.000000,101.230000,22.610000,28.030000,0.000000,271.830000,0.000000,8.58,0,0,0,7.41,45.22,0,0,34.87,0,45.22,11.63,0,0,0,208.760000,0,11.62,74.110000,0,0,3.110000

9,02:00-02:15,3.340000,0.000000,3.000000,22.610000,114.050000,0.000000,101.230000,22.610000,28.030000,0.000000,271.830000,0.000000,9.2,0,0,0,7.41,44.54,0,0,33.21,0,44.54,11.07,0,0,0,208.760000,0,11.07,74.110000,0,0,3.110000

10,02:15-02:30,3.340000,0.000000,3.000000,22.610000,114.050000,0.000000,101.230000,22.610000,28.030000,0.000000,271.830000,0.000000,9.1,0,0,0,7.41,43.75,0,0,32.24,0,43.75,10.74,0,0,0,208.760000,0,10.75,74.110000,0,0,3.110000

